Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Picture_00002,Wintergemälde,scenic painting,quadro invernale,winters schilderij,живописная картина,toile hivernale,cuadro invernal,scenic painting,toile hivernale,cuadro invernal,みごとなめいが,뛰어난 명화,優美的名畫,优美的名画
Picture_00006,Anmutsgemälde,graceful painting,quadro armonioso,sierlijk schilderij,изящная картина,toile gracieuse,retrato oriental,graceful painting,toile gracieuse,retrato oriental,しなやかなめいが,절제된 명화,端莊的名畫,端庄的名画
Picture_00010,Altertumsgemälde,quaint painting,quadro buffo,traditioneel schilderij,старинная картина,toile charmante,retrato holandés,quaint painting,toile charmante,retrato holandés,おちついためいが,침착한 명화,平靜的名畫,平静的名画
Picture_00014,Einfachgemälde,basic painting,quadro semplice,klassiek schilderij,обычная картина,toile classique,retrato heroico,basic painting,toile classique,retrato heroico,いさましいめいが,용감한 명화,勇敢的名畫,勇敢的名画
Picture_00018,Berühmtgemälde,famous painting,quadro famoso,beroemd schilderij,знаменитая картина,toile célèbre,retrato italiano,famous painting,toile célèbre,retrato italiano,ゆうめいなめいが,유명한 명화,有名的名畫,有名的名画
Picture_00020,Perfektgemälde,perfect painting,quadro perfetto,kleurrijk schilderij,совершенная картина,toile parfaite,bodegón,perfect painting,toile parfaite,cuadro perfecto,すばらしいめいが,훌륭한 명화,厲害的名畫,厉害的名画
Picture_00024,Edelgemälde,serene painting,quadro simbolico,sereen schilderij,безмятежная картина,toile royale,retrato regio,serene painting,toile royale,retrato regio,たおやかなめいが,아늑한 명화,婀娜的名畫,婀娜的名画
Picture_00028,Perlengemälde,wistful painting,quadro realista,melancholisch schilderij,мечтательная картина,toile nacrée,retrato perla,wistful painting,toile nacrée,retrato perla,すてきなめいが,근사한 명화,漂亮的名畫,漂亮的名画
Picture_00032,Schöngemälde,moving painting,quadro colorato,symbolisch schilderij,трогательная картина,toile émouvante,cuadro alegórico,moving painting,toile émouvante,cuadro alegórico,きれいなめいが,예쁜 명화,動人的名畫,动人的名画
Picture_00034,Warmgemälde,warm painting,quadro classico,verleidelijk schilderij,романтичная картина,toile radieuse,cuadro clásico,warm painting,toile radieuse,cuadro clásico,いいかんじのめいが,느낌이 좋은 명화,舒適的名畫,舒适的名画
Picture_00038,Wellengemälde,dynamic painting,quadro marino,woelig schilderij,волнительная картина,toile déferlante,cuadro ola,dynamic painting,toile déferlante,cuadro ola,いきなめいが,멋들어진 명화,磅礡的名畫,磅礴的名画
Picture_00042,Gemüsegemälde,jolly painting,quadro organico,fleurig schilderij,веселая картина,toile potagère,cuadro orgánico,jolly painting,toile potagère,cuadro orgánico,おもしろいめいが,재미있는 명화,有趣的名畫,有趣的名画
Picture_00044,Bekanntgemälde,common painting,quadro povero,landelijk schilderij,сельская картина,toile commune,cuadro segadoras,common painting,toile commune,cuadro segadoras,よくみるめいが,평범한 명화,常見的名畫,常见的名画
Picture_00046,Strenggemälde,proper painting,quadro austero,formeel schilderij,строгая картина,toile austère,cuadro dama,proper painting,toile austère,cuadro dama,にぎやかなめいが,활기 넘치는 명화,熱鬧的名畫,热闹的名画
Picture_00048,Hübschgemälde,nice painting,quadro antico,muzikaal schilderij,приятная картина,toile magnifique,retrato músico,nice painting,toile magnifique,retrato músico,いいめいが,좋은 명화,很好的名畫,很好的名画
Picture_00050,Blumengemälde,flowery painting,quadro fiorito,zonnig schilderij,цветочная картина,toile florale,cuadro flores,flowery painting,toile florale,cuadro flores,たぐいまれなるめいが,진귀한 명화,珍貴的名畫,珍贵的名画
Picture_00052,Kraftgemälde,moody painting,quadro possente,noest schilderij,энергичная картина,toile puissante,retrato joven,moody painting,toile puissante,retrato joven,ちからづよいめいが,힘찬 명화,強健的名畫,强健的名画
Picture_00056,Enormgemälde,amazing painting,quadro stupendo,subliem schilderij,потрясающая картина,toile incroyable,cuadro holandés,amazing painting,toile incroyable,cuadro holandés,すごいめいが,대단한 명화,驚人的名畫,惊人的名画
Picture_00066,Furchtgemälde,scary painting,quadro spaventoso,griezelig schilderij,страшная картина,toile effrayante,cuadro japonés,scary painting,toile effrayante,cuadro japonés,いなせなめいが,씩씩한 명화,俊俏的名畫,俊俏的名画
Picture_00068,Wahrgemälde,worthy painting,quadro prezioso,zegevierend schilderij,достойная картина,toile précieuse,cuadro romántico,worthy painting,toile précieuse,cuadro romántico,かちのあるめいが,가치 있는 명화,名貴的名畫,名贵的名画
Picture_00072,Feierlichgemälde,solemn painting,quadro solenne,plechtig schilderij,торжественная картина,toile solennelle,cuadro español,solemn painting,toile solennelle,cuadro español,おごそかなめいが,엄숙한 명화,肅穆的名畫,肃穆的名画
Picture_00078,Ruhegemälde,calm painting,quadro riposante,vredig schilderij,спокойная картина,toile apaisante,paisaje francés,calm painting,toile apaisante,paisaje francés,おだやかなめいが,평온한 명화,和煦的名畫,和煦的名画
Picture_12618,Funkelgemälde,twinkling painting,quadro sfavillante,nachtelijk schilderij,звездная картина,toile scintillante,paisaje estrellado,twinkling painting,toile scintillante,paisaje estrellado,またたくめいが,반짝이는 명화,閃爍的名畫,闪烁的名画
Picture_12619,Wissenschaftsgemälde,academic painting,quadro accademico,academisch schilderij,академическая картина,toile académique,cuadro anatómico,academic painting,toile académique,cuadro anatómico,アカデミックなめいが,아카데믹한 명화,學術性的名畫,学术性的名画
Picture_12621,Versinkgemälde,sinking painting,quadro acquatico,tragisch schilderij,речная картина,toile tragique,cuadro literario,sinking painting,toile tragique,cuadro literario,しずみゆくめいが,가라앉는 명화,沉沒的名畫,沉没的名画
Picture_12622,Detailgemälde,detailed painting,quadro dettagliato,gedetailleerd schilderij,детальная картина,toile détaillée,cuadro detallado,detailed painting,toile détaillée,cuadro detallado,ちみつなめいが,섬세한 명화,細緻的名畫,细致的名画
Picture_12624,Lichtgemälde,glowing painting,quadro abbagliante,weemoedig schilderij,сияющая картина,toile crépusculaire,cuadro vespertino,glowing painting,toile crépusculaire,cuadro vespertino,ひかりのめいが,빛의 명화,光線的名畫,光线的名画
Picture_12625,Rätselgemälde,mysterious painting,quadro misterioso,mysterieus schilderij,загадочная картина,toile ténébreuse,cuadro tenebroso,mysterious painting,toile ténébreuse,cuadro tenebroso,なぞめいためいが,미스터리한 명화,神秘的名畫,神秘的名画
PictureFake_00005,Anmutsgemälde,graceful painting,quadro armonioso,sierlijk schilderij,изящная картина,toile gracieuse,retrato oriental,graceful painting,toile gracieuse,retrato oriental,しなやかなめいが,절제된 명화,端莊的名畫,端庄的名画
PictureFake_00009,Altertumsgemälde,quaint painting,quadro buffo,traditioneel schilderij,старинная картина,toile charmante,retrato holandés,quaint painting,toile charmante,retrato holandés,おちついためいが,침착한 명화,平靜的名畫,平静的名画
PictureFake_00013,Einfachgemälde,basic painting,quadro semplice,klassiek schilderij,обычная картина,toile classique,retrato heroico,basic painting,toile classique,retrato heroico,いさましいめいが,용감한 명화,勇敢的名畫,勇敢的名画
PictureFake_00017,Berühmtgemälde,famous painting,quadro famoso,beroemd schilderij,знаменитая картина,toile célèbre,retrato italiano,famous painting,toile célèbre,retrato italiano,ゆうめいなめいが,유명한 명화,有名的名畫,有名的名画
PictureFake_00023,Edelgemälde,serene painting,quadro simbolico,sereen schilderij,безмятежная картина,toile royale,retrato regio,serene painting,toile royale,retrato regio,たおやかなめいが,아늑한 명화,婀娜的名畫,婀娜的名画
PictureFake_00027,Perlengemälde,wistful painting,quadro realista,melancholisch schilderij,мечтательная картина,toile nacrée,retrato perla,wistful painting,toile nacrée,retrato perla,すてきなめいが,근사한 명화,漂亮的名畫,漂亮的名画
PictureFake_00031,Schöngemälde,moving painting,quadro colorato,symbolisch schilderij,трогательная картина,toile émouvante,cuadro alegórico,moving painting,toile émouvante,cuadro alegórico,きれいなめいが,예쁜 명화,動人的名畫,动人的名画
PictureFake_00041,Gemüsegemälde,jolly painting,quadro organico,fleurig schilderij,веселая картина,toile potagère,cuadro orgánico,jolly painting,toile potagère,cuadro orgánico,おもしろいめいが,재미있는 명화,有趣的名畫,有趣的名画
PictureFake_00055,Enormgemälde,amazing painting,quadro stupendo,subliem schilderij,потрясающая картина,toile incroyable,cuadro holandés,amazing painting,toile incroyable,cuadro holandés,すごいめいが,대단한 명화,驚人的名畫,惊人的名画
PictureFake_00065,Furchtgemälde,scary painting,quadro spaventoso,griezelig schilderij,страшная картина,toile effrayante,cuadro japonés,scary painting,toile effrayante,cuadro japonés,いなせなめいが,씩씩한 명화,俊俏的名畫,俊俏的名画
PictureFake_00071,Feierlichgemälde,solemn painting,quadro solenne,plechtig schilderij,торжественная картина,toile solennelle,cuadro español,solemn painting,toile solennelle,cuadro español,おごそかなめいが,엄숙한 명화,肅穆的名畫,肃穆的名画
PictureFake_12620,Wissenschaftsgemälde,academic painting,quadro accademico,academisch schilderij,академическая картина,toile académique,cuadro anatómico,academic painting,toile académique,cuadro anatómico,アカデミックなめいが,아카데믹한 명화,學術性的名畫,学术性的名画
PictureFake_12623,Detailgemälde,detailed painting,quadro dettagliato,gedetailleerd schilderij,детальная картина,toile détaillée,cuadro detallado,detailed painting,toile détaillée,cuadro detallado,ちみつなめいが,섬세한 명화,細緻的名畫,细致的名画
PictureFake_12629,Wintergemälde,scenic painting,quadro invernale,winters schilderij,живописная картина,toile hivernale,cuadro invernal,scenic painting,toile hivernale,cuadro invernal,みごとなめいが,뛰어난 명화,優美的名畫,优美的名画
Sculpture_00076,Ungestümgemälde (rechts),wild painting right half,quadro intenso (metà dx),onstuimig schilderij (r),прав. часть дикой картины,partie d. de toile sauvage,cuadro naturaleza (dcha.),wild painting right half,partie d. de toile sauvage,cuadro naturaleza (dcha.),あらぶるめいがのみぎ,혼란스러운 명화의 오른쪽,粗野的名畫右半邊,粗野的名画右半边
