Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
001,Eisen,iron,ferro,ijzeren stijl,Железо,fer,hierro,iron,fer,hierro,アイアン,아이언,鑄鐵,铸铁
002,Eisen-Holz,ironwood,legno ferro,ijzeren-houten stijl,ДСП и сталь,bois de fer,universidad,ironwood,bois de fer,universidad,アイアンウッド,아이언 우드,鑄鐵木,铸铁木
003,Diner,diner,anni '50,jaren 50-stijl,Бистро,années 50,años 50,diner,années 50,años 50,ダイナー,다이너,餐館,美式复古
004,Antik,antique,vecchio,antieke stijl,Антиквариат,ancienne,antigua,antique,ancienne,antigua,アンティーク,앤티크,古董,古董
005,Gold,golden,dorato,gouden stijl,Золото,d'or,dorada,golden,d'or,dorada,おうごん,황금,黃金,黄金
006,Asiatisch,imperial,cinese,keizerlijke stijl,Азия,impériale,dinastía,imperial,impériale,dinastía,オリエンタル,오리엔탈,東方風,东方风
007,Muschel,shell,conchiglia,schelpenstijl,Ракушки,coquillage,conchas marinas,shell,coquillage,conchas marinas,かいがら,조개,貝殼,贝壳
008,Pilz,mush,fungo,paddenstoelenstijl,Грибы,champi,hongo,mush,champi,hongo,キノコ,버섯,蘑菇,蘑菇
009,Bonbon,cute,grazioso,schattige stijl,Милые предметы,mimi,cuqui,cute,cute,adorable,キュート,큐트,可愛,可爱
010,Bambus,bamboo,bambù,bamboestijl,Бамбук,bambou,bambú,bamboo,bambou,bambú,たけ,대나무,竹子,竹子
011,Bauklotz,wooden block,blocchi di legno,houtblokstijl,Деревянные блоки,blocs de bois,construcciones,wooden block,blocs de bois,construcciones,つみき,나무블록,積木,积木
012,Kürbis,spooky,brividi,halloweenstijl,Страшилки,Halloween,calabaza,spooky,frisson,calabaza,ハロウィン,할로윈,萬聖節,万圣节
013,Obst,fruits,frutta,fruitstijl,Фрукты,fruit,frutal,fruits,fruit,frutal,フルーツ,프루트,水果,水果
014,Baumstamm,log,tronco,boomstamstijl,Бревна,tronc,leño,log,tronc,troncos,まるた,통나무,圓木,圆木
015,Holz,wooden,legno,houten stijl,Дерево,bois,madera,wooden,bois,madera,もくせい,목제,木製,木制
016,Flecht,rattan,rattan,rotanstijl,Ротанг,jonc,ratán,rattan,rotin,mimbre,ラタン,라탄,藤編,藤编
017,Nostalgie,throwback,fantasia,speelgoedstijl,Детство,nostalgie,fantasía,throwback,nostalgie,fantasía,TOY,TOY,TOY,玩具
018,Eis,frozen,iceberg,ijsstijl,Лед,arctique,iceberg,frozen,arctique,iceberg,こおり,얼음,冰塊,冰块
019,Stern,stars,stella,sterrenstijl,Звезды,étoile,estrella,stars,étoile,estrella,ほし,별,星星,星星
020,Blumen,flowers,fiori,bloemenstijl,Цветы,fleur,flores,flowers,fleur,flores,はな,꽃,花朵,花
021,Baumfrucht,tree's bounty or leaves,frutti dell'albero e foglie,herfst- en bladerenstijl,Дары леса,fruits des bois ou feuille,frutos del bosque y hojas,tree's bounty or leaves,fruits des bois ou feuille,frutos del bosque y hojas,きのみ・おちば,나무 열매/낙엽,樹果‧落葉,树果·落叶
022,Kirschblüten,cherry blossoms,ciliegio,kersenbloesemstijl,Вишня в цвету,fleur de cerisier,flor de cerezo,cherry blossoms,fleur de cerisier,flor de cerezo,さくら,벚꽃,櫻花,樱花
