Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Umbrella_05861,Punkteschirm,Toad parasol,parasole rosso,rode parasol met stippen,зонт тоада,parapluie à pois rouge,parasol de lunares,Toad parasol,parapluie à pois rouge,parasol a lunares,あかいみずたまのかさ,빨간 물방울 우산,紅色圓點雨傘,红色点点雨伞
Umbrella_06840,Blättchenschirm,leaf umbrella,ombrello foglia,bladparaplu,зонт-лист,feuillapluie,parasol hoja,leaf umbrella,feuillapluie,parasol hoja,はっぱのかさ,연꽃잎 우산,葉子雨傘,叶子雨伞
Umbrella_06904,Sommerschirm,sunny parasol,parasole gioioso,zonnige parasol,зонт с подсолнухами,parapluie tournesols,paraguas girasoles,sunny parasol,parapluie tournesols,paraguas girasoles,ひまわりのかさ,해바라기 우산,向日葵雨傘,向日葵雨伞
Umbrella_06905,Schneeflockenschirm,snowflake umbrella,ombrello fiocco di neve,sneeuwvlokparaplu,зонт-снежинка,parapluie flocon,paraguas nevada,snowflake umbrella,parapluie flocon,paraguas nevada,スノーフレークのかさ,눈꽃 우산,雪花雨傘,雪花雨伞
Umbrella_06906,Hortensienschirm,hydrangea umbrella,ombrello ortensia,hortensiaparaplu,зонт-гортензия,parapluie hortensias,paraguas hortensias,hydrangea umbrella,parapluie hortensias,paraguas hortensias,アジサイのかさ,수국 우산,繡球花雨傘,绣球花雨伞
Umbrella_06907,Erdbeerschirm,strawberry umbrella,ombrello fragola,aardbeiparaplu,клубничный зонт,parapluie fraise,paraguas fresa,strawberry umbrella,parapluie fraise,paraguas fresa,いちごのかさ,딸기 우산,草莓雨傘,草莓雨伞
Umbrella_06908,Kiwischirm,kiwi umbrella,ombrello kiwi,kiwiparaplu,зонт-киви,parapluie kiwi,paraguas kiwi,kiwi umbrella,parapluie kiwi,paraguas kiwi,キウイのかさ,키위 우산,奇異果雨傘,奇异果雨伞
Umbrella_06909,Wassermelonenschirm,watermelon umbrella,ombrello anguria,watermeloenparaplu,арбузный зонт,parapluie pastèque,paraguas sandía,watermelon umbrella,parapluie melon d'eau,paraguas sandía,スイカのかさ,수박 우산,西瓜雨傘,西瓜雨伞
Umbrella_06910,Ananasschirm,pineapple umbrella,ombrello ananas,ananasparaplu,ананасный зонт,parapluie ananas,paraguas piña,pineapple umbrella,parapluie ananas,paraguas piña,パイナップルのかさ,파인애플 우산,鳳梨雨傘,凤梨雨伞
Umbrella_06911,Traubenschirm,grape umbrella,ombrello uva,druivenparaplu,виноградный зонт,parapluie raisin,paraguas uvas,grape umbrella,parapluie raisin,paraguas uva,ぶどうのかさ,포도 우산,葡萄雨傘,葡萄雨伞
Umbrella_06912,Orangenschirm,orange umbrella,ombrello arancia,sinaasappelparaplu,апельсиновый зонт,parapluie orange,paraguas naranja,orange umbrella,parapluie orange,paraguas naranja,オレンジのかさ,오렌지 우산,橘子雨傘,橘子雨伞
Umbrella_06913,Tropfenschirm,raindrop umbrella,ombrello gocce di pioggia,regendruppelsparaplu,зонт с каплями,parapluie motif pluie,paraguas gotas de lluvia,raindrop umbrella,parapluie motif pluie,paraguas gotas de lluvia,レイニーなかさ,비 내리는 우산,雨點雨傘,雨点雨伞
