Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
047,Paar Strümpfe,stockings,paio di calze,kousen,чулки,paire de bas,media,stockings,collant,media,ストッキング,스타킹,絲襪,丝袜
048,Modestrumpfhose,fishnet tights,paio di calze a rete,netpanty,чулки в сеточку,collant filet,media de rejilla,fishnet tights,collant filet,media de rejilla,あみタイツ,망사 타이츠,網襪,网袜
1002,Paar Einfarb-Socken,vivid socks,paio di calzini briosi,felgekleurde sokken,яркие носки,paire de socquettes vives,calcetín de color vívido,vivid socks,p. de bas simples,calcetín de color vívido,ビビッドなソックス,비비드 양말,鮮豔襪子,鲜艳袜子
1049,Transparenz-Strumpfhose,semi-opaque tights,paio di calze semiopache,semi-doorzichtige panty,полупрозрачные чулки,collant semi-opaque,media semiopaca,semi-opaque tights,collant semi-opaque,media semiopaca,ニュアンスタイツ,반투명 타이츠,同色系褲襪,同色系裤袜
1050,Alltagsstrumpfhose,everyday tights,paio di calze ordinarie,alledaagse panty,повседневные чулки,collant ordinaire,media de diario,everyday tights,collant ordinaire,media diaria,デイリータイツ,데일리 타이츠,通勤褲襪,通勤裤袜
1051,Einfarb-Strumpfhose,vivid tights,paio di calze briose,felgekleurde panty,яркие чулки,collant vif,media de color vívido,vivid tights,collant vif,media de color vívido,ビビッドなタイツ,비비드 타이츠,鮮豔褲襪,鲜艳裤袜
1052,Neon-Strumpfhose,neon tights,paio di calze neon,neonpanty,неоновые чулки,collant fluo,media de colores neón,neon tights,collant fluo,media de colores neón,ネオンタイツ,네온 타이츠,螢光色褲襪,荧光色裤袜
1053,Einfarb-Leggings,vivid leggings,paio di legging briosi,felgekleurde legging,яркие леггинсы,legging vif,malla de color vívido,vivid leggings,legging vif,malla de color vívido,ビビッドなレギンス,비비드 레깅스,鮮豔緊身褲,鲜艳紧身裤
1054,Neon-Leggings,neon leggings,paio di legging neon,neonlegging,неоновые леггинсы,legging fluo,malla de colores neón,neon leggings,legging fluo,malla de colores neón,ネオンレギンス,네온 레깅스,螢光色緊身褲,荧光色紧身裤
1059,Paar Alltagssocken,everyday socks,paio di calzini ordinari,alledaagse sokken,повседневные носки,p. chaussettes ordinaires,calcetín de diario,everyday socks,p. de bas ordinaires,calcetín diario,デイリーソックス,데일리 양말,通勤襪子,通勤袜子
1060,Paar Transparenz-Socken,semi-opaque socks,paio di calzini semiopachi,semi-doorzichtige sokken,полупрозрачные носки,p. chauss. semi-opaques,calcetín semiopaco,semi-opaque socks,p. chauss. semi-opaques,calcetín semiopaco,ニュアンスソックス,반투명 양말,同色系襪子,同色系袜子
1133,Samthea-Strumpfhose,Labelle tights,paio di calze Bice,Labelle-panty,чулки «Лэйблеск»,collant Maria,media Trini,Labelle tights,collant Maria,media Trini,ケイトのタイツ,케이트의 타이츠,凱絲褲襪,凯丝的裤袜
1134,Paar Samthea-Socken,Labelle socks,paio di calzini Bice,Labelle-sokken,носки «Лэйблеск»,paire de chaussettes Maria,calcetín Trini,Labelle socks,paire de bas Maria,calcetín Trini,ケイトのソックス,케이트의 양말,凱絲襪子,凯丝的袜子
1144,Paar Nook-Inc.-Socken,Nook Inc. socks,paio di calzini Nook Inc.,Nook Inc.-sokken,носки Nook Inc.,p. de chaussettes Nook Inc.,calcetín de Nook Inc.,Nook Inc. socks,p. de bas Nook Inc.,calcetín de Nook Inc.,たぬきかいはつソックス,Nook Inc. 양말,Nook Inc.襪子,Nook Inc.袜子
1188,Paar Punkt-Kniestrümpfe,dotted knee-high socks,paio di calzettoni a pois,kniekousen met stippen,гольфы в горох,p. chauss. longues à pois,calcetín topos alto,dotted knee-high socks,p. chauss. longues à pois,calcetín a lunares alto,ドットのニーハイソックス,도트 니하이 삭스,點點膝上襪,点点膝上袜
1189,Paar Simpel-Kniestrümpfe,simple knee-high socks,paio di calzettoni semplici,eenvoudige kniekousen,простые гольфы,p. chauss. longues simples,calcetín sencillo alto,simple knee-high socks,p. chauss. longues simples,calcetín sencillo alto,シンプルなニーハイソックス,심플 니하이 삭스,簡約膝上襪,简约膝上袜
1252,Paar Kniepflaster,knee bandages,paio di cerotti per ginocchia,kniepleisters,пластыри на колено,sparadrap pour le genou,par de tiritas de rodilla,knee bandages,sparadrap pour le genou,par de curitas para rodilla,ひざのばんそうこう,무릎 반창고,膝蓋絆創帶,膝盖创可贴
1275,Paar Ringel-Kniestrümpfe,horizontal-striped tights,paio di calze a righe oriz.,horizontale-strepen-panty,чулки в полоску,collant rayures horizontales,media rayas horizontales,horizontal-striped tights,collant rayures horizontales,media rayas horizontales,ボーダータイツ,줄무늬 타이츠,粗橫紋褲襪,粗横纹长袜
1286,Paar Kiki-&-Lala-Söckchen,Kiki & Lala socks,paio di calzini Kiki & Lala,Kiki-&-Lala-sokken,носочки Kiki & Lala,p. chaussettes Kiki & Lala,calcetín Kiki & Lala,Kiki & Lala socks,paire de bas Kiki & Lala,calcetín Kiki & Lala,キキ&ララなソックス,리틀트윈스타 양말,Kiki & Lala襪,Kiki & Lala袜
1296,Paar Keroppi-Socken,Kerokerokeroppi socks,paio calze Kerokerokeroppi,Kerokerokeroppi-sokken,носки Kerokerokeroppi,p. chauss. Kerokerokeroppi,calcetín Kerokerokeroppi,Kerokerokeroppi socks,p. de bas Kerokerokeroppi,calcetín Kerokerokeroppi,けろけろけろっぴなハイソックス,케로케로케로피 하이 삭스,Kerokerokeroppi膝上襪,Kerokerokeroppi膝上袜
1407,Paar Knieschoner,knee braces,tutore,kniebandages,ортез на колено,paire de genouillères,rodillera,knee braces,paire de genouillères,rodillera,ひざあて,무릎 보호대,護膝,护膝
519,Paar Schleifchensocken,back-bow socks,paio di calzini con fiocco,sokken met een strikje,носки с бантиком сзади,p. de chaussettes à nœud,calcetín lazo trasero,back-bow socks,p. de bas à nœud,calcetín lazo trasero,リボンソックス,리본 양말,蝴蝶結襪子,蝴蝶结袜子
535,Paar Low-Socken,no-show socks,paio di calzini corti,sneakersokken,невидимые носки,paire de mini-socquettes,calcetín oculto,no-show socks,p. de mini-bas,calcetín oculto,スニーカーインソックス,발목 양말,船型襪,船型袜
536,Paar Aranmustersocken,Aran-knit socks,paio di calzini Aran,Aran-sokken,носки аранской вязки,paire de chaussettes Aran,calcetín de punto trenzado,Aran-knit socks,paire de bas Aran,calcetín tejido trenzado,アランニットのソックス,아란 니트 양말,手編阿倫花樣針織襪,毛线袜
537,Paillettenleggings,sequin leggings,paio di legging con lustrini,legging met pailletten,леггинсы с пайетками,legging à sequins,malla con lentejuelas,sequin leggings,legging à sequins,malla con lentejuelas,スパンコールレギンス,스팽글 레깅스,亮片緊身褲,亮片紧身裤
538,Stretchleggings,stretch leggings,paio di legging elastici,stretchlegging,эластичные леггинсы,legging stretch,malla elástica,stretch leggings,legging stretch,malla elástica,ストレッチレギンス,스트레치 레깅스,彈性緊身褲,弹性紧身裤
539,Jeansleggings,denim leggings,paio di legging di jeans,jegging,джеггинсы,legging en jean,malla denim,denim leggings,legging en jean,malla de jean,デニムレギンス,데님 레깅스,牛仔緊身褲,牛仔紧身裤
540,Paar Sportsocken,tube socks,paio di calzini con righe,sportsokken,носки без пятки,paire de chaussettes sport,calcetín cómodo,tube socks,paire de bas de sport,calcetín cómodo,ラインソックス,라인 양말,條紋襪,条纹袜
541,Paar Strumpfbandstrümpfe,garter socks,paio calzini con giarrettiera,sokken met ophouders,носки с подтяжками,paire de fixe-chaussettes,calcetín con liguero,garter socks,paire de fixe-bas,calcetín con liga,ガーターつきストッキング,가터 스타킹,吊帶襪,吊带袜
542,Paar Norwegerstrümpfe,nordic socks,paio di calzini yodel,Scandinavische sokken,северные носки,p. de chaussettes nordiques,calcetín nórdico,nordic socks,p. de bas nordiques,calcetín nórdico,ノルディックなソックス,노르딕풍 양말,北歐風襪子,北欧风袜子
543,Paar Tabi-Socken,tabi,paio di tabi,tabi,носки таби,paire de tabi,tabi,tabi,paire de tabi,tabi,たび,일본풍 버선,足袋,足袋
600,Paar Füßlinge,ultra no-show socks,paio di fantasmini,kousenvoetjes,следки,p. de chaussettes ballerines,calcetín invisible,ultra no-show socks,p. de bas ballerines,calcetín invisible,フットカバー,덧양말,隱形襪,隐形袜
601,Paar Mixed-Tweed-Socken,mixed-tweed socks,paio di calzini di lana mista,mêleesokken,мелированные носки,p. de chaussettes tweed,calcetín de tweed,mixed-tweed socks,p. de bas en tweed,calcetín de tweed,ミックスツイードソックス,믹스 트위드 양말,混色斜紋軟呢襪,混色粗花呢袜
602,Paar Beinwärmer,leg warmers,paio di scaldamuscoli,beenwarmers,гетры,paire de jambières,calentador,leg warmers,paire de bas réchauffement,calentador,レッグウォーマー,발 토시,保暖襪套,袜套
603,Kompressionsstrumpfhose,compression tights,paio di calze contenitive,compressielegging,компрессионные чулки,collant de contention,malla de compresión,compression tights,collant de contention,malla de compresión,コンプレッションタイツ,압박 타이츠,壓力褲襪,压力裤袜
604,Paar Bündchensocken,bobby socks,paio di calzini con trina,sokken met omslag,короткие белые носки,paire de socquettes simples,calcetín sencillo,bobby socks,paire de socquettes simples,calcetín sencillo,みつおりソックス,접는 양말,三折襪,三折袜
605,Paar Rüschenkniestrümpfe,frilly knee-high socks,p. calzini vezzosi al ginoc.,kniekousen met ruches,гольфы с оборками,p. chauss. longues dentelle,calcetín encaje alto,frilly knee-high socks,p. chauss. longues dentelle,calcetín encaje alto,フリルつきニーハイソックス,프릴 니하이 삭스,蕾絲花邊膝上襪,蕾丝花边膝上袜
606,Paar Spitzensöckchen,lace socks,paio di calzini merlettati,sokken met kant,носки с кружевами,paire chaussettes dentelle,calcetín encaje,lace socks,paire de bas en dentelle,calcetín encaje,レースのソックス,레이스 양말,蕾絲襪,蕾丝袜
607,Paar Rüschensöckchen,frilly socks,paio di calzini vezzosi,sokken met ruches,носки с оборками,paire socquettes à dentelle,calcetín con volantes,frilly socks,p. de bas à dentelle,calcetín con volados,フリルソックス,프릴 양말,蕾絲花邊襪,蕾丝花边袜
608,Löcher-Strumpfhose,holey tights,paio di calze strappate,panty met gaten,дырявые чулки,collant filé,media raída,holey tights,collant filé,media raída,あなあきタイツ,구멍 난 타이츠,破洞褲襪,破洞裤袜
609,Paar Fußballstutzen,soccer socks,paio di calzettoni da calcio,voetbalsokken,футбольные носки,paire chaussettes de foot,media fútbol,soccer socks,paire de bas de soccer,media de fútbol,サッカーソックス,축구 양말,足球襪,足球袜
610,Paar Loch-Socken,holey socks,paio di calzini strappati,sokken met gaten,дырявые носки,paire chaussettes trouée,calcetín raído,holey socks,paire de bas troués,calcetín raído,あなあきソックス,구멍 난 양말,破洞襪,破洞袜
611,Paar Puschel-Socken,pom-pom socks,paio di calzini con pon-pon,sokken met pompons,носки с помпонами,paire chaussettes pompons,calcetín con pompones,pom-pom socks,paire de bas à pompons,calcetín con pompones,ポンポンソックス,폼폼 양말,毛球襪,毛球袜
612,Paar Bunt-Socken,color-blocked socks,paio di calzini variopinti,sokken met kleurvlakken,носки в цветную клетку,paire chaussettes carreaux,calcetín composición color,color-blocked socks,paire de bas à carreaux,calcetín composición color,マルチブロックソックス,컬러 블록 양말,多色方塊襪,多色格子袜
613,Paar Frottee-Socken,terry-cloth socks,paio di calzini di spugna,badstoffen sokken,махровые носки,p. chaussettes tissu éponge,calcetín de felpa,terry-cloth socks,p. de bas en tissu éponge,calcetín de felpa,もこもこソックス,수면 양말,毛絨襪,毛绒袜
619,Paar Abstrakt-Strümpfe,layered socks,paio di calzini a strati,laagjessokken,многослойные носки,p. chaussettes superposées,calcetín múltiple,layered socks,p. de bas superposés,calcetín múltiple,かさねばきソックス,레이어드 양말,多層襪,多层袜
620,Paar Stricksocken,hand-knit socks,paio di calzini di maglia,handgebreide sokken,вязаные носки,p. chauss. tricotées main,calcetín de punto,hand-knit socks,p. chauss. tricotées main,calcetín tejido,てあみのソックス,털실 양말,手工編織襪,手工编织袜
