Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Gyroid_14046,Xylophoid,xylophoid,xilofoide,xylophoid,ксилофоид,xylophoïde,xilofoide,xylophoid,xylophoïde,xilofoide,ベルはにわ,벨 토용,鈴錢陶俑,铃钱陶俑
Gyroid_14047,Dissonoid,babbloid,dolcioide,brabbeloid,лепетоид,babilloïde,dulzoide,babbloid,babilloïde,dulzoide,ベビーはにわ,베이비 토용,寶寶陶俑,宝宝陶俑
Gyroid_14056,Kläffoid,arfoid,bauoide,blaffoid,гавгавоид,ouafoïde,ladroide,arfoid,ouafoïde,ladroide,ワンはにわ,멍멍 토용,汪陶俑,汪陶俑
Gyroid_14057,Flötoid,whistloid,fischioide,fluitoid,свистоид,flûtoïde,silboide,whistloid,flûtoïde,silboide,ホーはにわ,후후 토용,瓶陶俑,瓶陶俑
Gyroid_14058,Harfoid,bwongoid,pizzicoide,plingoid,бумбоид,pyangoïde,puntoide,bwongoid,pyangoïde,puntoide,ベンはにわ,뚱땅 토용,邊陶俑,边陶俑
Gyroid_14059,Saitoid,twangoid,tengoide,ploinkoid,струноид,cordoïde,rasgueoide,twangoid,cordoïde,rasgueoide,バインはにわ,디링 토용,弦陶俑,弦陶俑
Gyroid_14060,Puipuioid,laseroid,laseroide,laseroid,лазероид,laseroïde,hablaseroide,laseroid,laseroïde,hablaseroide,ピュンはにわ,삐융 토용,哺悠陶俑,哺悠陶俑
Gyroid_14061,Quäkoid,squeakoid,squittoide,piepoid,пищоид,couinoïde,estrujónido,squeakoid,couinoïde,estrujónido,ピープーはにわ,삐뽀 토용,逼噗陶俑,哔噗陶俑
Gyroid_14062,Arboroid,tockoid,tactacoide,tokkoid,колотоид,pockoïde,varítono,tockoid,pockoïde,varítono,コロンはにわ,똑딱 토용,框隆陶俑,框隆陶俑
Gyroid_14063,Kontraltoid,ringoid,melodoide,bingoid,диньдоноид,zonzoïde,monotoide,ringoid,zonzoïde,monotoide,ポーンはにわ,딩동 토용,砰陶俑,砰陶俑
Gyroid_14064,Grunzoid,oinkoid,grugnoide,knorroid,хрюкоид,grouikoïde,oinkoide,oinkoid,grouikoïde,oinkoide,フゴはにわ,꿀꿀 토용,豬陶俑,猪陶俑
Gyroid_14065,Nörgloid,tremoloid,fragiloide,jengeloid,завывоид,graciloïde,sinusoide,tremoloid,tremoloïde,sinusoide,ウワワはにわ,우와와 토용,嗚哇哇陶俑,呜哇哇陶俑
Gyroid_14066,Flatuloid,bubbloid,paffutoide,bubbeloid,надувоид,jouffloïde,mirlitoide,bubbloid,jouffloïde,flautoide,ホッペはにわ,뿌우 토용,嘟臉陶俑,嘟脸陶俑
Gyroid_14067,Ouvertoid,petaloid,petaloide,klavechoid,лепесткоид,pétaloïde,clavicoina,petaloid,pétaloïde,clavicoina,ピラはにわ,띠롱 토용,花苞陶俑,花苞陶俑
Gyroid_14074,Timbaloid,aluminoid,alluminoide,aluminoid,алюминоид,aluminoïde,aluminoide,aluminoid,aluminoïde,aluminoide,カンはにわ,양철 토용,機械陶俑,机械陶俑
Gyroid_14075,Dumpfoid,wallopoid,tonfoide,kloppoid,выбивоид,poufoïde,acolchoida,wallopoid,poufoïde,acolchoida,ドスドスはにわ,툭툭 토용,叩叩陶俑,叩叩陶俑
Gyroid_14076,Hihatoid,drummoid,tamburoide,drummoid,ударноид,cymbaloïde,platoide,drummoid,cymbaloïde,platoide,シャーンはにわ,둠칫 토용,鈸陶俑,钹陶俑
Gyroid_14077,Klongoid,dootoid,pigoloide,pingeloid,пипоид,bipoïde,bipoide,dootoid,bipoïde,bipoide,ポッピはにわ,뽀삐 토용,波比陶俑,波比陶俑
Gyroid_14078,Surroid,whirroid,ronzoide,bzzzoid,дребезоид,ronronnoïde,zumbínida,whirroid,ronronnoïde,zumbínida,ジーはにわ,지직 토용,發條陶俑,发条陶俑
Gyroid_14080,Floppoid,thwopoid,stappoide,floepoid,хлопоид,plopoïde,flopoide,thwopoid,plopoïde,flopoide,スポはにわ,뽁 토용,波波陶俑,波波陶俑
Gyroid_14081,Bassoid,rumbloid,bassoide,bassoid,басоид,grommeloïde,tetracordia,rumbloid,grommeloïde,tetracordia,ベースはにわ,베이스 토용,貝斯陶俑,贝斯陶俑
Gyroid_14082,Summsoid,bendoid,piegoide,gonzoid,жужжоид,spleenoïde,arcoviol,bendoid,spleenoïde,arcoviol,ブーンはにわ,부웅 토용,叭啦陶俑,叭啦陶俑
Gyroid_14083,Paukoid,boomoid,boomoide,paukoid,барабаноид,boumoïde,bomboina,boomoid,boumoïde,bomboina,ドンはにわ,둥둥 토용,咚陶俑,咚陶俑
Gyroid_14086,Blubboid,bloopoid,idroide,blubboid,каплоид,plocoïde,hidroide,bloopoid,plocoïde,hidroide,ポワはにわ,또록 토용,滴滴陶俑,滴滴陶俑
Gyroid_14087,Sproingoid,sproingoid,rimbalzoide,boingoid,пружиноид,boingoïde,muelloide,sproingoid,boïngoïde,resortoide,ビヨンはにわ,뵤옹 토용,比悠陶俑,比悠陶俑
Gyroid_14088,Knuspoid,crumploid,stropiccioide,kreukeloid,смятоид,froissoïde,arrugandia,crumploid,froissoïde,arrugandia,クシャはにわ,콰삭 토용,咯滋陶俑,咯滋陶俑
Gyroid_14089,Klackerlaklackoid,clatteroid,clangoide,klapperoid,погремоид,cliquetoïde,castañoide,clatteroid,cliquetoïde,castañoide,カタカタはにわ,딸깍 토용,響響陶俑,响响陶俑
Gyroid_14090,Gurroid,brewstoid,bartoide,roekoid,брюстоид,robustoïde,figaroide,brewstoid,robustoïde,figaroide,マスターはにわ,마스터 토용,老闆陶俑,老板陶俑
Gyroid_14092,Maracoid,scatteroid,agitoide,ritseloid,потрясоид,maracassoïde,agitoide,scatteroid,maracassoïde,agitoide,シャカはにわ,쉐킷 토용,沙沙陶俑,沙沙陶俑
Gyroid_14093,Bzzzoid,spikenoid,spinoide,zoemoid,терноид,piquoïde,pinchoide,spikenoid,piquoïde,espinoide,トゲはにわ,가시 토용,刺刺陶俑,刺刺陶俑
Gyroid_14094,Pressoid,squeezoid,schiaccioide,kwekkoid,скрипоид,sproutchoïde,gomicoida,squeezoid,sproutchoïde,gomicoida,ギュウはにわ,끼익 토용,栓陶俑,栓陶俑
Gyroid_14095,Flatteroid,flutteroid,fremitoide,fladderoid,трепыхоид,frémissoïde,aletensoide,flutteroid,frémissoïde,aletensoide,パタパタはにわ,푸르르 토용,啪他陶俑,啪他陶俑
Gyroid_14098,Boioingoid,boioingoid,boingoide,trilloid,маскоид,masquoïde,vibroide,boioingoid,masquoïde,vibroide,メンはにわ,가면 토용,假面陶俑,假面陶俑
Gyroid_14099,Signaloid,stelloid,risuonoide,kosmoid,космоид,résonoïde,reverberoide,stelloid,résonoïde,reverberoide,エコーはにわ,에코 토용,超音陶俑,超音陶俑
Gyroid_14100,Klingelingoid,jingloid,tintinnoide,rinkeloid,бубенцоид,tintinabuloïde,cascabela,jingloid,tintinabuloïde,cascabela,スズはにわ,방울 토용,鈴陶俑,铃陶俑
Gyroid_14101,Klapperoid,rattloid,sonaglioide,kletteroid,черепкоид,crécelloïde,cacharroide,rattloid,crécelloïde,cacharroide,カランはにわ,땡그랑 토용,匡噹陶俑,匡铛陶俑
