Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
1055,Schnuller,pacifier,ciuccio,speen,соска-пустышка,tétine,chupete,pacifier,suce,chupete,おしゃぶり,노리개젖꼭지,奶嘴,奶嘴
1137,Samthea-Sonnenbrille,Labelle sunglasses,montatura da sole Bice,Labelle-zonnebril,очки «Лэйблеск»,monture solaire Maria,gafa de sol Trini,Labelle sunglasses,monture solaire Maria,par de lentes de sol Trini,ケイトのサングラス,케이트의 선글라스,凱絲墨鏡,凯丝的墨镜
1148,Nook-Inc.-Augenmaske,Nook Inc. eye mask,copriocchi Nook Inc.,Nook Inc.-slaapmasker,маска для сна Nook Inc.,masque repos Nook Inc.,antifaz dormir de Nook Inc.,Nook Inc. eye mask,masque repos Nook Inc.,antifaz dormir de Nook Inc.,たぬきかいはつアイマスク,Nook Inc. 안대,Nook Inc.眼罩,Nook Inc.眼罩
1182,DAL-Augenmaske,DAL eye mask,copriocchi DAL,DAL-slaapmasker,маска для сна DAL,masque repos DAL,antifaz para dormir de DAL,DAL eye mask,masque repos DAL,antifaz para dormir de DAL,ＤＡＬアイマスク,DAL 안대,DAL眼罩,DAL眼罩
1183,DAL-Sonnenbrille,DAL sunglasses,montatura da sole DAL,DAL-zonnebril,солнечные очки DAL,monture solaire DAL,gafa de sol de DAL,DAL sunglasses,monture solaire DAL,par de lentes de sol DAL,ＤＡＬサングラス,DAL 선글라스,DAL墨鏡,DAL墨镜
1225,Piratenaugenklappe,pirate eye patch,benda piratesca,piratenooglapje,пиратская повязка,cache-œil de pirate,parche pirata,pirate eye patch,cache-œil de pirate,parche pirata,かいぞくのアイパッチ,해적 안대,海盜眼罩,海盗眼罩
1226,Piratenbart,pirate beard,barba da pirata,piratenbaard,пиратская борода,barbe de pirate,barba de pirata,pirate beard,barbe de pirate,barba de pirata,かいぞくのひげ,해적 수염,海盜鬍子,海盗胡子
1248,Chirurgenmaske,pleated mask,mascherina chirurgica,mondkapje,хирургическая маска,masque plissé,mascarilla quirúrgica,pleated mask,masque plissé,mascarilla quirúrgica,プリーツマスク,덴탈 마스크,百褶口罩,百褶口罩
1251,Nasentamponade,nose tissue,tampone nasale,neusstopdoekje,марлевая турунда,tampon nasal,gasa para la nariz,nose tissue,mouchoir nasal,gasa para la nariz,はなのつめもの,코 휴지,塞鼻孔的面紙捲,塞鼻孔的纸巾
1254,Augenkompresse,eye gauze,benda oculare,ooggaasje,повязка на глаз,bandage oculaire,gasa para el ojo,eye gauze,bandage oculaire,gasa para el ojo,めのガーゼ,눈 거즈,眼睛紗布,眼睛纱布
1271,Tiernase,animal nose,muso animale,dierensnuit,звериная мордочка,nez d'animal,nariz de animal,animal nose,nez d'animal,nariz de animal,アニマルなつけばな,동물 코,動物鼻子道具,动物假鼻子
1300,Nook-Inc.-Taucherbrille,Nook Inc. snorkel,maschera mare Nook Inc.,Nook Inc.-duikbril,подводная маска Nook Inc.,masque avec tuba Nook Inc.,gafa de buceo Nook Inc.,Nook Inc. snorkel,masque avec tuba Nook Inc.,visor de buceo Nook Inc.,たぬきかいはつシュノーケル,Nook Inc. 스노클,Nook Inc.潛水鏡附呼吸管,Nook Inc.潜水镜附呼吸管
1311,Sonnenblumenbrille,sunflower sunglasses,montatura girasole,zonnebloemzonnebril,очки-подсолнухи,monture solaire tournesol,gafa de sol girasol,sunflower sunglasses,monture solaire tournesol,par de lentes de sol girasol,ひまわりのサングラス,해바라기 선글라스,向日葵墨鏡,向日葵墨镜
1324,Mario-Schnauzer,Mario 'stache,baffo di Mario,Mario-snor,усы Марио,moustache de Mario,bigote de Mario,Mario 'stache,moustache de Mario,bigote de Mario,マリオのひげ,마리오 수염,瑪利歐鬍子,马力欧胡子
1325,Luigi-Schnauzer,Luigi 'stache,baffo di Luigi,Luigi-snor,усы Луиджи,moustache de Luigi,bigote de Luigi,Luigi 'stache,moustache de Luigi,bigote de Luigi,ルイージのひげ,루이지 수염,路易吉鬍子,路易吉胡子
1326,Wario-Schnauzer,Wario 'stache,baffo di Wario,Wario-snor,усы Варио,moustache de Wario,bigote de Wario,Wario 'stache,moustache de Wario,bigote de Wario,ワリオのひげ,와리오 수염,瓦利歐鬍子,瓦力欧胡子
1354,Kleeblattsonnenbrille,shamrock sunglasses,montatura trifoglio,klaverzonnebril,очки-трилистник,monture solaire trèfle,gafa de sol trébol,shamrock sunglasses,monture solaire trèfle,par de lentes de sol trébol,シャムロックサングラス,성 패트릭 선글라스,三葉草墨鏡,三叶草墨镜
1356,Doppel-Nasentamponade,double nose tissues,paio di tamponi nasali,dubbel neusstopdoekje,марлевые турунды,double tampon nasal,gasa doble para la nariz,double nose tissues,double mouchoir nasal,gasa doble para la nariz,りょうばなのつめもの,양쪽 코 휴지,塞兩邊鼻孔的面紙捲,塞两侧鼻孔的纸巾
1369,Rundbrille,round-frame glasses,montatura tonda,bril met rond montuur,очки с круглой оправой,monture arrondie,gafa redonda de pasta,round-frame glasses,monture arrondie,par de lentes de pasta,まるぶちめがね,둥근 테 안경,圓形粗框眼鏡,圆形粗框眼镜
1391,Quadrat-Browline-Brille,squared browline glasses,montatura browline quadra,rechte-browlinebril,угловатые броулайнеры,monture browline carrée,gafa montura superior recta,squared browline glasses,monture carrée,par de lentes rectos,スクエアサーモントめがね,사각 하금테 안경,方形眉框眼鏡,方形眉框眼镜
1438,Neonbrille,neon shades,montatura neon,neonzonnebril,неоновые очки от солнца,monture fluo,gafa de sol neón,neon shades,monture fluo,par de lentes de sol neón,ネオンのサングラス,네온 선글라스,螢光色墨鏡,荧光色墨镜
1447,Karneval-in-Venedig-Maske,Venetian carnival mask,maschera veneziana,Venetiaans carnavalsmasker,венецианск. карнав. маска,masque vénitien,máscara carnaval veneciano,Venetian carnival mask,masque vénitien,máscara carnaval veneciano,ヴェニスのカーニバルマスク,베네치아 카니발 가면,威尼斯嘉年華面具,威尼斯狂欢节面具
1461,Einfach-Sonnenbrille,simple sunglasses,montatura da sole semplice,eenvoudige zonnebril,простые очки от солнца,monture solaire simple,gafa de sol simple,simple sunglasses,monture solaire simple,par de lentes de sol simples,シンプルなサングラス,심플 선글라스,簡約墨鏡,简约墨镜
1489,Blödelbrille,silly glasses,montatura buffa,gekke fopbril,шуточные очки,monture facétieuse,gafa graciosa con párpados,silly glasses,monture rigolote,par de lentes con párpados,いとをかしなメガネ,입체 코믹한 안경,非常搞笑眼鏡,非常搞笑眼镜
184,Schnabel,beak,becco,snavel,клюв,bec,pico,beak,bec,pico,くちばし,부리,鴨嘴道具,鸭嘴道具
185,Zwirbelbart,handlebar mustache,baffo a manubrio,klassieke snor,большие усы,moustache en guidon,bigote inglés,handlebar mustache,moustache en guidon,bigote inglés,カイゼルひげ,콧수염,八字翹鬍,八字翘胡
257,Laborbrille,rimmed glasses,montatura rotonda,ronde bril,очки в роговой оправе,monture intello,gafa redonda,rimmed glasses,monture intello,par de lentes redondos,まるめがね,동글 안경,圓框眼鏡,圆框眼镜
258,Rechteckbrille,square glasses,montatura squadrata,rechthoekige bril,прямоугольные очки,monture rectangulaire,gafa rectangular,square glasses,monture rectangulaire,par de lentes rectangulares,スクエアめがね,사각 안경,方框眼鏡,方框眼镜
259,Herzchenbrille,heart shades,montatura a cuori,hartenzonnebril,очки-сердечки,monture cœur,gafa corazón,heart shades,monture cœur,par de lentes corazón,ハートのサングラス,하트 선글라스,愛心墨鏡,爱心墨镜
260,Browline-Brille,browline glasses,montatura browline,browline-bril,броулайнеры,monture browline,gafa montura superior,browline glasses,monture papillon,par de lentes armazón alto,サーモントめがね,하금테 안경,眉框眼鏡,眉框眼镜
261,Achteckbrille,octagonal glasses,montatura ottagonale,achthoekige bril,восьмиугольные очки,monture octogonale,gafa octogonal,octagonal glasses,monture octogonale,par de lentes octogonales,オクタゴンめがね,팔각 안경,八角形眼鏡,八角形眼镜
262,Sternenbrille,star shades,montatura a stelle,sterrenzonnebril,очки-звездочки,monture étoiles,gafa estrella,star shades,monture étoiles,par de lentes estrella,ほしのサングラス,별 선글라스,星形墨鏡,星形墨镜
263,Rundsonnenbrille,round shades,montatura con lenti scure,ronde zonnebril,очки «Кошачий глаз»,monture solaire ronde,gafa de sol redonda,round shades,monture solaire ronde,par de lentes sol redondos,ボストンめがね,둥근 선글라스,波士頓框眼鏡,波士顿框眼镜
264,Dreiecksbrille,triangle shades,montatura triangolare,driehoekige zonnebril,треугольные очки,monture triangle,gafa de sol roquera,triangle shades,monture triangle,par de lentes sol roqueros,さんかくサングラス,삼각 선글라스,三角形墨鏡,三角形墨镜
277,Doppelstegbrille,double-bridge glasses,montatura a doppio ponte,pilotenbril,очки с двойным мостом,monture double pont,gafa de doble puente,double-bridge glasses,monture double pont,par de lentes doble puente,ダブルブリッジめがね,더블 브리지 안경,雙樑眼鏡,双梁眼镜
286,Flaschenglasbrille,glass-bottle glasses,montatura con lenti spesse,jampotbril,очки с толстыми линзами,monture double foyer,gafa de culo de vaso,glass-bottle glasses,monture double foyer,par de lentes gruesos,ビンぞこめがね,두꺼운 안경,瓶底眼鏡,瓶底眼镜
315,Kaputte Brille,shattered glasses,montatura con lenti rotte,kapotte bril,очки с трещинами,monture à verres brisés,gafa rota,shattered glasses,monture à verres brisés,par de lentes rotos,ヒビわれめがね,금이 간 안경,有裂痕的眼鏡,有裂痕的眼镜
358,Augenmaske,eye mask,mascherina per dormire,slaapmasker,маска для сна,masque repos,antifaz para dormir,eye mask,masque de sommeil,antifaz para dormir,アイマスク,아이마스크,眼罩,眼罩
375,Mundschutz,doctor's mask,mascherina medica,doktersmasker,маска врача,masque chirurgical,mascarilla quirúrgica,doctor's mask,masque chirurgical,máscara cirujano,マスク,마스크,口罩,口罩
376,Augenverband,post-op patch,benda postoperatoria,oogverband,глазной пластырь,pansement oculaire,parche médico,post-op patch,pansement oculaire,parche médico,がんたい,안대,醫療眼罩,医疗眼罩
377,Skibrille,ski goggles,maschera da sci,skibril,лыжные очки,masque de ski,gafa de esquí,ski goggles,lunettes de skis,visor esquí,スキーゴーグル,스키 고글,滑雪風鏡,滑雪风镜
378,Schwimmbrille,goggles,paio di occhialini da nuoto,zwembril,очки для плавания,monture piscine,gafa para piscina,goggles,monture piscine,visor de natación,すいえいゴーグル,물안경,泳鏡,泳镜
379,Retro-Sonnenbrille,retro shades,montatura rétro,retrozonnebril,солнечные ретро-очки,monture rétro irisée,gafa retro,retro shades,monture rétro irisée,par de lentes retro,レトロなサングラス,레트로 선글라스,復古墨鏡,复古墨镜
380,Augenklappe,eye patch,benda per occhio,ooglapje,глазная повязка,cache-œil,parche,eye patch,cache-œil,parche,アイパッチ,검정 안대,單眼眼罩,单眼眼罩
381,Sportbrille,sporty shades,montatura sportiva,sportieve zonnebril,спортивные очки,monture sport,gafa de sol esquí,sporty shades,monture sport,par de lentes sol esquí,スポーツサングラス,스포츠 선글라스,運動墨鏡,运动墨镜
