Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
BdayCupcake_02779,Geburtstags-Cupcake,birthday cupcake,cupcake di compleanno,verjaardagscupcake,именинный кекс,cupcake d'anniversaire,pastelito de cumpleaños,birthday cupcake,cupcake de fête,pastelito de cumpleaños,バースデーカップケーキ,생일 컵케이크,生日紙杯蛋糕,生日纸杯蛋糕
BdayCupcake_02779_pl,Geburtstags-Cupcakes,birthday cupcakes,cupcake di compleanno,verjaardagscupcakes,именинные кексы,cupcakes d'anniversaire,pastelitos de cumpleaños,birthday cupcakes,cupcakes de fête,pastelitos de cumpleaños,バースデーカップケーキ,생일 컵케이크,生日紙杯蛋糕,生日纸杯蛋糕
Candy_13196_pl,Lollis,lollipops,lecca-lecca,lolly's,леденцы на палочке,sucettes,piruletas,lollipops,suçons,paletas,ロリポップ,롤리팝,棒棒糖,棒棒糖
Candy_13197_pl,Bonbons,candy,dolcetti,snoepjes,конфеты,bonbons,chuches,candy,bonbons,dulces,アメ,사탕,糖果,糖果
EasterEgg_12509,Erd-Glücksei,earth egg,uovo terrestre,aarde-ei,земляное яйцо,œuf terrestre,huevo terrestre,earth egg,œuf terrestre,huevo terrestre,じめんのたまご,땅 달걀,地面蛋,地面蛋
EasterEgg_12509_pl,Erd-Glückseier,earth eggs,uova terrestri,aarde-eieren,земляные яйца,œufs terrestres,huevos terrestres,earth eggs,œufs terrestres,huevos terrestres,じめんのたまご,땅 달걀,地面蛋,地面蛋
EasterEgg_12510,Fels-Glücksei,stone egg,uovo roccioso,steenei,каменное яйцо,œuf minéral,huevo rupestre,stone egg,œuf minéral,huevo rupestre,いわのたまご,바위 달걀,岩石蛋,岩石蛋
EasterEgg_12510_pl,Fels-Glückseier,stone eggs,uova rocciose,steeneieren,каменные яйца,œufs minéraux,huevos rupestres,stone eggs,œufs minéraux,huevos rupestres,いわのたまご,바위 달걀,岩石蛋,岩石蛋
EasterEgg_12511,Laub-Glücksei,leaf egg,uovo frondoso,bladei,лиственное яйцо,œuf feuillu,huevo boscoso,leaf egg,œuf feuillu,huevo boscoso,はっぱのたまご,나뭇잎 달걀,葉子蛋,叶子蛋
EasterEgg_12511_pl,Laub-Glückseier,leaf eggs,uova frondose,bladeieren,лиственные яйца,œufs feuillus,huevos boscosos,leaf eggs,œufs feuillus,huevos boscosos,はっぱのたまご,나뭇잎 달걀,葉子蛋,叶子蛋
