Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Dishes_12791,Tantanmen,tantanmen,tantanmen,tantanmen-ramen,тантанмен-рамэн,bol de tantanmen,ramen picante al sésamo,tantanmen,bol de tantanmen,ramen picante al sésamo,タンタンメン,탄탄멘,擔擔麵,担担面
Dishes_12792,Shoyu-Ramen,shoyu ramen,shoyu ramen,shoyu-ramen,сёю-рамэн,bol de shoyu ramen,ramen a la salsa de soja,shoyu ramen,bol de ramen shoyu,ramen a la salsa de soya,しょうゆラーメン,쇼유라멘,醬油拉麵,酱油拉面
Dishes_12793,Herzhaft-Ramen,hearty ramen,tonkotsu ramen,hartige ramen,наваристый рамэн,bol de ramen généreux,ramen tradicional,hearty ramen,bol de ramen riche,ramen tradicional,とんこつラーメン,돈코츠라멘,豚骨拉麵,豚骨拉面
Dishes_12794,Miso-Ramen,miso ramen,miso ramen,miso-ramen,мисо-рамэн,bol de miso ramen,ramen de miso,miso ramen,bol de ramen miso,ramen de miso,みそラーメン,미소라멘,味噌拉麵,味噌拉面
Dishes_12795,Shio-Ramen,shio ramen,shio ramen,shio-ramen,сио-рамэн,bol de shio ramen,ramen salado,shio ramen,bol de ramen shio,ramen salado,しおラーメン,시오라멘,鹽味拉麵,盐味拉面
Dishes_12813,Snackbrot,savory bread,cestino di pane,hartig brood,вкусная выпечка,corbeille de pains salés,cesta de pan vegetal,savory bread,corbeille de pains salés,cesta de pan vegetal,そうざいパン,고소한 빵,鹹麵包,咸面包
Dishes_12815,Pilaw,pilaf,pilaf,pilav,пилав,riz pilaf,arroz pilaf,pilaf,riz pilaf,arroz pilaf,ピラフ,필래프,手抓飯,手抓饭
Dishes_12816,Nigiri-Sushi,nigirizushi,nigiri sushi,nigiri-sushi,суши нигири,menu nigirizushi,bandeja de nigiri,nigirizushi,plateau nigirizushi,bandeja de nigiri,にぎりずし,초밥,握壽司,握寿司
Dishes_12817,Premium-Nigiri-Sushi,premium nigirizushi,nigiri sushi pregiato,kwaliteitsnigiri-sushi,суши нигири премиум,menu nigirizushi premium,bandeja de nigiri superior,premium nigirizushi,plateau nigirizushi premium,bandeja de nigiri superior,じょうにぎり,고급 초밥,高級握壽司,高级握寿司
Dishes_12818,Superb-Nigiri-Sushi,super-premium nigirizushi,nigiri sushi superpregiato,topkwaliteitsnigiri-sushi,особые суши нигири,menu nigirizushi spécial,bandeja de nigiri supremo,super-premium nigirizushi,plateau nigirizushi spécial,bandeja de nigiri supremo,とくじょうにぎり,최고급 초밥,頂級握壽司,顶级握寿司
Dishes_12822,Brot,bread,pane,wit brood,выпечка,corbeille de pains,cesta de pan y bollería,bread,corbeille de pains,cesta de panes,パン,빵,麵包,面包
Dishes_12823,Biobrot,organic bread,pane organico,bruin brood,выпечка с отрубями,corbeille de pains bio,cesta de pan integral,organic bread,corbeille de pains bio,cesta de pan integral,オーガニックパン,유기농 빵,有機麵包,有机面包
Dishes_12824,Naschbrot,snack bread,cestino di panini,zoet brood,сдобная выпечка,corbeille de viennoiseries,cesta de pan y galletas,snack bread,corbeille de viennoiseries,cesta de pan y galletas,かしパン,과자 빵,甜麵包,甜面包
