Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
1003,Paar Veloursturnschuhe,faux-suede sneakers,paio sneaker finto camoscio,kunstsuède sneakers,кроссовки «под замшу»,paire de tennis en suédine,zapatilla imitación ante,faux-suede sneakers,paire de tennis en suédine,tenis gamuza sintética,スエードスニーカー,스웨이드 스니커,麂皮運動鞋,麂皮运动鞋
1097,Paar Kung-Fu-Schuhe,kung-fu shoes,paio di scarpe da kung fu,kungfuschoenen,тапочки для кунг-фу,p. de chaussons de kung-fu,zapato kung-fu,kung-fu shoes,p. de chaussons de kung-fu,zapato kung-fu,カンフーシューズ,쿵푸 신발,功夫鞋,功夫鞋
1098,Paar Stickschuhe,embroidered shoes,paio di scarpe ricamate,geborduurde schoenen,расшитые туфли,p. de chaussures brodées,manoletina con bordado,embroidered shoes,p. de souliers brodés,bailarina con bordado,ししゅうのくつ,자수 구두,刺繡鞋,刺绣鞋
1135,Paar Samthea-Pumps,Labelle pumps,paio scarpe con tacco Bice,Labelle-pumps,туфли «Лэйблеск»,paire de ballerines Maria,manoletina Trini,Labelle pumps,paire de ballerines Maria,bailarina Trini,ケイトのパンプス,케이트의 펌프스,凱絲低跟鞋,凯丝的浅口鞋
1136,Paar Samthea-Sneaker,Labelle sneakers,paio di sneaker Bice,Labelle-sneakers,кеды «Лэйблеск»,paire de baskets Maria,zapatilla Trini,Labelle sneakers,paire d'espadrilles Maria,tenis Trini,ケイトのスニーカー,케이트의 스니커,凱絲運動鞋,凯丝的休闲鞋
1145,Paar Nook-Inc.-Pantoffeln,Nook Inc. slippers,paio di pantofole Nook Inc.,Nook Inc.-sloffen,тапочки Nook Inc.,p. de chaussons Nook Inc.,pantufla de Nook Inc.,Nook Inc. slippers,p. de chaussons Nook Inc.,pantufla de Nook Inc.,たぬきかいはつスリッパ,Nook Inc. 슬리퍼,Nook Inc.拖鞋,Nook Inc.拖鞋
1184,Paar DAL-Pantoffeln,DAL slippers,paio di pantofole DAL,DAL-sloffen,тапочки DAL,paire de chaussons DAL,pantufla de DAL,DAL slippers,paire de chaussons DAL,pantufla de DAL,ＤＡＬスリッパ,DAL 슬리퍼,DAL拖鞋,DAL拖鞋
1191,Paar Recyclingstiefel,recycled boots,paio di stivali riciclati,hergebruikte laarzen,сапоги из утиль-сырья,paire de bottes recyclées,bota reciclada,recycled boots,paire de bottes recyclées,bota reciclada,リサイクルながぐつ,재활용 장화,舊長靴,回收长靴
1211,Paar Erd-Ei-Schuhe,earth-egg shoes,paio di scarpe uova terrestri,aarde-ei-schoenen,боты «Земляное яйцо»,p. chaussures œuf terrestre,zapato de huevo terrestre,earth-egg shoes,p. souliers œuf terrestre,zapato de huevo terrestre,じめんのたまごのくつ,땅 달걀 신발,地面蛋鞋子,地面蛋鞋子
1212,Paar Fels-Ei-Schuhe,stone-egg shoes,paio scarpe uova rocciose,steenei-schoenen,боты «Каменное яйцо»,p. chaussures œuf minéral,zapato de huevo rupestre,stone-egg shoes,p. souliers œuf minéral,zapato de huevo rupestre,いわのたまごのくつ,바위 달걀 신발,岩石蛋鞋子,岩石蛋鞋子
1213,Paar Laub-Ei-Schuhe,leaf-egg shoes,paio scarpe uova frondose,bladei-schoenen,боты «Лиственное яйцо»,p. chaussures œuf feuillu,zapato de huevo boscoso,leaf-egg shoes,p. souliers œuf feuillu,zapato de huevo boscoso,はっぱのたまごのくつ,나뭇잎 달걀 신발,葉子蛋鞋子,叶子蛋鞋子
1214,Paar Holz-Ei-Schuhe,wood-egg shoes,paio scarpe uova boscose,houtei-schoenen,боты «Лесное яйцо»,p. chaussures œuf boisé,zapato de huevo leñoso,wood-egg shoes,p. souliers œuf boisé,zapato de huevo leñoso,ウッディなたまごのくつ,나무 달걀 신발,森林蛋鞋子,森林蛋鞋子
1215,Paar Luft-Ei-Schuhe,sky-egg shoes,paio di scarpe uova celesti,luchtei-schoenen,боты «Небесное яйцо»,p. chaussures œuf aérien,zapato de huevo celeste,sky-egg shoes,p. souliers œuf aérien,zapato de huevo celeste,そらとぶたまごのくつ,하늘을 나는 달걀 신발,飛天蛋鞋子,飞天蛋鞋子
1216,Paar Wasser-Ei-Schuhe,water-egg shoes,p. scarpe uova acquatiche,waterei-schoenen,боты «Водяное яйцо»,p. chaussures œuf aquatiq.,zapato de huevo acuático,water-egg shoes,p. souliers œuf aquatiq.,zapato de huevo acuático,サカナのたまごのくつ,물고기 달걀 신발,魚兒蛋鞋子,鱼儿蛋鞋子
1217,Paar Hochzeits-Pumps,wedding pumps,paio ballerine nuziali fiocco,trouwballerina's,свадебные лодочки,p. escarpins de mariage,zapato nupcial con lazo,wedding pumps,p. escarpins de mariage,zapato nupcial con lazo,じゅんぱくのパンプス,순백 펌프스,純白低跟鞋,纯白浅口鞋
1218,Paar Hochzeitsschuhe,wedding shoes,paio scarpe nuziali fibbia,trouwschoenen,свадебные туфли,p. chaussures de mariage,zapato nupcial con hebilla,wedding shoes,p. souliers de mariage,zapato nupcial con hebilla,じゅんぱくのシューズ,순백 슈즈,純白鞋,纯白鞋
1223,Paar Nixenschuhe,mermaid shoes,paio scarpe sirena,meerminnenballerina's,туфли русалки,paire de chaussures sirène,zapato sirena,mermaid shoes,paire de souliers sirène,zapato sirena,マーメイドなくつ,머메이드 구두,人魚鞋,人鱼鞋
1228,Paar Piratenstiefel,pirate boots,paio di stivali da pirata,piratenlaarzen,пиратские сапоги,paire de bottes de pirate,bota pirata,pirate boots,paire de bottes de pirate,bota pirata,かいぞくのブーツ,해적 부츠,海盜靴,海盗靴
1247,Gips,cast,gesso,gipsverband,гипс на ногу,plâtre,escayola de pie,cast,plâtre,yeso,ギプス,깁스,腳部石膏,脚部石膏
1269,Paar Tierkostüm-Schuhe,flashy animal boots,paio di stivali da animale,dierenlaarzen,броские звериные сапоги,p. de bottes animal flashy,bota de animal,flashy animal boots,p. de bottes animal flashy,bota de animal,ハデなアニマルきぐるみブーツ,화려한 동물 인형 옷 부츠,鮮豔動物玩偶裝靴子,鲜艳动物玩偶服靴子
1270,Paar Zauberschuhe,mage's boots,paio di stivali stregoneschi,heksenlaarzen,полусапоги мага,paire de bottes de mage,bota de hechicería,mage's boots,paire de bottes de mage,bota de hechicería,まほうつかいのブーツ,마법사 부츠,魔法師靴子,魔法师靴子
1281,Paar Hello-Kitty-Schuhe,Hello Kitty shoes,paio di scarpe Hello Kitty,Hello Kitty-ballerina's,туфли Hello Kitty,p. de chaussures Hello Kitty,mercedita Hello Kitty,Hello Kitty shoes,p. de souliers Hello Kitty,zapato hebilla Hello Kitty,ハローキティなくつ,헬로키티 구두,Hello Kitty鞋,Hello Kitty鞋
1283,Paar My-Melody-Schuhe,My Melody boots,paio di stivali My Melody,My Melody-ballerina's,унты My Melody,paire de bottes My Melody,bota My Melody,My Melody boots,p. de bottes My Melody,bota My Melody,マイメロディなブーツ,마이멜로디 부츠,My Melody靴子,My Melody靴子
1287,Paar Kiki-&-Lala-Schuhe,Kiki & Lala shoes,paio di scarpe Kiki & Lala,Kiki-&-Lala-ballerina's,туфли Kiki & Lala,p. d'escarpins Kiki & Lala,mercedita Kiki & Lala,Kiki & Lala shoes,p. d'escarpins Kiki & Lala,zapato hebilla Kiki & Lala,キキ&ララなストラップシューズ,리틀트윈스타 스트랩 슈즈,Kiki & Lala扣帶鞋,Kiki & Lala扣带鞋
1290,Paar Pompompurin-Schuhe,Pompompurin boots,paio di stivali Pompompurin,Pompompurin-schoenen,полусапоги Pompompurin,p. de bottes Pompompurin,botín Pompompurin,Pompompurin boots,p. de bottes Pompompurin,botín Pompompurin,ポムポムプリンなブーツ,폼폼푸린 부츠,Pompompurin靴子,Pompompurin靴子
1292,Paar Cinnamoroll-Sneaker,Cinnamoroll sneakers,paio di sneaker Cinnamoroll,Cinnamoroll-sneakers,полукеды Cinnamoroll,p. de baskets Cinnamoroll,zapatilla Cinnamoroll,Cinnamoroll sneakers,p. d'espadrilles Cinnamoroll,tenis Cinnamoroll,シナモロールなスニーカー,시나모롤 스니커,Cinnamoroll運動鞋,Cinnamoroll运动鞋
1297,Paar Keroppi-Stiefel,Kerokerokeroppi boots,paio stivali Kerokerokeroppi,Kerokerokeroppi-laarzen,сапоги Kerokerokeroppi,p. bottes Kerokerokeroppi,bota Kerokerokeroppi,Kerokerokeroppi boots,p. bottes Kerokerokeroppi,bota Kerokerokeroppi,けろけろけろっぴなブーツ,케로케로케로피 부츠,Kerokerokeroppi靴子,Kerokerokeroppi靴子
1327,Paar Wario-Latschen,Wario shoes,paio di scarpe di Wario,Wario-schoenen,туфли Варио,p. de chaussures de Wario,zapato de Wario,Wario shoes,p. de souliers de Wario,zapato de Wario,ワリオのくつ,와리오 신발,瓦利歐鞋,瓦力欧鞋
1328,Paar Mario-Schuhe,Mario shoes,paio di scarpe di Mario,Mario-schoenen,ботинки Марио,p. de chaussures de Mario,zapato de Mario,Mario shoes,p. de souliers de Mario,zapato de Mario,マリオのくつ,마리오 신발,瑪利歐鞋,马力欧鞋
1331,Paar Peach-Pumps,Princess Peach shoes,paio di scarpe di Peach,prinses-Peach-pumps,туфли принцессы Пич,p. chauss. Princesse Peach,zapato de Peach,Princess Peach shoes,p. soul. de Princesse Peach,zapato de Peach,ピーチひめのくつ,피치공주 구두,碧姬公主鞋,桃花公主鞋
1353,Paar Kleeblattschuhe,shamrock shoes,paio di scarpe trifoglio,klaverschoenen,туфли «Трилистник»,paire de chaussures trèfle,botín trébol,shamrock shoes,paire de souliers trèfle,zapato trébol,シャムロックシューズ,성 패트릭 슈즈,三葉草鞋,三叶草鞋
1355,Paar Luigi-Schuhe,Luigi shoes,paio di scarpe di Luigi,Luigi-schoenen,ботинки Луиджи,p. de chaussures de Luigi,zapato de Luigi,Luigi shoes,p. de souliers de Luigi,zapato de Luigi,ルイージのくつ,루이지 신발,路易吉鞋,路易吉鞋
1363,Paar Tanzschuhe,dance shoes,paio di scarpe da ballo,dansschoenen,танцевальные туфли,p. de chaussures de danse,zapato baile de fin de curso,dance shoes,p. de souliers de danse,zapato baile de fin de curso,ダンスシューズ,댄스 슈즈,舞鞋,舞鞋
1419,Paar FHA-Sandalen,Paradise Planning sandals,paio di sandali CV,resortplanbureausandalen,сандалии курортн. бюро,paire de sandales LVDL,sandalia Archipiélago,Paradise Planning sandals,p. sandales PSM,sandalia Archipiélago,タクミライフのサンダル,파라다이스 플래닝 샌들,巧美生活涼鞋,巧美生活凉鞋
1420,Paar FHA-Pantoffeln,Paradise Planning slippers,paio di pantofole CV,resortplanbureausloffen,тапочки курортного бюро,paire de chaussons LVDL,pantufla Archipiélago,Paradise Planning slippers,p. chaussons PSM,pantufla Archipiélago,タクミライフのスリッパ,파라다이스 플래닝 슬리퍼,巧美生活拖鞋,巧美生活拖鞋
1453,Paar Simpel-Pumps,basic pumps,paio di ballerine semplici,eenvoudige pumps,обычные лодочки,paire d'escarpins simple,manoletina sencilla,basic pumps,paire d'escarpins simple,bailarina sencilla,シンプルなパンプス,심플한 펌프스,簡約低跟鞋,简约低跟鞋
236,Paar Kimono-Sandalen,kimono sandals,paio di zoccoli da kimono,kimonosandalen,японские сандалии,paire de sandales kimono,sandalia kimono,kimono sandals,paire de sandales kimono,sandalia kimono,げた,일본풍 샌들,二齒木屐,木屐
515,Paar Badelatschen,shower sandals,paio di ciabatte da doccia,badslippers,тапочки для душа,paire de claquettes de bain,chancla de piscina,shower sandals,p. de gougounes de douche,chancla de piscina,シャワーサンダル,줄무늬 슬리퍼,浴室拖鞋,浴室拖鞋
517,Paar Kunstleder-Sneaker,pleather sneakers,paio di sneaker in ecopelle,kunstleren sneakers,кроссовки из кожзама,paire de tennis en similicuir,deportiva de polipiel,pleather sneakers,paire d'esp. en similicuir,tenis de cuero sintético,レザーのスニーカー,가죽 스니커,皮運動鞋,皮休闲鞋
520,Paar Kunstfellstiefel,faux-shearling boots,paio di stivali finto montone,winterlaarzen,сапожки под овчину,paire de bottes fourrées,bota sherpa,faux-shearling boots,paire de bottes fourrées,bota de piel sintética,ムートンブーツ,양털 부츠,麂皮雪靴,雪地靴
521,Paar Vinyl-Pumps,vinyl round-toed pumps,paio di ballerine in vernice,vinylen pumps,виниловые лодочки,paire d'escarpins en vinyle,tacón vinilo punta redonda,vinyl round-toed pumps,paire d'escarpins en vinyle,zapato vinilo punta redonda,エナメルのパンプス,에나멜 펌프스,漆皮低跟鞋,漆皮浅口鞋
522,Paar Slipper,loafers,paio di mocassini,instappers,лоферы,paire de chaussures bateau,mocasín,loafers,paire de souliers bateau,mocasín,ローファー,로퍼,樂福鞋,乐福鞋
523,Paar Kreuzriemensandalen,cross-belt sandals,paio di sandali a due fasce,kruislingse sandalen,сандалии с перевязью,p. sandales brides croisées,sandalia de banda cruzada,cross-belt sandals,p. sandales brides croisées,sandalia cruzada,クロスベルトサンダル,크로스 벨트 샌들,交叉帶涼鞋,交叉带凉鞋
526,Paar Business-Schuhe,business shoes,paio di scarpe da impiegato,zakenschoenen,деловые ботинки,paire de chaussures pro,zapato ejecutivo,business shoes,paire de souliers pro,zapato ejecutivo,ビジネスシューズ,비즈니스 슈즈,商務皮鞋,商务皮鞋
528,Paar Veloursstiefel,velour boots,paio di stivali di velour,fluwelen laarzen,велюровые сапоги,paire de bottes en velours,botín de velur,velour boots,paire de bottes en velours,botín de velvetón,ベロアブーツ,벨루어 부츠,絨面靴,天鹅绒靴
529,Paar Regenstiefel,rain boots,paio di stivali da pioggia,regenlaarzen,резиновые сапоги,paire de bottes de pluie,katiuska,rain boots,paire de bottes de pluie,bota de lluvia,レインブーツ,레인 부츠,雨靴,雨靴
530,Paar Sandalen,zori,paio di zori,zori,дзори,paire de zori,sandalia de bambú,zori,paire de zori,sandalia de bambú,ぞうり,가락 신,草履拖鞋,草履拖鞋
705,Paar Trekkingschuhe,trekking shoes,paio di scarpe da trekking,wandelschoenen,походные ботинки,p. de chaussures de rando,zapato de senderismo,trekking shoes,p. de souliers de rando,zapato de senderismo,トレッキングシューズ,트래킹 슈즈,登山鞋,登山鞋
760,Paar Pfoten,paw slippers,paio di pantofole a zampa,pootpantoffels,слипперы-лапы,paire de chaussons animal,pantufla zarpa,paw slippers,paire de chaussons animal,pantufla garra,アニマルスリッパ,동물 슬리퍼,動物拖鞋,兽爪鞋
761,Paar Badesandalen,flip-flops,paio di infradito,teenslippers,шлепанцы,paire de tongs,chancla,flip-flops,paire de sandales,chancla,ビーチサンダル,비치 샌들,沙灘拖鞋,沙滩拖鞋
762,Paar Riemchenschuhe,mary janes,paio di scarpe con cinturino,kinderschoenen,туфли с перемычкой,paire de babies,mercedita,mary janes,paire d'espadrilles,zapato hebilla negro,ストラップシューズ,메리제인 슈즈,扣帶鞋,扣带鞋
763,Paar Silberrüstungsschuhe,armor shoes,paio scarpe armatura,ridderlaarzen,рыцарские сапоги,paire de solerets,escarpe,armor shoes,paire de solerets,escarpe,アイアンアーマーシューズ,아이언 아머 슈즈,鐵甲鞋,铁甲靴
764,Paar Uwabaki,slip-on school shoes,paio di pantofole da scuola,Japanse schoolschoenen,увабаки,paire de souliers d'école,zapatilla escolar japonesa,slip-on school shoes,paire de souliers d'école,zapatilla escolar japonesa,うわばき,학교 실내화,室內便鞋,室内鞋
765,Paar Kunstlederstiefel,pleather ankle booties,paio di stivaletti in ecopelle,kunstleren enkellaarsjes,полусапожки из кожзама,paire de bottines similicuir,botín de polipiel,pleather ankle booties,paire de bottines similicuir,bota corta cuero sintético,レザーのショートブーツ,가죽 앵클 부츠,皮短靴,皮短靴
766,Paar Blümchensandalen,flower sandals,paio di sandali floreali,sandalen met bloemen,сандалии с цветком,paire de sandales fleuries,sandalia con flor,flower sandals,paire de sandales fleuries,sandalia con flor,フラワーなサンダル,플라워 샌들,花朵拖鞋,花朵凉鞋
767,Paar Kunstfellstiefeletten,faux-fur ankle booties,paio stivaletti ecopelliccia,laarsjes met imitatiebont,полусапожки «под мех»,p. bottines fausse fourrure,botín de pelo sintético,faux-fur ankle booties,p. bottines fausse fourrure,bota corta piel sintética,ファーブーツ,인조털 부츠,毛毛靴,翻毛短靴
768,Paar Leopardenschuhe,leopard pumps,paio di ballerine maculate,luipaardpumps,леопардовые туфли,paire de ballerines léopard,manoletina de leopardo,leopard pumps,paire de ballerines léopard,bailarina de leopardo,アニマルパンプス,레오파드 펌프스,豹紋低跟鞋,豹纹浅口鞋
769,Paar Zehensandalen,beaded sandals,paio di infradito perlati,teenslippers met kraaltjes,сандалии с декором,paire de sandales à perles,sandalia de cuentas,beaded sandals,paire de sandales à perles,sandalia de cuentas,ビーズししゅうのサンダル,비즈 자수 샌들,珠珠拖鞋,珠珠拖鞋
772,Paar Stiefel,boots,paio di stivali,laarsjes,сапоги,paire de bottines,bota,boots,paire de bottes,bota,ながぐつ,장화,長靴,长靴
776,Paar Legendenstiefel,antique boots,paio di stivali leggenda,klassieke laarzen,старинные сапоги,paire de bottes sept lieues,bota del medievo,antique boots,paire de bottes sept lieues,bota medieval,アンティークなブーツ,앤티크 부츠,古老靴子,古老靴子
777,Paar Goldrüstungsschuhe,gold-armor shoes,paio scarpe armatura dorata,gouden ridderlaarzen,латные золотые сапоги,paire de solerets or,escarpe de oro,gold-armor shoes,paire de solerets or,escarpe de oro,ゴールデンアーマーシューズ,골든 아머 슈즈,金甲鞋,金甲靴
778,Paar Filzpantoffeln,slippers,paio di pantofole,pantoffels,слипперы,paire de pantoufles,pantufla,slippers,paire de pantoufles,pantufla,スリッパ,슬리퍼,拖鞋,拖鞋
779,Paar Arbeitsstiefel,work boots,paio di anfibi,werkschoenen,рабочие сапоги,paire de bottes de travail,bota de trabajo,work boots,paire de bottes de travail,bota de trabajo,ワークブーツ,워커,馬丁靴,马丁靴
780,Paar Mokassinstiefeletten,moccasin boots,paio di stivaletti mocassino,mocassinlaarsjes,полусапожки-мокасины,paire de bottines mocassins,botín estilo mocasín,moccasin boots,paire de bottines mocassins,bota corta estilo mocasín,モカシンブーツ,모카신 부츠,莫卡辛靴,莫卡辛靴
782,Paar Puschel-Stiefel,pom-pom boots,paio di stivaletti pon-pon,laarsjes met pompons,сапоги с помпонами,paire de bottes à pompons,botín con pompones,pom-pom boots,paire de bottes à pompons,bota corta con pompones,ポンポンつきブーツ,폼폼 부츠,毛球靴,毛球靴
783,Paar Samuraistiefel,samurai greaves,paio di gambiere da samurai,samoerai-sandalen,поножи воина,paire de grèves de samouraï,bota de samurái,samurai greaves,paire de grèves de samouraï,bota de samurái,かっちゅうのすねあて,갑옷 다리 보호대,盔甲護腿鞋,盔甲护腿靴
784,Paar Riemchenpumps,strappy heels,paio ballerine con cinturino,elegante hakjes,туфли c застежками,paire d'escarpins à bride,tacón de tiras,strappy heels,paire d'escarpins à bride,tacón de tiras,ストラップつきパンプス,스트랩 펌프스,扣帶低跟鞋,扣带浅口鞋
785,Paar Pantoffeln,house slippers,paio di pantofole da casa,huissloffen,домашние тапочки,paire de chaussons,pantufla hogareña,house slippers,paire de chaussons,pantufla hogareña,ルームシューズ,실내용 슬리퍼,室內拖鞋,居家拖鞋
786,Paar Kunststoffschlappen,slip-on sandals,paio di ciabatte di gomma,plastic sloffen,пляжные сабо,paire de sabots caoutchouc,sandalia de plástico,slip-on sandals,paire de sabots caoutchouc,sandalia de plástico,スリッポンサンダル,슬립온 샌들,布希鞋,懒人拖鞋
787,Paar Schlupfschuhe,slip-on loafers,paio di mocassini casual,casual instappers,лоферы без шнурков,paire de mocassins en toile,mocasín de talón bajo,slip-on loafers,paire de mocassins en toile,mocasín de talón bajo,スリッポン,슬립온,懶人鞋,懒人鞋
789,Paar Prinzessinnenschuhe,shiny bow platform shoes,paio di scarpette bambolina,schoenen met enkelbandjes,милые туфли,paire de babies à rubans,zapato muñequita,shiny bow platform shoes,paire d'escarpins à rubans,zapato muñequita,ロリータシューズ,리본 레이스 슈즈,蘿莉塔鞋,洛丽塔鞋
791,Paar Ballettschuhe,ballet slippers,paio di scarpette da punta,balletschoenen,пуанты,paire de chaussons danse,zapatilla de ballet,ballet slippers,paire de chaussons danse,zapatilla de ballet,バレエシューズ,발레 슈즈,芭蕾舞鞋,芭蕾舞鞋
792,Paar Visual-Kei-Stiefel,visual-punk boots,paio di stivali visual kei,Japanse punklaarzen,панковские сапоги,paire de bottes visual kei,bota punk,visual-punk boots,paire de bottes visual kei,bota punk,ヴィジュアルけいブーツ,펑크 스타일 부츠,視覺系靴,视觉系靴
794,Paar Knöchelturnschuhe,rubber-toe high tops,paio di sneaker alte,sneakers met rubber neus,высокие кеды,p. tennis skate montantes,zapatilla alta con puntera,rubber-toe high tops,p. espa. skate montantes,tenis alto con puntera,ラバートゥハイカットスニーカー,러버토 하이컷 스니커,高筒帆布鞋,高筒帆布鞋
795,Paar Holzpantoffeln,wooden clogs,paio di zoccoli di legno,klompen,деревянные клоги,paire de sabots décorés,zueco florido,wooden clogs,paire de sabots décorés,zueco florido,きぐつ,네덜란드 나막신,木鞋,木鞋
796,Paar Pantoletten,comfy sandals,paio di sandali comodi,comfortabele sandalen,пробковые пантолеты,paire sandales confortables,sandalia holgada,comfy sandals,paire sandales confortables,sandalia holgada,コンフォートサンダル,컴포트 샌들,雙帶拖鞋,双带凉鞋
797,Paar Gladiator-Sandalen,gladiator sandals,paio di sandali gladiatore,gladiatorensandalen,сандалии гладиатора,paire de spartiates,sandalia gladiador,gladiator sandals,paire de spartiates,sandalia gladiador,グラディエーターサンダル,글레디에이터 샌들,羅馬涼鞋,罗马凉鞋
799,Paar Superheldenstiefel,zap boots,paio di stivali da eroe,superlaarzen,сапоги супергероя,paire de bottes de héros,superbota,zap boots,paire de bottes de héros,superbota,ヒーローブーツ,히어로 부츠,英雄靴,英雄靴
800,Paar Basketballschuhe,basketball shoes,paio di scarpe da basket,basketbalschoenen,баскетбольные кеды,paire de baskets,zapatilla de básquet,basketball shoes,p. d'espadrilles basketball,tenis de básquet,バスケットシューズ,농구화,籃球鞋,篮球鞋
