Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Bush_02860,Gartenazaleenbüschlein,young white azalea,azalea bianca giovane,jonge witte azalea,кустик белой азалии,jeune azalée blanche,azalea blanca joven,young white azalea,jeune azalée blanche,azalea blanca joven,しろいツツジのわかぎ,어린 하얀 진달래나무,白色杜鵑花小樹,白色杜鹃花小树
Bush_02861,Gartenazalee,white-azalea bush,azalea bianca adulta,witte azalea⁠,куст белой азалии,buisson d'azalée blanche,azalea blanca adulta,white-azalea bush,buisson d'azalée blanche,azalea blanca adulta,しろいツツジのき,하얀 진달래나무,白色杜鵑花樹,白色杜鹃花树
Bush_03021,Bluthibiskusbüschlein,young red hibiscus,ibisco rosso giovane,jonge rode hibiscus,кустик красн. гибискуса,jeune hibiscus rouge,hibisco rojo joven,young red hibiscus,jeune hibiscus rouge,hibisco rojo joven,あかいハイビスカスのわかぎ,어린 빨간 히비스커스나무,紅色扶桑花小樹,红色扶桑花小树
Bush_03022,Bluthibiskus,red-hibiscus bush,ibisco rosso adulto,rode hibiscus,куст красного гибискуса,buisson d'hibiscus rouge,hibisco rojo adulto,red-hibiscus bush,buisson d'hibiscus rouge,hibisco rojo adulto,あかいハイビスカスのき,빨간 히비스커스나무,紅色扶桑花樹,红色扶桑花树
Bush_03026,Stechpalmenbüschlein,young holly,agrifoglio giovane,jonge hulst,кустик остролиста,jeune houx,acebo joven,young holly,jeune houx,acebo joven,ヒイラギのわかぎ,어린 호랑가시나무,柊樹小樹,柊树小树
Bush_03027,Stechpalme,holly bush,agrifoglio adulto,hulst,куст остролиста,buisson de houx,acebo adulto,holly bush,buisson de houx,acebo adulto,ヒイラギのき,호랑가시나무,柊樹,柊树
Bush_03787,Heckenazaleenbüschlein,young pink azalea,azalea rosa giovane,jonge roze azalea,кустик розовой азалии,jeune azalée rose,azalea rosa joven,young pink azalea,jeune azalée rose,azalea rosa joven,ピンクのツツジのわかぎ,어린 핑크색 진달래나무,粉紅杜鵑花小樹,粉红杜鹃花小树
Bush_03788,Heckenazalee,pink-azalea bush,azalea rosa adulta,roze azalea⁠,куст розовой азалии,buisson d'azalée rose,azalea rosa adulta,pink-azalea bush,buisson d'azalée rose,azalea rosa adulta,ピンクのツツジのき,핑크색 진달래나무,粉紅杜鵑花樹,粉红杜鹃花树
Bush_03791,Sommerhibiskusbüschlein,young yellow hibiscus,ibisco giallo giovane,jonge gele hibiscus,кустик желтого гибискуса,jeune hibiscus jaune,hibisco amarillo joven,young yellow hibiscus,jeune hibiscus jaune,hibisco amarillo joven,きいろいハイビスカスのわかぎ,어린 노란 히비스커스나무,黃色扶桑花小樹,黄色扶桑花小树
Bush_03792,Sommerhibiskus,yellow-hibiscus bush,ibisco giallo adulto,gele hibiscus,куст желтого гибискуса,buisson d'hibiscus jaune,hibisco amarillo adulto,yellow-hibiscus bush,buisson d'hibiscus jaune,hibisco amarillo adulto,きいろいハイビスカスのき,노란 히비스커스나무,黃色扶桑花樹,黄色扶桑花树
