Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Axe_02100,Axt,axe,ascia,bijl,топор,hache,hacha,axe,hache,hacha,オノ,도끼,斧頭,斧头
Axe_03068,Wackelaxt,flimsy axe,ascia fragile,breekbare bijl,непрочный топор,hache rudimentaire,hacha endeble,flimsy axe,hache rudimentaire,hacha frágil,ショボいオノ,엉성한 도끼,簡陋斧頭,简陋斧头
Axe_05856,Steinaxt,stone axe,ascia di pietra,stenen bijl,каменный топор,hache de pierre,hacha de piedra,stone axe,hache de pierre,hacha de piedra,いしのオノ,돌도끼,石斧頭,石斧头
Axe_09617,Goldaxt,golden axe,ascia d'oro,gouden bijl,золотой топор,hache dorée,hacha de oro,golden axe,hache dorée,hacha de oro,きんのオノ,금도끼,金色斧頭,金色斧头
Axe_12615,Morschaxt,worn axe,ascia consumata,versleten bijl,видавший виды топор,hache émoussée,hacha maltrecha,worn axe,hache émoussée,hacha maltrecha,こわれかけのオノ,튼튼하지 않은 도끼,快壞掉的斧頭,快要坏掉的斧头
ChangeStick_02544,Sternenstab,star wand,bacchetta stella,sterrenstaf,палочка со звездой,baguette étoile,varita estrella,star wand,baguette étoile,varita estrella,スターなステッキ,별 지팡이,星星棒,星星棒
ChangeStick_05083,Hyazinthenstab,hyacinth wand,bacchetta giacinto,hyacintenstaf,палочка с гиацинтом,baguette jacinthe,varita jacinto,hyacinth wand,baguette jacinthe,varita jacinto,ヒヤシンスのステッキ,히아신스 지팡이,風信子棒,风信子棒
ChangeStick_05084,Anemonenstab,windflower wand,bacchetta anemone,anemonenstaf,палочка с ветреницей,baguette anémone,varita anémona,windflower wand,baguette anémone,varita anémona,アネモネのステッキ,아네모네 지팡이,銀蓮花棒,银莲花棒
ChangeStick_05085,Tulpenstab,tulip wand,bacchetta tulipano,tulpenstaf,палочка с тюльпаном,baguette tulipe,varita tulipán,tulip wand,baguette tulipe,varita tulipán,チューリップのステッキ,튤립 지팡이,鬱金香棒,郁金香棒
ChangeStick_05091,Veilchenstab,pansy wand,bacchetta viola,viooltjesstaf,палочка с фиалкой,baguette pensée,varita viola,pansy wand,baguette pensée,varita viola,パンジーのステッキ,팬지 지팡이,三色堇棒,三色堇棒
ChangeStick_05092,Cosmeastab,cosmos wand,bacchetta cosmea,cosmeastaf,палочка с космеей,baguette cosmos,varita cosmos,cosmos wand,baguette cosmos,varita cosmos,コスモスのステッキ,코스모스 지팡이,波斯菊棒,波斯菊棒
ChangeStick_05093,Rosenstab,rose wand,bacchetta rosa,rozenstaf,палочка с розой,baguette rose,varita rosa,rose wand,baguette rose,varita rosa,バラのステッキ,장미 지팡이,玫瑰棒,玫瑰棒
ChangeStick_05094,Lilienstab,lily wand,bacchetta giglio,leliestaf,палочка с лилией,baguette lys,varita lirio,lily wand,baguette lys,varita lirio,ユリのステッキ,백합 지팡이,百合棒,百合棒
ChangeStick_05095,Chrysanthemenstab,mums wand,bacchetta crisantemo,chrysantenstaf,палочка с хризантемой,baguette chrysanthème,varita crisantemo,mums wand,baguette chrysanthème,varita crisantemo,キクのステッキ,국화 지팡이,菊花棒,菊花棒
ChangeStick_07584,Stab,wand,bacchetta,toverstaf,палочка,baguette magique,varita,wand,baguette magique,varita,ステッキ,지팡이,棒子,棒子
ChangeStick_07585,Eisstab,ice wand,bacchetta ghiaccio,ijsstaf,ледяная палочка,baguette glace,varita hielo,ice wand,baguette glace,varita hielo,こおりのステッキ,얼음 지팡이,冰之棒,冰之棒
ChangeStick_07586,Muschelstab,shell wand,bacchetta conchiglia,schelpenstaf,палочка с ракушкой,baguette coquillage,varita concha marina,shell wand,baguette coquillage,varita caracola,かいがらのステッキ,조개껍데기 지팡이,貝殼棒,贝壳棒
ChangeStick_07587,Zweigstab,tree-branch wand,bacchetta ramo,wilgenstaf,палочка из ветки,baguette branche,varita rama,tree-branch wand,baguette branche,varita rama,きのえだのステッキ,나뭇가지 지팡이,樹枝棒,树枝棒
ChangeStick_07588,Pilzstab,mushroom wand,bacchetta fungo,paddenstoelstaf,грибная палочка,baguette champignon,varita champiñón,mushroom wand,baguette champignon,varita champiñón,キノコのステッキ,버섯 지팡이,蘑菇棒,蘑菇棒
