Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Rug_07322,Rosa-Herzteppich,pink heart rug,tappeto amore rosa,roze hartjestapijt,розовый ковер-сердце,tapis amour rose,alfombra amor rosa,pink heart rug,tapis amour rose,alfombra amor rosa,ピンクハートのラグ,핑크 하트 러그,粉紅色愛心地毯,粉红色爱心地毯
Rug_07323,Braun-Rustikalteppich,brown wooden-deck rug,tappeto legno marrone,bruin vlondertapijt,коричн. ковер под дерево,tapis parquet marron,alfombra tablas marrón,brown wooden-deck rug,tapis parquet marron,alfombra tablas marrón,ちゃいろいウッドデッキのラグ,갈색 우드 덱 러그,茶色木甲板地毯,茶色仿木板地毯
Rug_07324,Rau-Matte,rough rug,tappetino ruvido,ruw tapijt,ковер из груб. материала,paillasson,felpudo robusto,rough rug,paillasson,felpudo robusto,ハードマット,하드 매트,硬地墊,坚硬地垫
Rug_07325,Creme-Rundmatte M,ivory medium round mat,tappetino tondo avorio M,ivoorwitte ronde mat,круглый беж. коврик M,tapis rond ivoire M,alfombra redonda marfil M,ivory medium round mat,tapis rond ivoire M,alfombra redonda marfil M,アイボリーのラウンドマット・M,아이보리 라운드 매트 M,中型象牙色圓地墊,象牙色圆地垫M
Rug_07327,Apfel-Teppich,apple rug,tappeto mela,appeltapijt,ковер-яблоко,tapis pomme,alfombra manzana,apple rug,tapis pomme,alfombra manzana,リンゴのラグ,사과 러그,蘋果地毯,苹果地毯
Rug_07328,Kirsch-Teppich,cherry rug,tappeto ciliegia,kersentapijt,ковер-вишни,tapis cerises,alfombra cerezas,cherry rug,tapis cerises,alfombra cerezas,さくらんぼのラグ,체리 러그,櫻桃地毯,樱桃地毯
Rug_07329,Plüschteppich,fluffy rug,tappeto morbido,donzig tapijt,плюшевый ковер,tapis nimbus,alfombra nube,fluffy rug,tapis nimbus,alfombra nube,もくもくのラグ,몽실몽실 러그,雲朵地毯,软软地毯
Rug_07330,Orangen-Teppich,orange rug,tappeto arancia,sinaasappeltapijt,ковер-апельсин,tapis orange,alfombra rodaja de naranja,orange rug,tapis orange,alfombra rodaja de naranja,オレンジのラグ,오렌지 러그,橘子地毯,橘子地毯
Rug_07331,Pfirsich-Teppich,peach rug,tappeto pesca,perziktapijt,ковер-персик,tapis pêche,alfombra melocotón,peach rug,tapis pêche,alfombra durazno,モモのラグ,복숭아 러그,桃子地毯,桃子地毯
Rug_07332,Birnen-Teppich,pear rug,tappeto pera,peertapijt,ковер-груша,tapis poire,alfombra pera,pear rug,tapis poire,alfombra pera,ナシのラグ,배 러그,梨子地毯,梨子地毯
Rug_07333,Creme-Badematte,ivory simple bath mat,tappetino bagno avorio,simpele ivoorwitte badmat,бежевый коврик (душ),tapis de bain simple ivoire,alfombra baño marfil,ivory simple bath mat,tapis de bain simple ivoire,alfombra baño marfil,アイボリーのシンプルバスマット,아이보리 심플 욕실 매트,象牙色簡約浴室地墊,象牙色简约浴室地垫
Rug_07334,Creme-Rundmatte S,ivory small round mat,tappetino tondo avorio S,kleine ivoorwitte ronde mat,круглый беж. коврик S,tapis rond ivoire S,alfombra redonda marfil P,ivory small round mat,tapis rond ivoire P,alfombra redonda marfil P,アイボリーのラウンドマット・S,아이보리 라운드 매트 S,小型象牙色圓地墊,象牙色圆形地垫S
Rug_07335,Weiß-Standardmatte M,white simple medium mat,tappetino bianco M,simpele witte mat,обычный бел. коврик M,tapis simple ivoire M,alfombra sencilla blanca M,white simple medium mat,tapis simple ivoire M,alfombra sencilla blanca M,しろいシンプルマット・M,하얀 심플 매트 M,中型白色簡約地墊,白色简约地垫M
Rug_07336,Weiß-Standardmatte S,white simple small mat,tappetino bianco S,simpele kleine witte mat,белый коврик S,tapis simple ivoire S,alfombra sencilla blanca P,white simple small mat,tapis simple ivoire P,alfombra sencilla blanca P,しろいシンプルマット・S,하얀 심플 매트 S,小型白色簡約地墊,白色简约地垫S
Rug_07337,Eisengitter-Matte,iron entrance mat,tappetino ingresso in ferro,ijzeren welkomstmat,коврик с решеткой,paillasson en fer forgé,felpudo de hierro,iron entrance mat,paillasson en fer forgé,felpudo de hierro,アイアンなげんかんマット,아이언 현관 매트,鑄鐵玄關地墊,铸铁玄关地垫
Rug_07338,Weiß-Textmatte,white message mat,tappetino benvenuto bianco,witte boodschapmat,белый коврик с текстом,paillasson à message blanc,alfombra bocadillo blanca,white message mat,paillasson à message blanc,alfombra bocadillo blanca,しろいメッセージマット,하얀 메시지 매트,白色訊息地墊,白色信息地垫
Rug_07339,Gummi-Schmutzmatte,rubber mud mat,tappetino melma di gomma,rubberen moddermat,резиновый коврик,paillasson en caoutchouc,felpudo de caucho,rubber mud mat,paillasson en caoutchouc,felpudo de caucho,ゴムのどろふきマット,고무 신발 닦이 매트,塑膠刮泥墊,橡胶除泥地垫
Rug_07340,Rotmuster-Matte,red-design kitchen mat,tappeto cucina design rosso,rode designkeukenmat,коврик с красным узором,tapis cuisine à motifs rouge,alfombra étnica roja,red-design kitchen mat,tapis cuisine à motifs rouge,alfombra étnica roja,あかいパターンキッチンマット,빨간 패턴 키친 매트,紅色圖案廚房地墊,红色图案厨房地垫
Rug_07341,Braun-Küchenmatte,brown kitchen mat,tappetino cucina marrone,bruine keukenmat,коричн. коврик на кухню,tapis de cuisine marron,alfombra cocina marrón,brown kitchen mat,tapis de cuisine brun,alfombra cocina marrón,ちゃいろいキッチンマット,갈색 키친 매트,茶色廚房地墊,茶色厨房地垫
Rug_07343,Rot-Blau-Karoteppich,red-and-blue checked rug,tappeto tartan rosso e blu,rood-blauw geruit tapijt,красно-син. ковер в клетку,tapis tartan rouge et bleu,alfombra tartán roja y azul,red-and-blue checked rug,tapis tartan rouge et bleu,alfombra tartán roja y azul,あかあおチェックキルトのラグ,빨강 파랑 체크 퀼트 러그,紅藍格紋拼布地毯,红蓝格纹布地毯
Rug_07345,Schilfteppich,shanty mat,tappeto capanna,rietmat,камышовая циновка,tapis de paille,alfombra cañizo,shanty mat,tapis de paille,alfombra cañizo,ふるいむしろのラグ,낡은 멍석 러그,舊草蓆,老旧草席
Rug_07346,Schneeflocken-Teppich,snowflake rug,tappeto fiocco di neve,sneeuwvloktapijt,ковер со снежинкой,tapis flocon,alfombra copo de nieve,snowflake rug,tapis flocon,alfombra copo de nieve,スノーフレークなラグ,눈꽃 러그,雪花地毯,雪花地毯
Rug_07347,Rot-Klassikteppich,red Persian rug,tappeto antico rosso,rood Perzisch tapijt,красный персидск. ковер,tapis persan rouge,alfombra clásica roja,red Persian rug,tapis persan rouge,alfombra clásica roja,あかいペルシャじゅうたん,빨간 페르시아 융단,紅色波斯地毯,红色波斯地毯
Rug_07348,Rot-Teppich,red carpet,tappeto rosso,rood tapijt,красный ковер,tapis rouge,alfombra roja,red carpet,tapis rouge,alfombra roja,レッドカーペット,레드 카펫,紅地毯,红色地毯
Rug_07349,Monochrom-Tüpfelteppich,monochromatic dotted rug,tappeto monocromo a pois,zwart-wit stippentapijt,монохромн. ковер в горох,tapis à pois monochrome,alfombra pastel monocroma,monochromatic dotted rug,tapis à pois monochrome,alfombra pastel monocroma,モノクロドットのラグ,흑백 도트 러그,灰階配色點點地墊,单色点点地毯
Rug_07350,Modern-Wellenteppich,modern wavy rug,tappeto moderno a onde,modern golventapijt,современ. ковер «Волны»,tapis vagues moderne,alfombra ondas moderna,modern wavy rug,tapis vagues moderne,alfombra ondas moderna,モダンなウェーブのラグ,모던 웨이브 러그,摩登波浪地毯,摩登波浪地毯
Rug_07351,Gelb-Streifenteppich,yellow stripes rug,tappeto a strisce gialle,geel gestreept tapijt,желтый ковер в полоску,tapis à rayures jaunes,alfombra rayas amarilla,yellow stripes rug,tapis à rayures jaunes,alfombra rayas amarilla,きいろボーダーのラグ,노란 줄무늬 러그,黃色粗橫紋地毯,黄色粗条纹地毯
Rug_07352,Gelb-Argyle-Teppich,yellow argyle rug,tappeto a rombi giallo,geel geruit tapijt,желтый ковер аргайл,tapis argyle jaune,alfombra rombos amarilla,yellow argyle rug,tapis écossais jaune,alfombra rombos amarilla,きいろいアーガイルのラグ,노란 아가일 러그,黃色菱格紋地毯,黄色菱格纹地毯
