Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Counter_13895,Hoch-Betoninseltheke,tall concrete island counter,separatore di cemento L,hoog betonnen blok,высокая стойка (бетон),séparateur haut en béton,encimera de cemento alta,tall concrete island counter,séparateur haut en béton,separador de cemento alto,コンクリートしきりカウンターH,콘크리트 칸막이 카운터 H,混凝土分隔吧台H,混凝土分隔吧台H
Counter_13897,Hoch-Ziegelinseltheke,tall brick island counter,separatore di mattoni L,hoog bakstenen blok,высокая стойка (кирпич),séparateur haut en briques,encimera de ladrillo alta,tall brick island counter,séparateur haut en briques,separador de ladrillos alto,レンガのしきりカウンターH,벽돌 칸막이 카운터 H,磚塊分隔吧台H,砖块分隔吧台H
Counter_13898,Niedrig-Betoninseltheke,low concrete island counter,separatore di cemento S,laag betonnen blok,низкая стойка (бетон),séparateur bas en béton,encimera de cemento baja,low concrete island counter,séparateur bas en béton,separador de cemento bajo,コンクリートしきりカウンターL,콘크리트 칸막이 카운터 L,混凝土分隔吧台L,混凝土分隔吧台L
Counter_13901,Niedrig-Ziegelinseltheke,low brick island counter,separatore di mattoni S,laag bakstenen blok,низкая стойка (кирпич),séparateur bas en briques,encimera de ladrillo baja,low brick island counter,séparateur bas en briques,separador de ladrillos bajo,レンガのしきりカウンターL,벽돌 칸막이 카운터 L,磚塊分隔吧台L,砖块分隔吧台L
Counter_13902,Hoch-Holzinseltheke,tall wooden island counter,separatore di legno L,hoog houten blok,высокая стойка (дерево),séparateur haut en bois,encimera de madera alta,tall wooden island counter,séparateur haut en bois,separador de madera alto,もくせいのしきりカウンターH,목제 칸막이 카운터 H,木製分隔吧台H,木制分隔吧台H
Counter_14308,Niedrig-Schlichtinseltheke,low simple island counter,separatore semplice S,laag eenvoudig blok,низкая простая стойка,séparateur bas standard,encimera sencilla baja,low simple island counter,séparateur bas standard,separador sencillo bajo,シンプルなしきりカウンターL,심플 칸막이 카운터 L,簡約分隔吧台L,简约分隔吧台L
Counter_14310,Hoch-Schlichtinseltheke,tall simple island counter,separatore semplice L,hoog eenvoudig blok,высокая простая стойка,séparateur haut standard,encimera sencilla alta,tall simple island counter,séparateur haut standard,separador sencillo alto,シンプルなしきりカウンターH,심플 칸막이 카운터 H,簡約分隔吧台H,简约分隔吧台H
Counter_14313,Niedrig-Holzinseltheke,low wooden island counter,separatore di legno S,laag houten blok,низкая стойка (дерево),séparateur bas en bois,encimera de madera baja,low wooden island counter,séparateur bas en bois,separador de madera bajo,もくせいのしきりカウンターL,목제 칸막이 카운터 L,木製分隔吧台L,木制分隔吧台L
Counter_14322,Hoch-Stahlinseltheke,tall steel island counter,separatore d'acciaio L,hoog stalen blok,высокая стойка (сталь),séparateur haut en acier,encimera de acero alta,tall steel island counter,séparateur haut en acier,separador de acero alto,スチールのしきりカウンターH,스틸 칸막이 카운터 H,鋼鐵分隔吧台H,钢铁分隔吧台H
Counter_14324,Niedrig-Stahlinseltheke,low steel island counter,separatore d'acciaio S,laag stalen blok,низкая стойка (сталь),séparateur bas en acier,encimera de acero baja,low steel island counter,séparateur bas en acier,separador de acero bajo,スチールのしきりカウンターL,스틸 칸막이 카운터 L,鋼鐵分隔吧台L,钢铁分隔吧台L
Counter_14330,Hoch-Goldinseltheke,tall golden island counter,separatore dorato L,hoog gouden blok,высокая стойка (золото),séparateur haut doré,encimera dorada alta,tall golden island counter,séparateur haut doré,separador dorado alto,きんのしきりカウンターH,금 칸막이 카운터 H,黃金分隔吧台H,黄金分隔吧台H
Counter_14332,Hoch-Marmorinseltheke,tall marble island counter,separatore di marmo L,hoog marmeren blok,высокая стойка (мрамор),séparateur haut en marbre,encimera de mármol alta,tall marble island counter,séparateur haut en marbre,separador de mármol alto,だいりせきのしきりカウンターH,대리석 칸막이 카운터 H,大理石分隔吧台H,大理石分隔吧台H
