Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
1055_Accessory_02298,Lila,Baby purple,Viola pastello,Paars,Нежно-фиолетовый,Violet pastel,Morado pastel,Baby purple,Mauve pastel,Morado pastel,ベビーパープル,베이비 퍼플,粉嫩紫色,嫩紫色
1055_Accessory_11013,Minzgrün,Baby mint,Menta pastello,Mintgroen,Нежно-мятный,Turquoise pastel,Turquesa pastel,Baby mint,Turquoise pastel,Turquesa pastel,ベビーミント,베이비 민트,粉嫩薄荷綠,嫩薄荷色
1055_Accessory_11014,Gelb,Baby yellow,Giallo pastello,Geel,Нежно-желтый,Jaune pastel,Amarillo pastel,Baby yellow,Jaune pastel,Amarillo pastel,ベビーイエロー,베이비 옐로,粉嫩黃色,嫩黄色
1055_Accessory_11015,Grün,Baby green,Verde pastello,Groen,Нежно-зеленый,Vert pastel,Verde pastel,Baby green,Vert pastel,Verde pastel,ベビーグリーン,베이비 그린,粉嫩綠色,嫩绿色
1055_Accessory_11016,Rosa,Baby pink,Rosa pastello,Roze,Нежно-розовый,Rose pastel,Rosa pastel,Baby pink,Rose pastel,Rosa pastel,ベビーピンク,베이비 핑크,粉嫩粉紅色,嫩粉红色
1055_Accessory_11017,Grau,Baby gray,Grigio pastello,Grijs,Нежно-серый,Gris pastel,Gris pastel,Baby gray,Gris pastel,Gris pastel,ベビーグレー,베이비 그레이,粉嫩灰色,嫩灰色
1055_Accessory_11018,Blau,Baby blue,Blu pastello,Blauw,Нежно-синий,Bleu pastel,Azul pastel,Baby blue,Bleu pastel,Azul pastel,ベビーブルー,베이비 블루,粉嫩藍色,嫩蓝色
1055_Accessory_11019,Orange,Baby orange,Arancione pastello,Oranje,Нежно-оранжевый,Orange pastel,Naranja pastel,Baby orange,Orange pastel,Naranja pastel,ベビーオレンジ,베이비 오렌지,粉嫩橘色,嫩橘色
1137_Accessory_09887,Dämmerung,Twilight,Crepuscolo,As,Сумерки,Crépuscule,Crepúsculo,Twilight,Crépuscule,Crepúsculo,トワイライト,트와일라잇,曙光,黎明
1137_Accessory_11776,Mitternacht,Midnight,Tenebre,Inkt,Полночь,Ténèbres,Medianoche,Midnight,Ténèbres,Medianoche,ミッドナイト,미드나이트,午夜,午夜
1137_Accessory_11777,Leidenschaft,Passion,Passione,Vuur & Vlam,Темперамент,Passion,Pasión,Passion,Passion,Pasión,パッション,바이올렛,熱情,热情
1137_Accessory_11778,Ozean,Ocean,Oceano,7e Hemel,Океан,Océan,Océano,Ocean,Océan,Océano,オーシャン,오션,海洋,海洋
1137_Accessory_11779,Sonnenuntergang,Sunset,Girasole,Klatergoud,Закат,Soleil couchant,Puesta de sol,Sunset,Soleil couchant,Puesta de sol,サンセット,선셋,日落,日落
1137_Accessory_11780,Romantik,Love,Romanticismo,Roze Bril,Любовь,Romance,Amor,Love,Romance,Amor,ラブ,러브,愛,爱
1148_Accessory_09654,Keine Varianten,No Variations,Nessuna variazione,Geen variaties,Нет вариантов,Sans variation,Sin variaciones,No Variations,Sans variation,Sin variaciones,バリエーションなし,종류 없음,無其他種類,无其他种类
1182_Accessory_12128,Keine Varianten,No Variations,Nessuna variazione,Geen variaties,Нет вариантов,Sans variation,Sin variaciones,No Variations,Sans variation,Sin variaciones,バリエーションなし,종류 없음,無其他種類,无其他种类
1183_Accessory_12129,Keine Varianten,No Variations,Nessuna variazione,Geen variaties,Нет вариантов,Sans variation,Sin variaciones,No Variations,Sans variation,Sin variaciones,バリエーションなし,종류 없음,無其他種類,无其他种类
1225_Accessory_12662,Keine Varianten,No Variations,Nessuna variazione,Geen variaties,Нет вариантов,Sans variation,Sin variaciones,No Variations,Sans variation,Sin variaciones,バリエーションなし,종류 없음,無其他種類,无其他种类
1226_Accessory_12663,Haarfarbe,Hair Color,Colore dei capelli,Haarkleur,Цвет волос,Couleur de cheveux,Color del pelo,Hair Color,Couleur de cheveux,Color del pelo,ヘアカラー,헤어 컬러,頭髮顏色,发色
1248_Accessory_12962,Weiß,White,Bianco,Wit,Белый,Blanc,Blanco,White,Blanc,Blanco,ホワイト,화이트,白色,白色
1248_Accessory_14665,Blau,Blue,Blu,Blauw,Синий,Bleu,Azul,Blue,Bleu,Azul,ブルー,블루,藍色,蓝色
1248_Accessory_14666,Rosa,Pink,Rosa,Roze,Розовый,Rose,Rosa,Pink,Rose,Rosa,ピンク,핑크,粉紅色,粉红
