Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
CraftPhoneCase_08760,Farbe,Color,Colore,Ontwerp,Цвет,Coloris,Color,Color,Coloris,Color,カラー,컬러,顏色,颜色
DoorDeco_14475,Grußtextfarbe,Message color,Colore del messaggio,Berichtkleur,Цвет надписи,Couleur du message,Color del texto,Message color,Couleur du message,Color del texto,メッセージの色,메시지 색상,訊息顏色,信息颜色
Ftr_00079,Decke,Blanket,Colore della coperta,Deken,Цвет одеяла,Couverture,Color de la mantita,Blanket,Couverture,Color de la mantita,布団カバー,이불 커버,棉被套,棉被套
Ftr_00725,Papier,Paper,Carta,Ontwerp,Бумага,Papier,Motivo,Paper,Papier,Motivo,柄,무늬,和紙,纸拉门
Ftr_00833,Sticker,Sticker area,Adesivi,Stickers,Наклейки,Autocollants,Pegatina,Sticker area,Collants,Calcomanía,ステッカー,스티커,貼紙,贴纸
Ftr_00922,Logo,Logo,Logo,Logo,Логотип,Logo,Logotipo,Logo,Logo,Logotipo,ロゴ,로고,Logo,Logo
Ftr_00941,Fähnchen,Flag,Bandierina,Spandoek,Флажок,Drapeau,Frontal,Flag,Drapeau,Frontal,フラッグ,플래그,旗子,旗子
Ftr_00950,Sticker,Sticker area,Adesivi,Sticker,Наклейки,Autocollants,Pegatina,Sticker area,Collants,Calcomanía,ステッカー,스티커,貼紙,贴纸
Ftr_01029,Papier,Screen,Pannello,Ontwerp,Ширма,Écran,Lateral,Screen,Couleur,Lateral,障子,칸막이,和紙,纸拉门
Ftr_01032,Magazinauswahl,Magazine,Riviste,Tijdschriften,Журнал,Revues,Revistas,Magazine,Revues,Revistas,雑誌,잡지,雜誌,杂志
Ftr_01133,Grifffarbe,Handle color,Colore del manico,Kleur van de handgreep,Цвет ручки,Couleur de la barre,Color de la barra,Handle color,Couleur de la barre,Color de la barra,ハンドルカラー,핸들 컬러,手把顏色,手把颜色
Ftr_01222,Video,Video,Immagine,Video,Видео,Vidéo,Vídeo,Video,Vidéo,Video,映像,영상,螢幕畫面,电视画像
Ftr_01235,Seitenwände,Side/Back,Lati/Retro,Zijwanden/achterwand,Сбоку/сзади,Devant/derrière,Laterales,Side/Back,Devant/derrière,Laterales,側面・背面,옆면/뒷면,側面‧背面,侧面·背面
Ftr_01499,Schleife,Ribbon,Fiocco,Strik,Лента,Ruban,Lazo,Ribbon,Ruban,Lazo,リボン,리본,蝴蝶結,蝴蝶结
Ftr_01500,Hemd,Shirt,Maglia,T-shirt,Футболка,Habit,Camiseta,Shirt,Habit,Camiseta,シャツ,셔츠,上衣,衬衫
Ftr_01501,Hemd,Shirt,Maglia,T-shirt,Футболка,Habit,Camiseta,Shirt,Habit,Camiseta,シャツ,셔츠,上衣,衬衫
Ftr_01504,Schleife,Ribbon,Fiocco,Strik,Лента,Ruban,Lazo,Ribbon,Ruban,Lazo,リボン,리본,蝴蝶結,蝴蝶结
Ftr_01608,Design,Flag design,Drappo,Ontwerp,Вид флажка,Motif de l'étendard,Banderola,Flag design,Motif du drapeau,Banderín,はたの柄,깃발 무늬,旗子圖案,旗子图案
Ftr_01620,Material,Cloth,Tessuto,Ontwerp,Ткань,Tissu,Lona,Cloth,Tissu,Lona,布地,원단,布料,面料
Ftr_01644,Sticker,Sticker area,Adesivo,Sticker,Наклейки,Autocollant,Pegatina,Sticker area,Autocollant,Calcomanía,ステッカー,스티커,貼紙,贴纸
Ftr_01645,Sticker,Sticker area,Adesivo,Sticker,Наклейки,Autocollant,Pegatina,Sticker area,Autocollant,Calcomanía,ステッカー,스티커,貼紙,贴纸
Ftr_01712,Motiv,Poster,Locandina,Poster,Плакат,Type d'illustration,Cartel,Poster,Type d'illustration,Cartel,ポスター,포스터,海報,海报
Ftr_01745,Kopien,Printed paper,Fotocopia,Kopieën,Печатный документ,Type de document,Copias impresas,Printed paper,Type de document,Copias impresas,印刷物,인쇄물,印刷物,印刷物
Ftr_01750,Schrift,Writing,Facciata dei fogli,Opdruk,Надписи,Type,Tipo de papeles,Writing,Type,Tipo de papeles,紙面,종이,紙張正面,纸张正面
Ftr_01778,T-Shirt,Drying shirt,Maglietta appesa,T-⁠shirt,Футболка,Type de t-⁠shirt,Camiseta,Drying shirt,Type de t-⁠shirt,Camiseta,干しているシャツ,널려 있는 셔츠,晾在竿子上的T恤,晾在竿子上的T恤
Ftr_01779,Tischtuch,Tablecloth,Colore tovaglia,Tafelkleed,Скатерть,Nappe,Mantel,Tablecloth,Nappe,Mantel,テーブルクロス,테이블보,桌巾,桌巾
Ftr_01783,Postkarte,Favorite card,Cartolina preferita,Favoriete kaart,Любимая открытка,Carte,Postal favorita,Favorite card,Carte,Tarjeta favorita,お気に入りのカード,좋아하는 카드,喜愛的卡片,喜欢的卡片
Ftr_01792,Bezug,Cover,Federa,Sloop,Наволочка,Housse,Funda,Cover,Housse,Funda,カバー,커버,抱枕套,抱枕套
Ftr_01802,Werbung,Advertisement panel,Pubblicità,Reclame,Реклама,Publicité,Publicidad,Advertisement panel,Publicité,Publicidad,広告,광고,廣告,广告
Ftr_01803,Trommelaufdruck,Bass drum head,Grancassa,Bassdrumvel,Большой барабан,Peau de grosse caisse,Bombo,Bass drum head,Peau de grosse caisse,Bombo,バスドラムヘッド,베이스 드럼 헤드,低音鼓鼓皮,低音鼓鼓皮
Ftr_01816,Vorhang,Curtain,Tendina,Gordijn,Занавеска,Rideau,Color de la cortina,Curtain,Rideau,Color de la cortina,カーテン,커튼,窗簾,窗帘
Ftr_01820,Kleidung,Clothing,Indumenti,Kleding,Одежда,Type de vêtements,Prenda,Clothing,Type de vêtements,Prenda,服,옷,衣服,衣服
Ftr_01838,Taschentuch,Handkerchief design,Fazzoletto,Zakdoek,Платок,Mouchoir,Pañuelo,Handkerchief design,Mouchoir,Pañuelo,ハンカチ,손수건,手帕,手帕
Ftr_01849,Decke,Blanket,Coperta,Deken,Покрывало,Couverture,Diseño de la manta,Blanket,Couverture,Diseño de la manta,こたつ布団,이불,暖桌被子,暖桌被子
Ftr_01850,Bildschirm,Screen,Schermo,Scherm,Экран,Écran,Pantalla,Screen,Écran,Pantalla,画面,화면,螢幕,荧幕
Ftr_01861,Genre,Genre,Genere,Genre,Тема,Genre,Género,Genre,Genre,Género,ジャンル,장르,種類,种类
Ftr_01870,Stil,Design,Motivo,Ontwerp,Рисунок,Modèle,Diseño,Design,Modèle,Diseño,ワンポイント,무늬,小圖案,单点图案
Ftr_01899,Unterschrift,Signature,Firma,Handtekening,Подпись,Autographe préféré,Firma favorita,Signature,Autographe préféré,Firma favorita,とっておきのサイン,사인,珍藏的簽名,珍藏的签名
Ftr_02020,Stoff,Fabric,Design della stoffa,Stof,Обивка,Tissu,Color de la tela,Fabric,Tissu,Color de la tela,布地,천,布料,布料
Ftr_02561,Lampenschirm,Lampshade,Paralume,Lampenkap,Абажур,Abat-jour,Color de la pantalla,Lampshade,Abat-jour,Color de la pantalla,シェード,전등갓,燈罩,灯罩
Ftr_02587,Farbe,Color,Colore,Kleur,Цвет,Modèle,Color,Color,Modèle,Color,カラー,컬러,顏色,颜色
Ftr_02605,Decke,Bedding,Colore trapunta,Dekbed,Плед,Literie,Edredón,Bedding,Literie,Colcha,寝具,침구,寢具,寝具
Ftr_02606,Decke,Comforter,Piumone,Dekbed,Плед,Couverture,Edredón,Comforter,Douillette,Colcha,布団カバー,이불 커버,棉被套,棉被套
Ftr_02713,Sticker,Sticker area,Adesivi,Stickers,Наклейки,Autocollants,Pegatinas,Sticker area,Collants,Calcomanías,ステッカー,스티커,貼紙,贴纸
Ftr_03200,Bettzeug,Bedding,Coperta,Dekbed,Постель,Literie,Edredón,Bedding,Literie,Colcha,寝具,침구,寢具,寝具
Ftr_03229,Hemd,Drying shirt,Camicia,Overhemd,Футболка,Chemise,Camisa,Drying shirt,Chemise,Camisa,干しているYシャツ,널려 있는 와이셔츠,晾在竿子上的襯衫,晾在竿子上的衬衫
Ftr_03230,Decke,Bedding,Colore trapunta,Dekbed,Плед,Literie,Edredón,Bedding,Literie,Colcha,寝具,침구,寢具,寝具
Ftr_03305,Sitzfläche,Cushion,Cuscino,Kussen,Подушка,Siège,Asiento,Cushion,Siège,Asiento,クッション,쿠션,坐墊,坐垫
Ftr_03307,Grundmuster,Base pattern,Design della base,Basispatroon,Узор на корпусе,Motif de la base,Plato,Base pattern,Motif de la base,Plato,測定台の柄,발판 무늬,測量台的圖案,测量台的图案
Ftr_03439,Tischtuch,Tablecloth,Colore tovaglia,Tafelkleed,Скатерть,Nappe,Mantel,Tablecloth,Nappe,Mantel,テーブルクロス,테이블보,桌巾,桌巾
Ftr_03444,Sitz,Seat,Sedile,Stof,Сиденье,Siège,Asiento,Seat,Siège,Asiento,シート,시트,椅子,椅子
Ftr_03445,Lieblingsregenschirm,Favorite umbrella,Ombrello preferito,Lievelingsparaplu,Любимый зонт,Parapluie préféré,Paraguas favorito,Favorite umbrella,Parapluie préféré,Paraguas favorito,お気に入りのかさ,좋아하는 우산,喜愛的傘,喜欢的伞
Ftr_03449,Sitzfläche,Seat,Sedile,Zitting,Сиденье,Siège,Color del asiento,Seat,Siège,Color del asiento,座面,시트,椅面,椅面
Ftr_03467,Unterlagenfarbe,Mat color,Tipo di tovaglietta,Kleur van het matje,Цвет подноса,Couleur du napperon,Tapete,Mat color,Couleur du napperon,Tapete,マットの色,매트 색상,墊子顏色,垫子颜色
Ftr_03468,Design,Towel,Motivo,Ontwerp,Полотенце,Modèle,Diseño,Towel,Modèle,Diseño,タオル,타월,毛巾,毛巾
Ftr_03502,Bettzeug,Bedding,Biancheria,Beddengoed,Постель,Literie,Edredón,Bedding,Literie,Colcha,寝具,침구,寢具,寝具
Ftr_03561,Schal,Shawl,Scialle,Sjaal,Шаль,Écharpe,Chal,Shawl,Écharpe,Chal,ストール,숄,披巾,披巾
Ftr_03586,Inhalt,Feature,Articolo,Artikel,Разворот,Genre,Género,Feature,Genre,Contenido,ジャンル,장르,種類,种类
Ftr_03590,Bildschirm,Screen,Schermo,Scherm,Экран,Affichage,Pantalla,Screen,Affichage,Pantalla,画面,화면,螢幕,荧幕
Ftr_03617,Vorhang,Curtain,Tenda,Doek,Навес,Rideau,Toldo,Curtain,Rideau,Toldo,のれん,천막,布簾,布帘
Ftr_03618,Tuch,Towel,Strofinaccio,Doek,Полотенце,Torchon,Paño,Towel,Guenille,Paño,ふきん,행주,抹布,抹布
Ftr_03621,Bettzeug,Bedding,Colore della coperta,Beddengoed,Цвет постельного белья,Literie,Edredón,Bedding,Literie,Colcha,寝具,침구,寢具,寝具
Ftr_03622,Kissen,Cushion,Cuscino,Kussen,Цвет подушки,Coussin,Cojín,Cushion,Coussin,Cojín,座布団,방석,坐墊,座垫
Ftr_03692,Plakat,Flier,Annuncio,Aanplakbiljet,Объявление,Affiche,Anuncio,Flier,Affiche,Anuncio,はり紙,광고지,廣告單,广告单
Ftr_03702,Sitzfläche,Seat,Sedile,Zitting,Цвет сиденья,Modèle,Asiento,Seat,Modèle,Asiento,座面,시트,椅面,椅面
Ftr_03946,Tisch,Table,Piano del tavolo,Tafelblad,Цвет стола,Coloris,Tablero,Table,Coloris,Tablero,テーブル,테이블,桌子,桌子
Ftr_03947,Sitzfläche,Seat,Sedile,Zitting,Цвет сиденья,Assise,Asiento,Seat,Siège,Asiento,座面,시트,椅面,椅面
