Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
DoorDeco_04293,Cosmeentürkranz,cosmos wreath,ghirlanda cosmee,cosmeakrans,венок с космеями,couronne cosmos,corona cosmos,cosmos wreath,couronne cosmos,corona cosmos,コスモスのリース,코스모스 리스,波斯菊花圈,波斯菊花环
DoorDeco_04375,Schneeflockentürschmuck,snowflake wreath,ghirlanda fiocco di neve,sneeuwvlokkenkrans,венок-снежинка,décoration flocon,placa copo de nieve,snowflake wreath,décoration flocon,placa copo de nieve,ゆきのけっしょうのリース,눈의 결정 리스,雪花花圈,雪花花环
DoorDeco_04376,Muscheltürkranz,shell wreath,ghirlanda tema conchiglia,schelpenkrans,венок с ракушками,couronne coquillages,corona conchas,shell wreath,couronne coquillages,corona caracolas,かいがらのリース,조개껍데기 리스,貝殼花圈,贝壳花环
DoorDeco_04377,Dekotürkranz,ornament wreath,ghirlanda con palline,feestelijke krans,венок из украшений,couronne décorative,corona bolas decorativas,ornament wreath,couronne décorative,corona decorativa,オーナメントのリース,오너먼트 리스,裝飾花圈,装饰花环
DoorDeco_04378,Früchtetürkranz,fruit wreath,ghirlanda frutta,fruitkrans,венок с фруктами,couronne fruits,corona frutal,fruit wreath,couronne fruits,corona frutal,フルーツのリース,과일 리스,水果花圈,水果花环
DoorDeco_04726,Pilztürkranz,mushroom wreath,ghirlanda tema fungo,paddenstoelenkrans,венок с грибами,couronne champignons,corona setas,mushroom wreath,couronne champignons,corona hongos,キノコのリース,버섯 리스,蘑菇花圈,蘑菇花环
DoorDeco_04727,Zweigetürkranz,tree branch wreath,ghirlanda rami,twijgenkrans,венок из веток,couronne branches,corona ramas,tree branch wreath,couronne branches,corona ramas,きのえだのリース,나뭇가지 리스,樹枝花圈,树枝花环
DoorDeco_04738,Totenkopftürschild,skull doorplate,targa da porta teschio,schedeldeurplaatje,табличка с черепом,plaque tête de mort,placa pirata,skull doorplate,plaque tête de mort,placa pirata,ドクロなドアプレート,해골 문패,骷髏門牌,骷髅门牌
DoorDeco_04751,Hundeknochentürschild,bone doorplate,targa da porta osso,bottendeurplaatje,табличка-косточка,plaque nonosse,placa hueso,bone doorplate,plaque os,placa hueso,ボーンなドアプレート,뼈다귀 문패,骨頭門牌,骨头门牌
DoorDeco_04752,Gusseisentürschild,iron doorplate,targa da porta di ferro,ijzeren deurplaatje,железное украшение,plaque en fer forgé,placa hierro forjado,iron doorplate,plaque en fer forgé,placa hierro forjado,アイアンなドアプレート,아이언 문패,鑄鐵門牌,铸铁门牌
DoorDeco_04764,Fischtürschild,fish doorplate,targa da porta pesce,visdeurplaatje,декоративная рыбка,plaque poisson,placa pez,fish doorplate,plaque poisson,placa pez,おサカナのドアプレート,물고기 문패,魚兒門牌,鱼儿门牌
DoorDeco_05309,Herztürschild,heart doorplate,targa da porta cuore,hartendeurplaatje,табличка-сердечко,plaque cœur,placa corazón,heart doorplate,plaque cœur,placa corazón,ハートなドアプレート,하트 문패,愛心門牌,爱心门牌
DoorDeco_05310,Spinnentürschild,spider doorplate,targa da porta ragnatela,spinnendeurplaatje,табличка с пауком,plaque toile d'araignée,placa telaraña,spider doorplate,plaque toile d'araignée,placa telaraña,スパイダーなドアプレート,거미 문패,蜘蛛門牌,蜘蛛门牌
DoorDeco_05436,Anemonentürkranz,windflower wreath,ghirlanda anemoni,anemonenkrans,венок с ветреницами,couronne anémones,corona anémona,windflower wreath,couronne anémones,corona anémonas,アネモネのリース,아네모네 리스,銀蓮花花圈,银莲花花环
DoorDeco_05437,Rosentürkranz,rose wreath,ghirlanda rose,rozenkrans,венок с розами,couronne roses,corona rosa,rose wreath,couronne roses,corona rosas,バラのリース,장미 리스,玫瑰花圈,玫瑰花环
DoorDeco_05466,Veilchentürkranz,pansy wreath,ghirlanda viole,viooltjeskrans,венок с фиалками,couronne pensées,corona viola,pansy wreath,couronne pensées,corona violas,パンジーのリース,팬지 리스,三色堇花圈,三色堇花环
DoorDeco_05467,Chrysanthementürkranz,mum wreath,ghirlanda crisantemi,chrysantenkrans,венок с хризантемами,couronne chrysanthèmes,corona crisantemo,mum wreath,couronne chrysanthèmes,corona crisantemos,キクのリース,국화 리스,菊花花圈,菊花花环
DoorDeco_05468,Hyazinthentürkranz,hyacinth wreath,ghirlanda giacinti,hyacintenkrans,венок с гиацинтами,couronne jacinthes,corona jacinto,hyacinth wreath,couronne jacinthes,corona jacintos,ヒヤシンスのリース,히아신스 리스,風信子花圈,风信子花环
DoorDeco_05641,Lilientürkranz,lily wreath,ghirlanda gigli,leliekrans,венок с лилиями,couronne lys,corona lirio,lily wreath,couronne lys,corona lirios,ユリのリース,백합 리스,百合花圈,百合花环
DoorDeco_05670,Tulpentürkranz,tulip wreath,ghirlanda tulipani,tulpenkrans,венок с тюльпанами,couronne tulipes,corona tulipán,tulip wreath,couronne tulipes,corona tulipanes,チューリップのリース,튤립 리스,鬱金香花圈,郁金香花环
DoorDeco_05677,Prachtlilientürkranz,fancy lily wreath,ghirlanda gigli sbarazzina,luxe leliekrans,шикарн. венок с лилиями,couronne lys élégante,corona lirio pomposa,fancy lily wreath,couronne lys élégante,corona lirios lujosa,ファンシーなユリのリース,팬시 백합 리스,精美百合花圈,精美百合花环
