Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
AutumnLeaf_07374,Herbstblatt,maple leaf,foglia d'acero,esdoornblad,кленовый лист,feuille d'érable,hoja de arce,maple leaf,feuille d'érable,hoja de arce,もみじのはっぱ,단풍잎,楓葉,枫叶
AutumnLeaf_07374_pl,Herbstblätter,maple leaves,foglie d'acero,esdoornbladeren,кленовые листья,feuilles d'érable,hojas de arce,maple leaves,feuilles d'érable,hojas de arce,もみじのはっぱ,단풍잎,楓葉,枫叶
CraftMaterial_02500,Ast,tree branch,ramo,tak,ветка,branche d'arbre,rama,tree branch,branche d'arbre,rama,きのえだ,나뭇가지,樹枝,树枝
CraftMaterial_02500_pl,Äste,tree branches,rami,takken,ветки,branches d'arbre,ramas,tree branches,branches d'arbre,ramas,きのえだ,나뭇가지,樹枝,树枝
CraftMaterial_02501,Bambus,bamboo piece,pezzo di bambù,bamboestok,часть бамбука,morceau de bambou,tallo de bambú,bamboo piece,morceau de bambou,tallo de bambú,バンブー,대나무 토막,竹子材料,竹子材料
CraftMaterial_02501_pl,Bambus,bamboo pieces,pezzi di bambù,bamboestokken,части бамбука,morceaux de bambou,tallos de bambú,bamboo pieces,morceaux de bambou,tallos de bambú,バンブー,대나무 토막,竹子材料,竹子材料
CraftMaterial_02767,Weichholz,softwood,legno morbido,zachthout,мягкая древесина,bois tendre,tabla flexible,softwood,bois tendre,tabla flexible,やわらかいもくざい,부드러운 목재,軟木材,软木材
CraftMaterial_02767_pl,Weichholz,softwood,legna morbida,zachthout,мягкая древесина,bois tendre,tablas flexibles,softwood,bois tendre,tablas flexibles,やわらかいもくざい,부드러운 목재,軟木材,软木材
CraftMaterial_02768,Holz,wood,legno normale,hout,древесина,bois,tabla normal,wood,bois,tabla normal,もくざい,목재,木材,木材
CraftMaterial_02768_pl,Holz,wood,legna normale,hout,древесина,bois,tablas normales,wood,bois,tablas normales,もくざい,목재,木材,木材
CraftMaterial_02769,Hartholz,hardwood,legno duro,hardhout,твердая древесина,bois dur,tabla rígida,hardwood,bois dur,tabla rígida,かたいもくざい,단단한 목재,硬木材,硬木材
CraftMaterial_02769_pl,Hartholz,hardwood,legna dura,hardhout,твердая древесина,bois dur,tablas rígidas,hardwood,bois dur,tablas rígidas,かたいもくざい,단단한 목재,硬木材,硬木材
CraftMaterial_05727,Eichel,acorn,ghianda,eikel,желудь,gland,bellota,acorn,gland,bellota,どんぐり,도토리,橡栗,橡栗
CraftMaterial_05727_pl,Eicheln,acorns,ghiande,eikels,желуди,glands,bellotas,acorns,glands,bellotas,どんぐり,도토리,橡栗,橡栗
CraftMaterial_05728,Zapfen,pine cone,pigna,dennenappel,шишка,pomme de pin,piña,pine cone,pomme de pin,piña,まつぼっくり,솔방울,松果,松果
CraftMaterial_05728_pl,Zapfen,pine cones,pigne,dennenappels,шишки,pommes de pin,piñas,pine cones,pommes de pin,piñas,まつぼっくり,솔방울,松果,松果
CraftMaterial_05729,Frühlingsbambus,young spring bamboo,bambù giovane primavera,jonge lentebamboe,весенний бамбук,jeune bambou printemps,tallo de bambú primaveral,young spring bamboo,jeune bambou printemps,tallo de bambú primaveral,はるのわかたけ,봄의 대나무,春筍,春笋
CraftMaterial_05729_pl,Frühlingsbambus,young spring bamboo,bambù giovani primavera,jonge lentebamboe,весенний бамбук,jeunes bambous printemps,tallos de bambú primaveral,young spring bamboo,jeunes bambous printemps,tallos de bambú primaveral,はるのわかたけ,봄의 대나무,春筍,春笋
CraftMaterial_05730,Rotschmuck,red ornament,decorazione rossa,rode versiering,красное украшение,boule rouge,adorno rojo,red ornament,boule rouge,adorno rojo,あかいオーナメント,빨간 오너먼트,紅色裝飾品,红色装饰品
CraftMaterial_05730_pl,Rotschmuck,red ornaments,decorazioni rosse,rode versieringen,красные украшения,boules rouges,adornos rojos,red ornaments,boules rouges,adornos rojos,あかいオーナメント,빨간 오너먼트,紅色裝飾品,红色装饰品
CraftMaterial_05731,Blauschmuck,blue ornament,decorazione blu,blauwe versiering,синее украшение,boule bleue,adorno azul,blue ornament,boule bleue,adorno azul,あおいオーナメント,파란 오너먼트,藍色裝飾品,蓝色装饰品
CraftMaterial_05731_pl,Blauschmuck,blue ornaments,decorazioni blu,blauwe versieringen,синие украшения,boules bleues,adornos azules,blue ornaments,boules bleues,adornos azules,あおいオーナメント,파란 오너먼트,藍色裝飾品,蓝色装饰品
CraftMaterial_05732,Goldschmuck,gold ornament,decorazione dorata,gouden versiering,золотое украшение,boule dorée,adorno dorado,gold ornament,boule dorée,adorno dorado,きんのオーナメント,금 오너먼트,金色裝飾品,金色装饰品
CraftMaterial_05732_pl,Goldschmuck,gold ornaments,decorazioni dorate,gouden versieringen,золотые украшения,boules dorées,adornos dorados,gold ornaments,boules dorées,adornos dorados,きんのオーナメント,금 오너먼트,金色裝飾品,金色装饰品
CraftMaterial_12968,Perle,pearl,perla,parel,жемчужина,perle,perla,pearl,perle,perla,しんじゅ,진주,珍珠,珍珠
CraftMaterial_12968_pl,Perlen,pearls,perle,parels,жемчужины,perles,perlas,pearls,perles,perlas,しんじゅ,진주,珍珠,珍珠
CraftPhoneCase_08760,NookPhone-Gestaltungskit,customizable phone case kit,kit personaliz. Nook Phone,NookPhone-hoesje,набор: переделка чехла,kit coque personnalisable,funda móvil personalizable,customizable phone case kit,kit coque personnalisable,kit de funda personalizable,スマホケースリメイクキット,스마트폰 케이스 리폼 키트,手機殼改造工具組,手机壳改造工具组
CraftPhoneCase_13439,Pocket Camp-Hülle,Pocket Camp phone case,custodia Pocket Camp,Pocket Camp-hoesje,чехол Pocket Camp,coque Pocket Camp,funda móvil Pocket Camp,Pocket Camp phone case,coque Pocket Camp,funda teléfono Pocket Camp,ポケットキャンプのスマホケース,포켓 캠프 스마트폰 케이스,口袋露營廣場手機殼,口袋露营广场手机壳
CraftPhoneCase_14820,FHA-Smartphone-Hülle,Paradise Planning case,custodia Casimira vacanze,resortplanbureauhoesje,чехол курортного бюро,coque Les Villas de Lou,funda móvil Archipiélago,Paradise Planning case,coque Paradis sur mesure,funda celular Archipiélago,タクミライフのスマホケース,파라다이스 플래닝 스마트폰 케이스,巧美生活手機殼,巧美生活手机壳
CraftRemake_02513,Umgestaltungsset,customization kit,kit di personalizzazione,aanpassingspakket,набор для переделки,kit de personnalisation,kit de personalización,customization kit,kit de personnalisation,kit de personalización,リメイクキット,리폼 키트,改造工具組,改造工具组
CraftRemake_02513_pl,Umgestaltungssets,customization kits,kit di personalizzazione,aanpassingspakketten,наборы для переделки,kits de personnalisation,kits de personalización,customization kits,kits de personnalisation,kits de personalización,リメイクキット,리폼 키트,改造工具組,改造工具组
Ore_02502,Stein,stone,pietra,steen,камень,pierre,piedra,stone,pierre,piedra,いし,돌,石頭,石头
Ore_02502_pl,Steine,stones,pietre,stenen,камни,pierres,piedras,stones,pierres,piedras,いし,돌,石頭,石头
