Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
AbsentMindedness,Tagtraum,Daydreaming,Sogno ad occhi aperti,Dromen,Мечтательность,Rêverie,Ensoñación,Daydreaming,Rêverie,Ensoñación,そうぞうちゅう,상상,想像中,想象中
AddConfetti,Konfetti,Confetti,Coriandoli,Confetti,Конфетти,Confettis,Confeti,Confetti,Confettis,Confeti,かみふぶき,종이 꽃가루,撒紙片,撒纸片
AddDance,Rhythmus im Blut,Feelin' It,Ritmo nel sangue,Swingende heupenpas,В ритме,Samba,Coreografía,Feelin' It,En rythme,Coreografía,リズムにのる,리듬 타기,跟著節奏,跟着节奏
AddEntice,Aufforderung zum Tanz,Let's Go,Coinvolgimento,Swingende hinkpas,Танцуем!,Avec moi !,Vamos,Let's Go,Avec moi!,Vamos,もりあげる,분위기 업,炒熱氣氛,炒热气氛
AddExcited,Aufregung,Excited,Entusiasmo,Voorpret,Предвкушение,Enthousiasme,Alegría,Excited,Enthousiasme,Alegría,ワクワク,두근두근,期待,期待
AddGreetingBothHands,Tschüssi,Double Wave,Doppio saluto,Enthousiast groeten,Двойная волна,Au revoir à deux mains,Doble saludo,Double Wave,Au revoir à deux mains,Doble saludo,りょうてバイバイ,양손 바이바이,兩手掰掰,挥手再见
AddGymnastics,Trainieren,Work Out,Allenamento,Rekken en strekken,Тренировка,Gymnastique,Gimnasia,Work Out,Gymnastique,Gimnasia,たいそう,체조,體操,体操
AddHereYouGo,Bitte schön,Here You Go,Ecco qua,Alsjeblieft,Вуаля,Et voilà !,Para ti,Here You Go,Et voilà!,Para ti,さぁどうぞ,자 여기!,請,请
AddHula,Hula,Hula,Hula,Hoelahoela,Хула,Hula,Hula,Hula,Hula,Hula,フラダンス,훌라 댄스,草裙舞,草裙舞
AddKKFesLeft,Seitwärtstanz rechts,Groove Left,Danza a sinistra,Dans naar links,Подскоки влево в ритм,Groove à gauche,Braceo izquierdo,Groove Left,Groove à gauche,Braceo izquierdo,ひだりむきダンス,왼쪽 댄스,向左舞動,向左舞动
AddKKFesLower,Relax-Tanz,Soak It In,Relax,Een met de wereld,Погружение,Bras en l'air,Deleite,Soak It In,Bras en l'air,Disfrute,あびる,주목!,享受,享受
AddKKFesPosing00,Chill-Tanz,Shimmy,Destra-sinistra,Links-rechts,Шимми,Gauche-droite,Contoneo,Shimmy,Métronome,Meneo,みぎひだりダンス,좌우 댄스,左右舞動,左右舞动
AddKKFesPosing01,Flugzeugtanz,Airplane,Aeroplano,Vliegtuig,Самолетик,Avion,Avión,Airplane,Avion,Avión,ひこうきダンス,비행기 댄스,飛機翼舞動,飞机翼舞动
AddKKFesPosing02,Twist,Twisty Dance,Twist,Twist,Твист,Twist,Twist,Twisty Dance,Twist,Twist,ツイストダンス,트위스트 댄스,扭扭舞,扭扭舞
AddKKFesPosing03,Armschwenke-Tanz,Arm-Swing Dance,Danza delle braccia,Armzwaaien,Махи руками,Battements de bras,Braceo alterno,Arm-Swing Dance,Déhanché disco,Braceo alterno,うでふりダンス,팔 흔들기 댄스,擺手舞動,摆手舞动
AddKKFesPosing04,Stepper-Tanz,Island Stomp,Marcia sul posto,Pas op de plaats,Островной притоп,Marche sur place,Venid a mí,Island Stomp,Pas insulaire,Paso isleño,あしぶみダンス,제자리 스텝,踏腳舞動,踏脚舞动
AddKKFesPosing05,Tip-Tap-Tanz,Side-to-Side,Passi di lato,Zijwaartse stappen,Сайд-ту-сайд,Pas de côté,Balanceo,Side-to-Side,Pas de côté,Balanceo,ステップダンス,좌우 스텝,左右踏步舞動,左右踏步舞动
AddKKFesPosing06,Rübenfeld-Tanz,Turnip Patch,Avanti-indietro,Strekdans,Репка,Rameur,Lados alternos,Turnip Patch,Rameur,Lados alternos,うでのばしダンス,쭉쭉 댄스,伸手臂舞動,伸手臂舞动
AddKKFesRight,Seitwärtstanz links,Groove Right,Danza a destra,Dans naar rechts,Подскоки вправо в ритм,Groove à droite,Braceo derecho,Groove Right,Groove à droite,Braceo derecho,みぎむきダンス,오른쪽 댄스,向右舞動,向右舞动
