Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
006,Ringelpulli,striped shirt,maglia a righe,gestreept shirt,тельняшка-лонгслив,pull léger rayé,jersey rayas,striped shirt,gilet léger rayé,suéter a rayas,ボーダーＴシャツ,줄무늬 티셔츠,粗橫紋T恤,粗横纹T恤
008,Bergsteigerjacke,mountain parka,felpa da montagna,outdoorjas,куртка с капюшоном,parka de montagne,sudadera de montaña,mountain parka,parka de montagne,sudadera de montaña,マウンテンパーカー,마운틴 파카,登山連帽上衣,登山连帽上衣
013,Dufflecoat,peacoat,giacca montgomery,wollen jas,бушлат,duffel-coat,trenca,peacoat,manteau marine,abrigo grueso,ダッフルコート,더플코트,羊毛混紡牛角釦大衣,羊毛混纺牛角扣大衣
018,Trenchcoat,trench coat,trench,trenchcoat,тренчкот,pardessus,gabardina,trench coat,imper,gabardina,トレンチコート,트렌치코트,風衣,风衣
019,Kung-Fu-Hemd,kung-fu tee,maglietta da kung fu,kungfushirt,майка для кун-фу,veste kung-fu,camiseta kung-fu,kung-fu tee,manteau kung-fu,camiseta kung-fu,カンフーなふく,쿵푸 옷,功夫衣服,功夫衫
021,Collegejacke,letter jacket,giacca college,sportjack,куртка с буквой,veste collège,cazadora,letter jacket,manteau collège,chamarra,スタジャン,점퍼,棒球外套,棒球外套
022,3er-Shirt,three-ball tee,maglietta palla 3,3-⁠bal-T-⁠shirt,футболка «3»,t-⁠shirt nº 3,camiseta bola 3,three-ball tee,t-⁠shirt nº 3,camiseta bola 3,３ばんだまのふく,3번공 옷,3號球衣服,3号球上衣
023,2er-Shirt,two-ball tee,maglietta palla 2,2-⁠bal-T-⁠shirt,футболка «2»,t-⁠shirt nº 2,camiseta bola 2,two-ball tee,t-⁠shirt nº 2,camiseta bola 2,２ばんだまのふく,2번공 옷,2號球衣服,2号球上衣
025,Lagentop,layered tank,canotta a strati,laagjeshemdje,многослойный топ,débardeur à volants,top con volantes,layered tank,camisole à volants,top con volados,シンプルフリルキャミソール,심플 프릴 캐미솔,簡約荷葉邊細肩帶背心,简约波浪边细肩带背心
026,Asia-Hemd,silk shirt,giacca di seta,zijden shirt,шелковая рубашка,veste chinoise,blusa de seda,silk shirt,manteau de soie,blusa de seda,チャイナふく,중국풍 옷,中華風衣服,中国风上衣
027,Raglan-Shirt,raglan shirt,maglia raglan,raglanshirt,лонгслив реглан,t-⁠shirt raglan m. longues,jersey manga raglán,raglan shirt,t-⁠shirt raglan m. longues,suéter manga raglán,ラグランＴシャツ,래글런 티셔츠,插肩T恤,插肩T恤
033,Basketballtrikot,basketball tank,canotta da basket,basketbalshirt,баскетбольный топ,débardeur basketball,top básquet,basketball tank,camisole de basketball,top básquet,バスケシャツ,농구복 상의,籃球衣,篮球衣
035,Stricktop,hand-knit tank,maglione smanicato,handgebreide tanktop,вязаный топ,débardeur tricoté main,chaleco de punto,hand-knit tank,débardeur tricoté main,chaleco tejido,ノースリーブのニット,민소매 니트,無袖針織衫,无袖针织衫
