Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
1003_Shoes_06893,Grün,Green,Verde,Groen,Зеленый,Vert,Verde,Green,Vert,Verde,グリーン,그린,綠色,绿色
1003_Shoes_10074,Marineblau,Navy blue,Blu marino,Marineblauw,Черно-синий,Bleu marine,Azul marino,Navy blue,Bleu marine,Azul marino,ネイビー,네이비,海軍藍,海军蓝
1003_Shoes_10075,Beige,Beige,Beige,Beige,Бежевый,Beige,Beis,Beige,Beige,Beige,ベージュ,베이지,米色,米色
1003_Shoes_10076,Orange,Orange,Arancio,Oranje,Оранжевый,Orange,Naranja,Orange,Orange,Naranja,オレンジ,오렌지,橘色,橘色
1003_Shoes_10077,Rosa,Pink,Rosa,Roze,Розовый,Rose,Rosa,Pink,Rose,Rosa,ピンク,핑크,粉紅色,粉红
1003_Shoes_10078,Hellblau,Light blue,Blu chiaro,Lichtblauw,Голубой,Bleu clair,Celeste,Light blue,Bleu pâle,Celeste,ライトブルー,라이트 블루,淺藍色,浅蓝色
1003_Shoes_10079,Lila,Purple,Viola,Paars,Фиолетовый,Violet,Púrpura,Purple,Mauve,Morado,パープル,퍼플,紫色,紫色
1003_Shoes_10080,Weinrot,Berry red,Rosso lampone,Bessenrood,Ягодно-красный,Bordeaux,Burdeos,Berry red,Bordeaux,Granate,ワインレッド,와인 레드,酒紅色,酒红色
1097_Shoes_09846,Keine Varianten,No Variations,Nessuna variazione,Geen variaties,Нет вариантов,Sans variation,Sin variaciones,No Variations,Sans variation,Sin variaciones,バリエーションなし,종류 없음,無其他種類,无其他种类
1098_Shoes_09847,Rot,Red,Rosso,Rood,Красный,Rouge,Rojo,Red,Rouge,Rojo,レッド,레드,紅色,红色
1098_Shoes_11987,Weiß,White,Bianco,Wit,Белый,Blanc,Blanco,White,Blanc,Blanco,ホワイト,화이트,白色,白色
1098_Shoes_11988,Schwarz,Black,Nero,Zwart,Черный,Noir,Negro,Black,Noir,Negro,ブラック,블랙,黑色,黑色
1098_Shoes_11989,Blau,Blue,Blu,Blauw,Синий,Bleu,Azul,Blue,Bleu,Azul,ブルー,블루,藍色,蓝色
1135_Shoes_09884,Dämmerung,Twilight,Crepuscolo,As,Сумерки,Crépuscule,Crepúsculo,Twilight,Crépuscule,Crepúsculo,トワイライト,트와일라잇,曙光,黎明
1135_Shoes_11766,Mitternacht,Midnight,Tenebre,Inkt,Полночь,Ténèbres,Medianoche,Midnight,Ténèbres,Medianoche,ミッドナイト,미드나이트,午夜,午夜
1135_Shoes_11767,Leidenschaft,Passion,Passione,Vuur & Vlam,Темперамент,Passion,Pasión,Passion,Passion,Pasión,パッション,바이올렛,熱情,热情
1135_Shoes_11768,Ozean,Ocean,Oceano,7e Hemel,Океан,Océan,Océano,Ocean,Océan,Océano,オーシャン,오션,海洋,海洋
1135_Shoes_11769,Sonnenuntergang,Sunset,Girasole,Klatergoud,Закат,Soleil couchant,Puesta de sol,Sunset,Soleil couchant,Puesta de sol,サンセット,선셋,日落,日落
1135_Shoes_11770,Romantik,Love,Romanticismo,Roze Bril,Любовь,Romance,Amor,Love,Romance,Amor,ラブ,러브,愛,爱
1136_Shoes_09885,Dämmerung,Twilight,Crepuscolo,As,Сумерки,Crépuscule,Crepúsculo,Twilight,Crépuscule,Crepúsculo,トワイライト,트와일라잇,曙光,黎明
1136_Shoes_11771,Mitternacht,Midnight,Tenebre,Inkt,Полночь,Ténèbres,Medianoche,Midnight,Ténèbres,Medianoche,ミッドナイト,미드나이트,午夜,午夜
1136_Shoes_11772,Leidenschaft,Passion,Passione,Vuur & Vlam,Темперамент,Passion,Pasión,Passion,Passion,Pasión,パッション,바이올렛,熱情,热情
1136_Shoes_11773,Ozean,Ocean,Oceano,7e Hemel,Океан,Océan,Océano,Ocean,Océan,Océano,オーシャン,오션,海洋,海洋
1136_Shoes_11774,Sonnenuntergang,Sunset,Girasole,Klatergoud,Закат,Soleil couchant,Puesta de sol,Sunset,Soleil couchant,Puesta de sol,サンセット,선셋,日落,日落
