Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
00000,Holztür,wooden door,porta di legno,houten deur,деревянная дверь,porte en bois,puerta de madera,wooden door,porte en bois,puerta de madera,きぐみのドア,목제 문,木門,积木门
00002,Holztür,wooden door,porta di legno,houten deur,деревянная дверь,porte en bois,puerta de madera,wooden door,porte en bois,puerta de madera,きぐみのドア,목제 문,木門,积木门
00003,Eisentür,iron door,porta di metallo,ijzeren deur,железная дверь,porte en métal,puerta de hierro,iron door,porte en métal,puerta de hierro,てつのドア,철제 문,鐵門,铁门
00004,Eisentür,iron door,porta di metallo,ijzeren deur,железная дверь,porte en métal,puerta de hierro,iron door,porte en métal,puerta de hierro,てつのドア,철제 문,鐵門,铁门
00005,Beschlagtür,metal-accent door,porta rinforzata,schuurdeur,клепаная дверь,porte à pentures,puerta de caserón,metal-accent door,porte à pentures,puerta de caserón,かなぐのドア,금속 장식 문,金屬配件門,金属配件门
00006,Beschlagtür,metal-accent door,porta rinforzata,schuurdeur,клепаная дверь,porte à pentures,puerta de caserón,metal-accent door,porte à pentures,puerta de caserón,かなぐのドア,금속 장식 문,金屬配件門,金属配件门
00009,Feldertür,common door,porta comune,paneeldeur,обычная дверь,porte ordinaire,puerta con molduras,common door,porte ordinaire,puerta con molduras,よくあるドア,평범한 문,常見門,常见门
00010,Feldertür,common door,porta comune,paneeldeur,дверь с вставками,porte ordinaire,puerta con molduras,common door,porte ordinaire,puerta con molduras,よくあるドア,평범한 문,常見門,常见门
00014,Japan-Tür,zen door,porta zen,zendeur,дзен-дверь,porte zen,puerta oriental,zen door,porte zen,puerta oriental,わふうなドア,일본풍 문,和風門,和风门
00015,Japan-Tür,zen door,porta zen,zendeur,дзен-дверь,porte zen,puerta oriental,zen door,porte zen,puerta oriental,わふうなドア,일본풍 문,和風門,和风门
00016,Fenstertür,windowed door,porta con finestra,deur met raampje,дверь с окном,porte à fenêtre,puerta clásica,windowed door,porte à fenêtre,puerta clásica,まどつきのドア,창문이 달린 문,有窗木門,有窗木门
00017,Fenstertür,windowed door,porta con finestra,deur met raampje,дверь с окном,porte à fenêtre,puerta clásica,windowed door,porte à fenêtre,puerta clásica,まどつきのドア,창문이 달린 문,有窗木門,有窗木门
00018,Gitterdekotür,iron grill door,porta con grata,deur met traliewerk,дверь с ковкой,porte à grille,puerta con forjado,iron grill door,porte à grille,puerta con forjado,アイアングリルなドア,아이언 그릴 문,鑄鐵窗花門,铸铁窗花门
00019,Gitterdekotür,iron grill door,porta con grata,deur met traliewerk,дверь с ковкой,porte à grille,puerta con forjado,iron grill door,porte à grille,puerta con forjado,アイアングリルなドア,아이언 그릴 문,鑄鐵窗花門,铸铁窗花门
00020,Fernost-Tür,imperial door,porta cinese,keizerlijke deur,азиатская дверь,porte impériale,puerta imperial,imperial door,porte impériale,puerta imperial,ちゅうかなドア,중국풍 문,中式門,中式门
00021,Fernost-Tür,imperial door,porta cinese,keizerlijke deur,азиатская дверь,porte impériale,puerta imperial,imperial door,porte impériale,puerta imperial,ちゅうかなドア,중국풍 문,中式門,中式门
