Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
002,Stein,stone,pietra,stenen set,Камень,pierre,piedra,stone,pierre,piedra,いし,돌,石頭,石头
003,Büro,office,ufficio,kantoorset,Офис,pro,oficina,office,pro,oficina,オフィス,사무용,辦公室,办公室
004,Lernen,study,studio,huiswerkset,Учеба,études,aprendizaje,study,études,aprendizaje,がくしゅう,학습,學習,学习
005,Hörsaal,lecture hall,aula,collegezaalset,Аудитория,amphi,aula,lecture hall,salle de lecture,aula,こうぎしつ,강의실,大講堂,大讲堂
006,Studierzimmer,den,presidente,notarisset,Кабинет,ministre,notario,den,ministre,notario,しょさい,서재,書房,书房
007,Geburtstag,birthday,compleanno,verjaardagsset,Именины,anniversaire,cumpleaños,birthday,fête,cumpleaños,バースデー,생일,生日,生日
008,Apfel,apple,mela,appelset,Яблоко,pomme,manzana,apple,pomme,manzana,リンゴ,사과,蘋果,苹果
009,Pfirsich,peach,pesca,perzikset,Персик,pêche,melocotón,peach,pêche,durazno,モモ,복숭아,桃子,桃子
010,Kirsch,cherry,ciliegia,kersenset,Вишня,cerise,cereza,cherry,cerise,cereza,さくらんぼ,체리,櫻桃,樱桃
011,Orange,orange,arancia,sinaasappelset,Апельсин,orange,naranja,orange,orange,naranja,オレンジ,오렌지,橘子,橘子
012,Birne,pear,pera,perenset,Груша,poire,pera,pear,poire,pera,ナシ,배,梨子,梨子
013,Schule,school,scuola,schoolset,Школа,école,escuela,school,école,escuela,がっこう,학교,學校,学校
014,Asia-Restaurant,imperial dining,ristorante cinese,keizerlijke eetset,Обед в азиатском стиле,restaurant chinois,restaurante oriental,imperial dining,impérial,restaurante oriental,ちゅうか,중국풍,中華,中华
015,Panda,panda,panda,pandaset,Панды,panda,panda,panda,panda,panda,パンダ,판다,熊貓,熊猫
016,Bär,bear,orso,berenset,Медведи,ours,osito,bear,ours,osito,クマ,곰,熊,熊
017,Pappaufsteller,standee,sagoma,kartonnen decoratieset,Бутафория,décor en carton,atrezo,standee,décor en carton,utilería,ハリボテ,연극 소품,佈景板,纸扎
018,Funktional,natural,naturale,natuurlijke set,Обычный садовый,naturelle,madera natural,natural,naturelle,madera natural,ナチュラル,내추럴,自然,自然
019,Haustier,pet,animali,huisdierenset,Все для питомца,animal,mascota,pet,animal,mascota,ペット,반려동물,寵物,宠物
020,Boxring,sports ring,ring da boxe,boksringset,Ринг,ring de boxe,ring de boxeo,sports ring,ring de boxe,ring de boxeo,リング,링,圓環,圆环
021,Künstler,artsy,artistico,fantasieset,Дизайн,art,diseño,artsy,art,diseño,アート,아트,藝術,艺术
022,Holz-Alu,metal and wood,alluminio e legno,metalen-houten set,Металл и дерево,métal et bois,aluminio,metal and wood,métal et bois,aluminio,アルミウッド,메탈 우드,鋁木,铝木
023,Ruinen,ruined,in rovina,ruïneset,Руины,ruine,ruinas,ruined,ruine,ruinas,いせき,유적,遺跡,遗迹
024,Burg,castle,del castello,kasteelset,Замок,château,castillo,castle,château,castillo,おしろ,성,城堡,城堡
025,Garten,garden,plastica,tuinset,Сад,jardin,plástico,garden,jardin,plástico,ガーデン,가든,花園,花园
026,Gaming,gaming,gamer,gamersset,Гейминг,gaming,videojuegos,gaming,jeux vidéo,videojuegos,ゲーミング,게이밍,遊戲,游戏
027,Tafel,chalkboard,lavagna,schoolbordset,Классная доска,tableau noir,pizarra,chalkboard,tableau noir,pizarrón,こくばん,칠판,黑板,黑板
028,Homeoffice,office,ufficio,werkkamerset,Офис,bureau,oficina,office,bureau,oficina,じむ,오피스,事務,事务
029,Großküche,kitchen,cucina,keukenset,Кухня,cuisine,cocina,kitchen,cuisine,cocina,ちゅうぼう,음식점,廚房,厨房
030,Romantik,iron garden,da giardino di ferro,ijzeren tuinset,Сад и железо,mobilier de jardin en acier,forja,iron garden,mobilier de jardin en acier,forja,アイアンガーデン,아이언 가든,鑄鐵花園,铸铁花园
031,Trophäe,bug head,testa di insetto,beestjesset,Головы насекомых,têtes d'insectes,cabeza de bicho,bug head,têtes d'insectes,cabeza de insecto,ムシヘッド,곤충 머리,昆蟲床鋪,昆虫床铺
