Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
PhotoStudioList_00751,Leiter-Bausatz,ladder set-up kit,kit fissa-scala,ladderopstelpakket,крепеж лестницы,kit installation d'échelle,kit de escalerilla,ladder set-up kit,kit installation d'échelle,kit de escalerita,FIXはしごキット,FIX 사다리 키트,固定梯子工具組,固定梯子工具组
PhotoStudioList_00752,Rezept,cooking recipe,ricetta,recept,рецепт,recette de cuisine,receta de cocina,cooking recipe,recette de cuisine,receta de cocina,クッキングレシピ,요리 레시피,料理方程式,料理手册
PhotoStudioList_00753,Tapete,wallpaper,carta da parati,behang,обои,papier peint,papel de pared,wallpaper,papier peint,papel de pared,かべがみ,벽지,壁紙,壁纸
PhotoStudioList_00754,Boden,flooring,pavimento,vloerbedekking,пол,sol,suelo,flooring,sol,suelo,ゆかいた,바닥,地板,地板
PhotoStudioList_00755,Buschsetzling,shrub start,germoglio di cespuglio,struikzaailing,молодой кустик,pousse d'arbuste,arbusto de vivero,shrub start,pousse d'arbuste,arbusto de vivero,ていぼくのなえ,낮은 나무 묘목,灌木苗,灌木苗
PhotoStudioList_00756,Poki-Sack,Poki bag,sacco di poki,zak poki,мешок поки,sac de pokis,bolsa de pokis,Poki bag,sac de pokis,bolsa de pokis,ポキぶくろ,푸키 주머니,波金袋,波金袋
PhotoStudioList_00757,Gemüsesetzling,produce start,germoglio di ortaggio,gewaszaailing,овощная рассада,pousse potagère,cultivo de vivero,produce start,pousse potagère,cultivo de vivero,やさいのなえ,야채 모종,蔬菜苗,蔬菜苗
PhotoStudioList_00758,Unkraut,clump of weeds,erbaccia,onkruid,сорняк,mauvaise herbe,hierbajo,clump of weeds,mauvaise herbe,maleza,ざっそう,잡초,雜草,杂草
PhotoStudioList_00759,Leuchtmoos,glowing moss,muschio luminoso,lichtmos,кусок светящегося мха,schistostega,musgo luminoso,glowing moss,schistostega,musgo luminoso,ヒカリゴケ,빛이끼,光蘚,光藓
PhotoStudioList_00760,Ranke,vine,pianta di edera,klimplant,лоза,vigne,enredadera,vine,vigne,enredadera,ツル,덩굴,藤蔓,藤蔓
PhotoStudioList_07730,Sterni-Münze,Bell coin,stellina (moneta),klingelmunt,динь,pièce de clochettes,moneda baya,Bell coin,pièce de clochettes,moneda baya,ベル（コイン）,동전,鈴錢（金幣）,铃钱（金币）
PhotoStudioList_07731,Sterni-Sack,Bell bag,sacco di stelline,zak klingels,мешок с динями,sac de clochettes,bolsa de bayas,Bell bag,sac de clochettes,bolsa de bayas,ベルぶくろ,벨 주머니,鈴錢袋,铃钱袋
PhotoStudioList_07732,Klappmuschel,bivalve,conchiglia bivalve,schelp,двустворчатая раковина,coquillage bivalve,bivalvo,bivalve,coquillage bivalve,bivalvo,にまいがい,조개,雙殼貝,双壳贝
PhotoStudioList_07733,Spiralmuschel,spiral shell,conchiglia a spirale,spiraalschelp,спиральная раковина,coquillage spiralé,concha en espiral,spiral shell,coquillage spiralé,concha marina en espiral,まきがい,고둥,螺,螺
PhotoStudioList_07734,Rüben,turnips,rape,knollen,репа,lot de navets,nabo,turnips,lot de navets,nabo,カブ,무,大頭菜,大头菜
PhotoStudioList_07735,Anleitung,recipe,schema,plan,инструкция,plan de bricolage,proyecto de bricolaje,recipe,plan de bricolage,esquema de proyecto,レシピ,레시피,方程式,手册
PhotoStudioList_07736,Saatbeutel,seed bag,sacco di semi,zakje zaad,пакетик с семенами,sac de graines,bolsa de semillas,seed bag,sac de graines,bolsa de semillas,たねぶくろ,씨앗 주머니,種子袋,种子袋
