Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Bromide_00370,Foto von Björn,Cyrus's photo,foto di Merino,foto van Cyrus,фото Сайруса,photo de Serge,foto de Al,Cyrus's photo,photo de Serge,foto de Al,カイゾーのしゃしん,리포의 사진,健兆的照片,健兆的照片
Bromide_00371,Foto von Rosina,Reese's photo,foto di Alpaca,foto van Reese,фото Риз,photo de Risette,foto de Paca,Reese's photo,photo de Risette,foto de Paca,リサのしゃしん,리사의 사진,莉詠的照片,莉咏的照片
Bromide_00372,Foto von Bartholo,Chip's photo,foto di Castore,foto van Chip,фото Чипа,photo de Castor,foto de Martín,Chip's photo,photo de Castor,foto de Martín,うおまさのしゃしん,뚱달의 사진,俞正的照片,俞正的照片
Bromide_00373,Foto von Helios,Phineas's photo,foto di Elio,foto van Phineas,фото Финеаса,photo d'Hélium,foto de Elio,Phineas's photo,photo d'Hélium,foto de Elio,パロンチーノのしゃしん,파론티노의 사진,博陸恩的照片,博陆恩的照片
Bromide_00374,Foto von Sigrid,Joan's photo,foto di Nella,foto van Joan,фото Джоан,photo de Porcella,foto de Juana,Joan's photo,photo de Porcella,foto de Juana,カブリバのしゃしん,무파라의 사진,曹谷的照片,曹谷的照片
Bromide_00375,Foto von Smeralda,Katrina's photo,foto di Vanda,foto van Katrina,фото Катрины,photo d'Astrid,foto de Katrina,Katrina's photo,photo d'Astrid,foto de Katrina,ハッケミィのしゃしん,마추릴라의 사진,星薇的照片,星薇的照片
Bromide_00376,Foto von Carleon,Nat's photo,foto di Gustavo,foto van Nat,фото Ната,photo de Djarod,foto de Papilo,Nat's photo,photo de Djarod,foto de Papilo,カメヤマさんのしゃしん,멜레옹의 사진,龍山先生的照片,龙山先生的照片
Bromide_00377,Foto von Aziza,Saharah's photo,foto di Sahara,foto van Saharah,фото Сахары,photo de Sarah,foto de Alcatifa,Saharah's photo,photo de Sarah,foto de Alcatifa,ローランのしゃしん,사하라의 사진,駱嵐的照片,骆岚的照片
Bromide_00378,Foto von K.K.,K.K.'s photo,foto di K.K.,foto van K.K.,фото К. К.,photo de Kéké,foto de Totakeke,K.K.'s photo,photo de Kéké,foto de Totakeke,とたけけのしゃしん,K.K.의 사진,K.K.的照片,K.K.的照片
Bromide_00379,Foto von Reiner,Redd's photo,foto di Volpolo,foto van Redd,фото Рэдда,photo de Rounard,foto de Ladino,Redd's photo,photo de Rounard,foto de Ladino,つねきちのしゃしん,여욱의 사진,狐利的照片,狐利的照片
