Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
RoomFloor_04797,Kellerboden,basement flooring,pavimento cantina,keldervloer,пол из булыжников,sol de cave,suelo sótano,basement flooring,sol de cave,suelo sótano,ちかしつのゆか,지하실 바닥,地下室地板,地下室地板
RoomFloor_04950,Schiffsdeck,ship deck,pavimento ponte di nave,scheepsdekvloer,корабельный пол,sol pont de navire,suelo cubierta,ship deck,sol pont de navire,suelo cubierta,かんぱんのゆか,갑판 바닥,甲板地板,甲板地板
RoomFloor_04951,Zementboden,concrete flooring,pavimento grezzo,betonvloer,бетонный пол,sol en béton,suelo hormigón,concrete flooring,sol en béton,suelo cemento,コンクリートのゆか,콘크리트 바닥,混凝土地板,混凝土地板
RoomFloor_04952,Grüngummiboden,green rubber flooring,pavimento in gomma verde,groene rubbervloer,зеленый резиновый пол,sol en caoutchouc vert,suelo de caucho verde,green rubber flooring,sol en caoutchouc vert,suelo de caucho verde,グリーンラバーのゆか,그린 고무 바닥,綠色塑膠地板,绿色胶地板
RoomFloor_04953,Arabeskenboden,arabesque flooring,pavimento arabescato,arabeske vloer,пол с арабесками,sol arabesques,suelo arabesco,arabesque flooring,sol arabesques,suelo arabesco,アラベスクなゆか,아라베스크 바닥,阿拉伯式地板,阿拉伯式地板
RoomFloor_04954,Blaugummiboden,blue rubber flooring,pavimento in gomma blu,blauwe rubbervloer,синий резиновый пол,sol en caoutchouc bleu,suelo de caucho azul,blue rubber flooring,sol en caoutchouc bleu,suelo de caucho azul,ブルーラバーのゆか,블루 고무 바닥,藍色塑膠地板,蓝色胶地板
RoomFloor_04955,Puzzlemattenboden,jointed-mat flooring,pavimento a tappetini uniti,gecombineerde matten,пол-пазл из циновок,sol dalles imbriquées,suelo esterilla combinada,jointed-mat flooring,sol dalles imbriquées,suelo esterilla combinada,ジョイントマットのゆか,체크 매트 바닥,巧拼地墊地板,拼接地垫地板
RoomFloor_04956,Pastell-Puzzleboden,pastel puzzle flooring,pavimento puzzle pastello,pastelkleurige puzzelvloer,пастельный пол-пазл,sol puzzle pastel,suelo rompecabezas pastel,pastel puzzle flooring,sol casse-tête pastel,suelo rompecabezas pastel,パステルパズルのゆか,파스텔 퍼즐 바닥,粉嫩巧拼地板,粉嫩巧拼地板
RoomFloor_04957,Bunt-Puzzleboden,colorful puzzle flooring,pavimento puzzle variopinto,kleurrijke puzzelvloer,цветной пол-пазл,sol puzzle multicolore,suelo rompecabezas alegre,colorful puzzle flooring,sol casse-tête multicolore,suelo rompecabezas alegre,カラフルパズルのゆか,컬러풀 퍼즐 바닥,彩色巧拼地板,彩色巧拼地板
RoomFloor_04958,Rosenblütenboden,rose flooring,pavimento con rose,rozenvloer,пол с розами,sol roses,suelo rosas,rose flooring,sol roses,suelo rosas,バラのじゅうたん,장미 카펫 바닥,玫瑰地板,玫瑰地毯
RoomFloor_04959,Leopardenmusterboden,leopard-print flooring,pavimento maculato,luipaardvloer,леопардовый пол,sol léopard,suelo leopardo,leopard-print flooring,sol léopard,suelo leopardo,レオパードなゆか,표범 무늬 바닥,豹紋地板,豹纹地板
RoomFloor_04960,Eisenbelag,steel flooring,pavimento acciaio,stalen vloer,стальной пол,sol en acier,suelo acero,steel flooring,sol en acier,suelo acero,てっぱんのゆか,철판 바닥,鐵板地板,铁板地板
RoomFloor_04961,Giraffenmusterboden,giraffe-print flooring,pavimento giraffa,giraffevloer,пол с пятнами жирафа,sol girafe,suelo jirafa,giraffe-print flooring,sol girafe,suelo jirafa,ジラフなゆか,기린 무늬 바닥,長頸鹿紋地板,长颈鹿纹地板
RoomFloor_04962,Zebramusterboden,zebra-print flooring,pavimento zebrato,zebravloer,пол с полосками зебры,sol zèbre,suelo cebra,zebra-print flooring,sol zèbre,suelo cebra,ゼブラなゆか,얼룩말 무늬 바닥,斑馬紋地板,斑马纹地板
RoomFloor_04963,Streifenboden,stripe flooring,pavimento strisce,gestreepte vloer,полосатый пол,sol rayures,suelo rayas,stripe flooring,tapis rayures,suelo rayas,ストライプなゆか,스트라이프 바닥,條紋地板,条纹地板
RoomFloor_04964,Bambusboden,bamboo flooring,pavimento bambù,bamboevloer,бамбуковый пол,sol en bambou,suelo bambú,bamboo flooring,sol en bambou,suelo bambú,バンブーなゆか,대나무 바닥,竹子地板,竹子地板
RoomFloor_04965,Beige-Marokko-Boden,beige Moroccan flooring,pavim. marocchino beige,beige Marokkaanse vloer,бежевый марокк. пол,sol treillis marocain beige,losa marroquí beis,beige Moroccan flooring,sol treillis désert beige,suelo losa marroquí beige,ベージュのモロッカンタイルゆか,베이지 모로칸 타일 바닥,米色摩洛哥磚地板,米色摩洛哥砖地板
RoomFloor_04966,Blaugrau-Marokko-Boden,blue Moroccan flooring,pavimento marocchino blu,kleurige Marokkaanse vloer,голубой марокк. пол,sol treillis marocain bleu,losa marroquí azul,blue Moroccan flooring,sol treillis désert bleu,suelo losa marroquí azul,ブルーのモロッカンタイルゆか,블루 모로칸 타일 바닥,藍色摩洛哥磚地板,蓝色摩洛哥砖地板
RoomFloor_04967,Flechtboden,rattan flooring,pavimento di rattan,rotanvloer,тростниковый пол,sol jonc,suelo ratán,rattan flooring,sol rotin,suelo ratán,ラタンのゆか,라탄 바닥,藤編地板,藤编地板
RoomFloor_04968,Mondlandschaft,lunar surface,suolo lunare,maanlandschap,лунный пол,sol lunaire,superficie lunar,lunar surface,sol lunaire,superficie lunar,げつめんのゆか,달표면 바닥,月球表面地板,月球表面地板
RoomFloor_04969,Korkboden,cork flooring,pavimento di sughero,kurken vloer,пробковый пол,sol liège,suelo corcho,cork flooring,sol liège,suelo corcho,コルクフローリング,코르크 바닥,軟木地板,软木地板
RoomFloor_04970,Sandboden,sandy-beach flooring,pavimento spiaggia,zandstrandvloer,пляжный пол,sol plage de sable,suelo playa tropical,sandy-beach flooring,sol plage de sable,suelo tropical,すなはまのゆか,모래사장 바닥,沙灘地板,沙滩地板
RoomFloor_04971,Terrakottaboden,terra-cotta flooring,pavimento terracotta,terracotta vloer,керамический пол,sol terre cuite,losa terracota,terra-cotta flooring,sol terre cuite,suelo terracota,テラコッタタイルのゆか,테라코타 타일 바닥,陶磚地板,陶砖地板
RoomFloor_04972,Blattmusterboden,hexagonal floral flooring,pavimento esagoni floreali,zesbladerigebloemvloer,пол с шестилистниками,sol hexagones floraux,suelo flor hexagonal,hexagonal floral flooring,sol hexagones floraux,suelo flor hexagonal,あさのはタイルのゆか,삼잎 타일 바닥,麻葉紋磚地板,麻叶纹砖地板
RoomFloor_04973,Rechteckfliesenboden,random-square-tile flooring,pavimento piastrelle casuali,wirwartegelvloer,пол из плитки без узора,sol carreaux isatis,losa irregular,random-square-tile flooring,sol carreaux isatis,suelo diseño aleatorio,ランダムスクエアタイルのゆか,랜덤 사각 타일 바닥,不規則方形磚地板,不规则方形砖地板
RoomFloor_04974,Weißziegelboden,white-brick flooring,pavimento mattoni bianchi,witte bakstenen vloer,пол из белого кирпича,sol briques blanches,suelo ladrillo blanco,white-brick flooring,sol briques blanches,suelo ladrillo blanco,しろレンガのゆか,하얀 벽돌 바닥,白色磚塊地板,白色砖块地板
RoomFloor_04975,Rotziegelboden,red-brick flooring,pavimento mattoni rossi,rode bakstenen vloer,пол из красного кирпича,sol briques rouges,suelo ladrillo rojo,red-brick flooring,sol briques rouges,suelo ladrillo rojo,あかレンガのゆか,빨간 벽돌 바닥,紅色磚塊地板,红色砖块地板
RoomFloor_04976,Schwarzziegelboden,black-brick flooring,pavimento mattoni neri,zwarte bakstenen vloer,пол из черного кирпича,sol briques noires,suelo ladrillo negro,black-brick flooring,sol briques noires,suelo ladrillo negro,くろレンガのゆか,검정 벽돌 바닥,黑色磚塊地板,黑色砖块地板
RoomFloor_04977,Blumen-Binsenboden,floral rush-mat flooring,pavimento floreale,gebloemde biezen matten,циновка на пол с цветами,sol bouquets fleuris,suelo estera floral,floral rush-mat flooring,sol bouquets fleuris,suelo estera floral,はなござ,꽃무늬 돗자리 바닥,花紋草蓆,花纹草席
RoomFloor_04978,Kieselsteinboden,gravel flooring,pavimento di ghiaia,kiezelsteenvloer,гравийный пол,sol gravier,suelo gravilla,gravel flooring,sol gravier,suelo gravilla,たまじゃりのゆか,자갈 바닥,碎石地板,碎石地板
