Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
HousePost_02571,Standard-Briefkasten,ordinary mailbox,cassetta posta normale,ronde brievenbus,простой ящик,boîte aux lettres ordinaire,buzón clásico,ordinary mailbox,boîte aux lettres ordinaire,buzón clásico,ふつうのポスト,일반 우편함,普通郵筒,普通信箱
HousePost_05342,Eckigbriefkasten,square mailbox,cassetta posta cubica,brievenbus,ящик-куб,b.a.l. rectangulaire,buzón cuadrado,square mailbox,b.a.l. rectangulaire,buzón cuadrado,しかくいポスト,사각 우편함,四角型郵筒,方形信箱
HousePost_05343,Holzbriefkasten,wooden mailbox,cassetta posta di legno,houten brievenbus,ящик из дерева,boîte aux lettres en bois,buzón de madera,wooden mailbox,b.a.l. en bois,buzón de madera,きのポスト,나무 우편함,木郵筒,木信箱
HousePost_05344,Maxi-Briefkasten,large mailbox,cassetta posta grande,grote brievenbus,большой ящик,grande boîte aux lettres,buzón para paquetes,large mailbox,grande b.a.l.,buzón para paquetes,おおきなポスト,커다란 우편함,大郵筒,大信箱
HousePost_05802,Rustikalbriefkasten,rustic mailbox,cassetta posta grezza,rustieke brievenbus,грубый ящик,b.a.l. rudimentaire,buzón rústico,rustic mailbox,b.a.l. rudimentaire,buzón rústico,そぼくなポスト,소박한 우편함,樸素郵筒,朴素信箱
HousePost_08661,Rot-Briefkasten,red ordinary mailbox,cassetta posta rossa,rode ronde brievenbus,простой красный ящик,b.a.l. ordinaire rouge,buzón clásico rojo,red ordinary mailbox,b.a.l. ordinaire rouge,buzón clásico rojo,あかいふつうのポスト,빨간색 일반 우편함,紅色普通郵筒,红色普通信箱
HousePost_08662,Rosa-Briefkasten,pink ordinary mailbox,cassetta posta rosa,roze ronde brievenbus,простой розовый ящик,b.a.l. ordinaire rose,buzón clásico rosa,pink ordinary mailbox,b.a.l. ordinaire rose,buzón clásico rosa,ピンクのふつうのポスト,핑크색 일반 우편함,粉紅色普通郵筒,粉红色普通信箱
HousePost_08663,Gelb-Briefkasten,yellow ordinary mailbox,cassetta posta gialla,gele ronde brievenbus,простой желтый ящик,b.a.l. ordinaire jaune,buzón clásico ocre,yellow ordinary mailbox,b.a.l. ordinaire jaune,buzón clásico ocre,きいろいふつうのポスト,노란색 일반 우편함,黃色普通郵筒,黄色普通信箱
HousePost_08664,Grün-Briefkasten,green ordinary mailbox,cassetta posta verde,groene ronde brievenbus,простой зеленый ящик,b.a.l. ordinaire verte,buzón clásico verde,green ordinary mailbox,b.a.l. ordinaire verte,buzón clásico verde,みどりのふつうのポスト,초록색 일반 우편함,綠色普通郵筒,绿色普通信箱
HousePost_08665,Blau-Briefkasten,blue ordinary mailbox,cassetta posta blu,blauwe ronde brievenbus,простой синий ящик,b.a.l. ordinaire bleue,buzón clásico azul,blue ordinary mailbox,b.a.l. ordinaire bleue,buzón clásico azul,あおいふつうのポスト,파란색 일반 우편함,藍色普通郵筒,蓝色普通信箱
HousePost_08666,Weiß-Briefkasten,white ordinary mailbox,cassetta posta bianca,witte ronde brievenbus,простой белый ящик,b.a.l. ordinaire blanche,buzón clásico blanco,white ordinary mailbox,b.a.l. ordinaire blanche,buzón clásico blanco,しろいふつうのポスト,하얀색 일반 우편함,白色普通郵筒,白色普通信箱
