Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Amber,Bernstein,amber,ambra,barnsteen,янтарь,ambre,ámbar,amber,ambre,ámbar,コハク,호박,琥珀,琥珀
Ammonite,Ammonit,ammonite,ammonite,ammoniet,аммонит,ammonite,amonites,ammonite,ammonite,amonites,アンモナイト,암모나이트,菊石,菊石
Ankiro,Ankylosaurus,Ankylosaurus,anchilosauro,ankylosaurus,Анкилозавр,ankylosaure,anquilosaurio,Ankylosaurus,ankylosaure,anquilosaurio,アンキロサウルス,안킬로사우루스,甲龍,甲龙
Anomalocaris,Anomalocaris,anomalocaris,anomalocaride,anomalocaris,аномалокарис,anomalocaris,anomalocaris,anomalocaris,anomalocaris,anomalocaris,アノマロカリス,아노말로카리스,奇蝦,奇虾
Archelon,Archelon,Archelon,archelone,archelon,Архелон,archélon,archelon,Archelon,archélon,archelon,アーケロン,아르켈론,帝龜,帝龟
Archeopteryx,Archaeopteryx,archaeopteryx,archaeopteryx,archeopteryx,археоптерикс,archéoptéryx,arqueoptérix,archaeopteryx,archéoptéryx,arqueoptérix,しそちょう,시조새,始祖鳥,始祖鸟
Australopithecus,Australopithecus,australopith,australopiteco,australopithecus,австралопитек,australopithèque,australopiteco,australopith,australopithèque,australopiteco,アウストラロピテクス,오스트랄로피테쿠스,南方古猿,南方古猿
Brachiosaurus,Brachiosaurus,Brachiosaurus,brachiosauro,brachiosaurus,Брахиозавр,brachiosaure,braquiosaurio,Brachiosaurus,brachiosaure,braquiosaurio,ブラキオサウルス,브라키오사우루스,腕龍,腕龙
Brontotherium,Megacerops,Megacerops,brontoterio,brontops,Бронтотерий,brontothérium,brontoterio,Megacerops,brontothérium,brontoterio,メガセロプス,메가케롭스,巨角犀,巨角犀
Deinonychus,Deinonychus,Deinonychus,deinonico,deinonychus,Дейноних,déinonychus,deinonico,Deinonychus,deinonychus,deinonico,ディノニクス,데이노니쿠스,恐爪龍,恐爪龙
Dimetro,Dimetrodon,Dimetrodon,dimetrodonte,dimetrodon,Диметродон,dimétrodon,dimetrodonte,Dimetrodon,dimétrodon,dimetrodonte,ディメトロドン,디메트로돈,異齒龍,异齿龙
Diplodocus,Diplodocus,Diplodocus,diplodoco,diplodocus,Диплодок,diplodocus,diplodocus,Diplodocus,diplodocus,diplodocus,ディプロドクス,디플로도쿠스,梁龍,梁龙
Droop,Koprolith,coprolite,coprolito,coproliet,копролит,coprolithe,coprolito,coprolite,coprolithe,coprolito,ウンコのかせき,대변 화석,糞化石,粪化石
Dunkleosteus,Dunkleosteus,dunkleosteus,dunkleosteus,dunkleosteus,дунклеостей,dunkléostéus,dunkleosteo,dunkleosteus,dunkléostéus,dunkleosteo,ダンクルオステウス,둔클레오스테우스,鄧氏魚,邓氏鱼
FirstAmphibian,Eusthenopteron,eusthenopteron,eustenottero,eusthenopteron,эустеноптерон,eusthénoptéron,eustenopteron,eusthenopteron,eusthénoptéron,eustenopteron,ユーステノプテロン,에우스테놉테론,新翼魚,新翼鱼
FirstFish,Myllokunmingia,myllokunmingia,myllokunmingia,myllokunmingia,миллокунмингия,myllokunmingia,myllokunmingia,myllokunmingia,myllokunmingia,myllokunmingia,ミロクンミンギア,밀로쿤밍기아,豐嬌昆明魚,丰娇昆明鱼
FirstFourLegs,Acanthostega,acanthostega,acantostega,acanthostega,акантостега,acanthostéga,acantostega,acanthostega,acanthostéga,acantostega,アカントステガ,아칸토스테가,棘螈,棘螈
FirstMammal,Juramaia,juramaia,juramaia,juramaia,юрамайя,juramaia,juramaia,juramaia,juramaia,juramaia,ジュラマイア,쥐라마이아,侏羅獸,侏罗兽
FootPrint,Dino-Fußabdruck,dinosaur track,orma dinosauro,fossiele pootafdruk,след динозавра,empreinte de dinosaure,huella de dinosaurio,dinosaur track,empreinte de dinosaure,huella de dinosaurio,あしあとのかせき,발자국 화석,恐龍腳印化石,恐龙脚印化石
Futaba,Plesiosaurus,Plesiosaurus,plesiosauro,plesiosaurus,Плезиозавр,plésiosaure,plesiosaurio,Plesiosaurus,plésiosaure,plesiosaurio,フタバサウルス,후타바사우루스,雙葉鈴木龍,双叶铃木龙
Iguanodon,Iguanodon,Iguanodon,iguanodonte,iguanodon,Игуанодон,iguanodon,iguanodonte,Iguanodon,iguanodon,iguanodonte,イグアノドン,이구아노돈,禽龍,禽龙
Mammoth,Mammut,Mammoth,mammut,mammoet,Мамонт,mammouth,mamut,Mammoth,mammouth,mamut,マンモス,매머드,長毛象,长毛象
Megaloceros,Riesenhirsch,Megaloceros,megalocero,reuzenhert,Гигантский олень,mégacéros,megaloceros,Megaloceros,mégacéros,megaloceros,メガロケロス,메갈로케로스,大角鹿,大角鹿
Ophthalmosaurus,Ophthalmosaurus,Ophthalmosaurus,oftalmosauro,ophthalmosaurus,Офтальмозавр,ophtalmosaure,oftalmosaurio,Ophthalmosaurus,ophtalmosaure,oftalmosaurio,オフタルモサウルス,오프탈모사우루스,大眼魚龍,大眼鱼龙
Pachy,Pachycephalosaurus,Pachycephalosaurus,pachicefalosauro,pachycephalosaurus,Пахицефалозавр,pachycéphalosaure,paquicefalosaurio,Pachycephalosaurus,pachycéphalosaure,paquicefalosaurio,パキケファロサウルス,파키케팔로사우루스,厚頭龍,厚头龙
Parasauro,Parasaurolophus,Parasaurolophus,parasauro,parasaurolophus,Паразауролоф,parasaurolophus,parasaurio,Parasaurolophus,parasaurolophus,parasaurio,パラサウロロフス,파라사우롤로푸스,副櫛龍,副栉龙
Pterano,Pteranodon,Pteranodon,pteranodonte,pteranodon,Птеранодон,ptéranodon,pteranodonte,Pteranodon,ptéranodon,pteranodonte,プテラノドン,프테라노돈,無齒翼龍,无齿翼龙
Quetzalcoatlus,Quetzalcoatlus,Quetzalcoatlus,quetzalcoatlus,quetzalcoatlus,Кетцалькоатль,quetzalcoatlus,quetzalcoatlus,Quetzalcoatlus,quetzalcoatlus,quetzalcoatlus,ケツァルコアトルス,케찰코아틀루스,風神翼龍,风神翼龙
Shark,Haizahnspirale,shark-tooth pattern,mandibola di elicoprione,haaientandkrans,зубы ископаемой акулы,mandibule d'hélicoprion,mandíbula de tiburón,shark-tooth pattern,mandibule d'hélicoprion,mandíbula de tiburón,サメのはのかせき,상어 이빨 화석,鯊魚牙齒化石,鲨鱼牙齿化石
Smilodon,Säbelzahntiger,Sabertooth Tiger,smilodonte,sabeltandtijger,Смилодон,smilodon,tigre dientes de sable,Sabertooth Tiger,smilodon,tigre dientes de sable,スミロドン,스밀로돈,劍齒虎,剑齿虎
Spino,Spinosaurus,Spinosaurus,spinosauro,spinosaurus,Спинозавр,spinosaure,espinosaurio,Spinosaurus,spinosaure,espinosaurio,スピノサウルス,스피노사우루스,棘龍,棘龙
Stego,Stegosaurus,Stegosaurus,stegosauro,stegosaurus,Стегозавр,stégosaure,estegosaurio,Stegosaurus,stégosaure,estegosaurio,ステゴサウルス,스테고사우루스,劍龍,剑龙
Trex,Tyrannosaurus Rex,T. Rex,tirannosauro,tyrannosaurus rex,Тираннозавр,tyrannosaure,tiranosaurio,T. Rex,tyrannosaure,tiranosaurio,Tレックス,티렉스,暴龍,暴龙
Tricera,Triceratops,Triceratops,triceratopo,triceratops,Трицератопс,tricératops,tricerátops,Triceratops,tricératops,tricerátops,トリケラトプス,트리케라톱스,三角龍,三角龙
Trilobite,Trilobit,trilobite,trilobite,trilobiet,трилобит,trilobite,trilobites,trilobite,trilobite,trilobites,さんようちゅう,삼엽충,三葉蟲,三叶虫
