Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Music_02405,K.K. Choral,K.K. Chorale,K.K. Corale,K⁠.⁠K⁠.-⁠⁠koraal,Хорал К. К.,Chorale de Kéké,Tota-góspel,K.K. Chorale,Chorale de Kéké,Tota-góspel,けけさんびか,K.K.찬송가,K.K.讚美詩歌,K.K.赞美诗歌
Music_02406,K.K. Marsch,K.K. March,K.K. Marcia,K⁠.⁠K⁠.-⁠mars,Марш К. К.,Marche de Kéké,Tota-marcha,K.K. March,Marche de Kéké,Tota-marcha,けけマーチ,K.K.행진곡,K.K.進行曲,K.K.进行曲
Music_02407,K.K. Walzer,K.K. Waltz,K.K. Valzer,K⁠.⁠K⁠.-⁠wals,Вальс К. К.,Valse de Kéké,Tota-vals,K.K. Waltz,Valse de Kéké,Tota-vals,けけワルツ,K.K.왈츠,K.K.圓舞曲,K.K.圆舞曲
Music_02408,K.K. Swing,K.K. Swing,K.K. Swing,K.K.-⁠swing,Свинг К. К.,Swing de Kéké,Tota-swing,K.K. Swing,Swing de Kéké,Tota-swing,けけスウィング,K.K.스윙,K.K.搖擺樂,K.K.摇摆乐
Music_02409,K.K. Jazz,K.K. Jazz,K.K. Jazz,K⁠.⁠K⁠.-⁠jazz,Джаз К. К.,Jazz de Kéké,Tota-jazz,K.K. Jazz,Jazz de Kéké,Tota-jazz,けけジャズ,K.K.재즈,K.K.爵士樂,K.K.爵士乐
Music_02410,K.K. Fusion,K.K. Fusion,K.K. Fusion,K⁠.⁠K⁠.-⁠fusion,Фьюжен К. К.,Fusion Kéké,Tota-fusión,K.K. Fusion,Fusion Kéké,Tota-fusión,けけフュージョン,K.K.퓨전,K.K.融合爵士樂,K.K.融合爵士乐
Music_02411,K.K. Etüde,K.K. Étude,K.K. Studio,K⁠.⁠K⁠.-⁠etude,Этюд К. К.,Étude de Kéké,Tota-solo,K.K. Étude,Étude de Kéké,Tota-solo,けけのエチュード,K.K.에튀드,K.K.練習曲,K.K.练习曲
Music_02412,K.K. Schlaflied,K.K. Lullaby,K.K. Ninnananna,K⁠.⁠K⁠.-⁠slaapliedje,Колыбельная К. К.,Berceuse de Kéké,Tota-nana,K.K. Lullaby,Berceuse de Kéké,Tota-arrullo,けけララバイ,K.K.자장가,K.K.搖籃曲,K.K.摇篮曲
Music_02413,K.K. Arie,K.K. Aria,K.K. Aria,K⁠.⁠K⁠.-⁠aria,Ария К. К.,Aria de Kéké,Tota-aria,K.K. Aria,Aria de Kéké,Tota-aria,けけマリア,K.K.마리아,K.K.詠嘆調,K.K.咏叹调
Music_02414,K.K. Samba,K.K. Samba,K.K. Samba,K⁠.⁠K⁠.-⁠samba,Самба К. К.,Samba de Kéké,Tota-samba,K.K. Samba,Samba de Kéké,Tota-samba,けけサンバ,K.K.삼바,K.K.森巴,K.K.桑巴
Music_02415,K.K. Bossa,K.K. Bossa,K.K. Bossa,K⁠.⁠K⁠.-⁠bossanova,Босанова К. К.,Bossa de Kéké,Tota-bossa nova,K.K. Bossa,Bossa de Kéké,Tota-bossa nova,けけボッサ,K.K.보사노바,K.K.巴薩諾瓦,K.K.巴萨诺瓦
Music_02416,K.K. Calypso,K.K. Calypso,K.K. Calipso,K⁠.⁠K⁠.-⁠calypso,Калипсо К. К.,Calypso de Kéké,Tota-calipso,K.K. Calypso,Calypso de Kéké,Tota-calipso,けけカリプソ,K.K.칼립소,K.K.卡利普索,K.K.卡利普索
Music_02417,K.K. Salsa,K.K. Salsa,K.K. Salsa,K⁠.⁠K⁠.-⁠salsa,Сальса К. К.,Salsa de Kéké,Tota-salsa,K.K. Salsa,Salsa de Kéké,Tota-salsa,けけサルサ,K.K.살사,K.K.騷莎,K.K.萨尔萨
Music_02418,K.K. Mambo,K.K. Mambo,K.K. Mambo,K⁠.⁠K⁠.-⁠mambo,Мамбо К. К.,Mambo de Kéké,Tota-mambo,K.K. Mambo,Mambo de Kéké,Tota-mambo,けけマンボ,K.K.맘보,K.K.曼波,K.K.曼波
Music_02419,K.K. Reggae,K.K. Reggae,K.K. Reggae,K⁠.⁠K⁠.-⁠reggae,Регги К. К.,Reggae de Kéké,Tota-reggae,K.K. Reggae,Reggae de Kéké,Tota-reggae,けけレゲエ,K.K.레게,K.K.雷鬼,K.K.雷鬼
Music_02420,K.K. Ska,K.K. Ska,K.K. Ska,K⁠.⁠K⁠.-⁠ska,Ска К. К.,Ska Kéké,Tota-ska,K.K. Ska,Ska Kéké,Tota-ska,けけスカ,K.K.스카,K.K.斯卡,K.K.斯卡
Music_02421,K.K. Tango,K.K. Tango,K.K. Tango,K⁠.⁠K⁠.-⁠tango,Танго К. К.,Tango de Kéké,Tota-tango,K.K. Tango,Tango de Kéké,Tota-tango,けけタンゴ,K.K.탱고,K.K.探戈,K.K.探戈
Music_02422,K.K. Jahrmarkt,K.K. Faire,K.K. Festa,K⁠.⁠K⁠.-⁠boerendans,Ярмарка К. К.,Virelai Kéké,Tota-romanza,K.K. Faire,Virelai Kéké,Tota-romanza,ハイサイけけ,혼저옵서예K.K.,沖繩K.K.,冲绳K.K.
Music_02423,K.K. Südseetraum,Aloha K.K.,K.K. Aloha,Aloha K.⁠K.,Алоха К. К.,Ukulélé Kéké,Tota-aloha,Aloha K.K.,Ukulélé Kéké,Tota-aloha,アロハけけ,알로하K.K.,夏威夷K.K.,夏威夷K.K.
Music_02424,K.K. Glückspilz,Lucky K.K.,K.K. Felicità,K.⁠K. de Kelt,Счастливчик К. К.,Kéké le verni,Tota-celta,Lucky K.K.,Kéké le veinard,Tota-celta,アイリッシュそんぐ,아일랜드의 노래,愛爾蘭樂曲,爱尔兰乐曲
Music_02425,K.K. Kondor,K.K. Condor,K.K. Condor,K.⁠K. bij de condors,Кондор К. К.,El Condor Kéké,Tota-andina,K.K. Condor,El Condor Kéké,Tota-andina,ペルーのうた,페루의 노래,秘魯之歌,秘鲁之歌
Music_02426,K.K. Steppensong,K.K. Steppe,K.K. Steppa,K.⁠K. op de steppe,Степь К. К.,Kéké balalaïka,Tota-estepa,K.K. Steppe,Kéké balalaïka,Tota-estepa,コサックそんぐ,까자크의 노래,哥薩克樂曲,哥萨克乐曲
Music_02427,Super-K.K.,Imperial K.K.,K.K. Imperiale,K.⁠K. de wijze meester,Величие К. К.,Kéké l'Empereur,Tota-imperio,Imperial K.K.,Kéké l'Empereur,Tota-imperio,けけチャイナ,K.K.차이나,K.K.中華,K.K.中华
Music_02428,K.K. Orientsong,K.K. Casbah,K.K. Assolo,K.⁠K. in de kasba,Крепость К. К.,Cheb Kéké,Tota-alcazaba,K.K. Casbah,Ali Kéké,Tota-alcazaba,トルコそんぐ,터키의 노래,土耳其樂曲,土耳其乐曲
Music_02429,K.K. Safari,K.K. Safari,K.K. Safari,K.⁠K. in de jungle,Сафари К. К.,Ali Farka Kéké,Tota-safari,K.K. Safari,Kéké safari,Tota-safari,けけアフロ,K.K.아프리카,K.K.非洲音樂,K.K.非洲音乐
Music_02430,K.K. Folk,K.K. Folk,K.K. Folk,K⁠.⁠K⁠.-⁠folk,Фолк К. К.,Folk Kéké,Tota-folk,K.K. Folk,Kéké folklorique,Tota-folk,けけみんよう,K.K.민요,K.K.民謠,K.K.民谣
Music_02431,K.K. Rock,K.K. Rock,K.K. Rock,K⁠.⁠K⁠.-⁠rock,Рок К. К.,Rock Kéké,Tota-rock,K.K. Rock,Rock Kéké,Tota-rock,けけロック,K.K.록,K.K.搖滾,K.K.摇滚
Music_02432,K.K. Rocksong,Rockin' K.K.,K.K. Spericolato,K⁠.⁠K⁠.-⁠rock-'⁠n-roll,К. К. в ударе,Bouge avec Kéké,Tota-total,Rockin' K.K.,Bouge avec Kéké,Tota-total,けけのロケンロール,K.K.로큰롤,K.K.50年代搖滾,K.K.50年代摇滚
Music_02433,K.K. Ragtime,K.K. Ragtime,K.K. Ritmo,K⁠.⁠K⁠.-⁠ragtime,Регтайм К. К.,Ragtime Kéké,Tota-ragtime,K.K. Ragtime,Ragtime Kéké,Tota-ragtime,ラグタイム,래그타임,拉格泰姆音樂,拉格泰姆音乐
Music_02434,K.K. Gumbo,K.K. Gumbo,K.K. Gumbo,K⁠.⁠K⁠.-⁠gumbo,Гамбо К. К.,Gumbo Kéké,Tota-gumbo,K.K. Gumbo,Gombo Kéké,Tota-gumbo,ニューオリンズそんぐ,딕시랜드 재즈,新奧爾良樂曲,新奥尔良乐曲
Music_02435,K. Funk,The K. Funk,K.K. Funk,K⁠.⁠K⁠.-⁠funk,Фанк К. К.,Le Kéké Funk,Tota-funk,The K. Funk,Le Kéké Funk,Tota-funk,けけファンク,K.K.펑키,K.K.放克,K.K.放克
Music_02436,K.K. Blues,K.K. Blues,K.K. Blues,K⁠.⁠K⁠.-⁠blues,Блюз К. К.,Kéké blues,Tota-blues,K.K. Blues,Kéké blues,Tota-blues,けけブルース,K.K.블루스,K.K.藍調,K.K.蓝调
Music_02437,K.K. mit Gefühl,Soulful K.K.,K.K. Anima,K⁠.⁠K⁠.-⁠soulblues,Соулфул К. К.,Kéké soul,Tota-lenta,Soulful K.K.,Kéké soul,Tota-lenta,けけゴスペル,K.K.가스펠,K.K.心靈音樂,K.K.心灵音乐
Music_02438,K.K. Soul,K.K. Soul,K.K. Soul,K⁠.⁠K⁠.-⁠soul,Соул К. К.,Soul de Kéké,Tota-soul,K.K. Soul,Soul de Kéké,Tota-soul,けけソウル,K.K.소울,K.K.靈魂樂,K.K.灵魂乐
