Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
009,Strickkleid,sweater dress,vestito di lana,sweaterjurk,вязаное платье,robe en laine,vestido de punto,sweater dress,robe en laine,vestido de lana,ニットワンピース,니트 원피스,針織連身裙,针织连身裙
010,Pulloverkleid,parka dress,vestito di felpa,hoodyjurk,платье-парка,robe à capuche,vestido sudadera,parka dress,robe à capuche,vestido sudadera,パーカーワンピ,파카 원피스,連帽連身裙,连帽连身裙
011,Jeanskleid,overall dress,vestito salopette,spijkerjurk,джинсовый сарафан,robe salopette,vestido de campo,overall dress,robe salopette,vestido de campo,ジャンパースカート,점퍼스커트,背心裙,背带裙
012,Trägerkleid,layered tank dress,vestito con bretelline,jurkje met T-⁠shirt,платье с футболкой,robe d'été avec t-⁠shirt,vestido de tirantes,layered tank dress,robe d'été avec t-⁠shirt,vestido sobre camiseta,レイヤーキャミワンピ,레이어드 캐미솔 원피스,兩件式細肩帶連身裙,两件式细肩带连身裙
020,Cheerleader-Uniform,cheerleading uniform,uniforme da cheerleader,cheerleadersoutfit,форма чирлидера,robe de pom-pom girl,uniforme de animadora,cheerleading uniform,robe de meneuse de claque,uniforme de animadora,チアのコスチューム,치어리더 옷,啦啦隊制服,啦啦队制服
024,Satinkleid,satin dress,vestito satinato,satijnen jurk,атласное платье,robe ballon en satin,vestido de satén,satin dress,robe ballon en satin,vestido de satén,サテンのワンピース,새틴 원피스,緞面連身裙,缎面连身裙
028,Tweedkleid,tweed dress,vestito di tweed,tweedjurk,твидовое платье,robe en tweed,vestido de tweed,tweed dress,robe en tweed,vestido de tweed,ツイードワンピース,트위드 원피스,斜紋軟呢連身裙,粗花呢连身裙
029,Frühlingskleid,gumdrop dress,vestito gommoso,lentejurk met stippen,весеннее платье в горох,robe bonbons,vestido esferas,gumdrop dress,robe bonbons,vestido esferas,はるのみずたまワンピース,봄 물방울무늬 원피스,春天圓點連身裙,春天圆点连身裙
030,Ananas-Strandkleid,tropical muumuu,vestito tropicale,ananas-mu⁠ʻ⁠umu⁠ʻ⁠u,тропическое муу-муу,muumuu tropical,vestido aloha piñas,tropical muumuu,muumuu tropical,vestido aloha piñas,パインがらムームー,파인애플 원피스,鳳梨圖案夏威夷連身裙,凤梨图案夏威夷连身裙
031,Sonntagskleid,academy uniform,vestito da istitutrice,kostschooluniform,школьная форма,tenue académique,vestido serio,academy uniform,tenue académique,vestido serio,よそいきなふく,나들이 원피스,端莊洋裝,端庄洋装
032,Vintage-Kleid,retro dress,vestito vintage,retrojurk met ceintuur,платье-ретро,robe droite rétro,vestido retro sin mangas,retro dress,robe droite rétro,vestido retro sin mangas,レトロボックスワンピース,복고풍 박스 원피스,復古直筒連身裙,复古直筒连身裙
038,Wohlfühlkleid,dazed dress,vestito a quadri,ruitenjurk,платье с ромбами,robe losange,vestido rombos,dazed dress,robe losange,vestido rombos,ゆめいろこうしワンピース,꿈색 체크무늬 원피스,夢幻色系格子連身裙,梦幻色系格子连身裙
039,Adrett-Kleid,prim outfit,completo sobrio,keurige outfit,аккуратный костюм,ensemble soigné,vestido recatado,prim outfit,ensemble soigné,vestido recatado,せいそなアンサンブル,청순한 원피스,氣質套裝,气质套装
041,Tupfen-Kleid,belted dotted dress,vestito a pois con cintura,stippeljurk met ceintuur,платье в горошек на поясе,robe cintrée à pois,vestido lunares y cinturón,belted dotted dress,robe cintrée à pois,vestido a lunares y cinturón,ベルトつきみずたまワンピース,물방울 벨트 원피스,圓點腰帶連身裙,附腰带圆点连身裙
045,Blütenkleid,blossom dress,vestito floreale,gebloemde jurk,платье в цветочек,robe d'été fleurie,vestido florido,blossom dress,robe d'été fleurie,vestido florido,はながらワンピース,꽃무늬 원피스,花紋連身裙,花朵连身裙
046,Niedlich-Kleid,lace-up dress,vestito bambolina,jurk met strikken,платье с корсетом,robe à rubans,vestido muñequita,lace-up dress,robe à rubans,vestido muñequita,ロリータなワンピース,리본 레이스 원피스,蘿莉塔連身裙,洛丽塔连身裙
049,Pepita-Kleid,plover dress,vestito pied de poule,pied-de-poulejurk,платье «Гусиная лапка»,robe pied-de-coq,vestido pata de gallo,plover dress,robe pied-de-coq,vestido pata de gallo,ちどりごうしワンピース,하운드투스 원피스,千鳥格紋連身裙,千鸟格纹连身裙
050,Abendkleid,fancy party dress,vestito da cocktail,chique feestjurk,вечернее платье,robe de soirée,vestido de fiesta,fancy party dress,robe de soirée,vestido de fiesta,パーティーワンピ,파티 원피스,派對連身裙,派对连身裙
051,80er-Businesskostüm,rad power skirt suit,vestito sci-fi anni '80,stoer mantelpak,деловой костюм с юбкой,tenue de femme d'affaires,uniforme ci-fi retro,rad power skirt suit,tenue de femme d'affaires,uniforme ci-fi retro,バブリーなセットアップ,버튼 재킷 세트 정장,奢華套裝,奢华套装
052,Festtagskleid,festive dress,vestito festivo,kerstvrouwjurk,праздничное платье,robe de mère Noël,vestido festivo,festive dress,robe de mère Noël,vestido festivo,クリスマスなドレス,크리스마스 드레스,聖誕洋裝,圣诞洋装
053,Märchenkleid,fairy-tale dress,vestito fiabesco,sprookjesjurk,сказочное платьице,robe féerique,vestido de cuento,fairy-tale dress,robe féérique,vestido de cuento,メルヘンなドレス,메르헨 드레스,童話風洋裝,童话风洋装
054,Magdkleid,maid dress,vestito da domestica,dienstmeisjesuniform,платье горничной,robe de servante,vestido doncella,maid dress,robe de servante,vestido doncella,メイドのふく,메이드 옷,女僕裝,女仆装
058,Dineruniform,diner uniform,uniforme bar anni '50,serveerstersjurk,униформа официантки,robe de serveuse années 50,uniforme café años 50,diner uniform,robe de serveuse années 50,uniforme café años 50,ダイナーのユニフォーム,다이너 유니폼,餐館制服,餐厅制服
061,Hasenkleid,bunny dress,vestito da coniglio,konijnenjurk,платье зайки,robe lapin,vestido de conejito,bunny dress,robe lapin,vestido de conejito,ウサギなふく,토끼 의상,兔子服,兔子服
063,Heldinnenkleid,noble zap suit,costume da eroina nobile,superjurk,платье героини,tenue d'héroïne,supervestido,noble zap suit,tenue d'héroïne,supervestido,ヒロインスーツ,히어로 슈트 P,女英雄裝,女英雄装
065,Bademantel,bathrobe,accappatoio,badjas,купальный халат,peignoir,albornoz,bathrobe,peignoir,bata de baño,バスローブ,목욕 가운,浴袍,浴袍
066,Ballett-Trägerkleid,ballet outfit,tutù,balletkostuum,балетное платье,robe d'été ballet,vestido ballet,ballet outfit,tenue de ballet,vestido ballet,バレエのいしょう,발레 의상,芭蕾舞衣,芭蕾舞衣
067,Katzenkleid,cat dress,vestito gatto,kattenjurk,платье кошки,robe chat,vestido gato,cat dress,robe chat,vestido gato,ネコなふく,고양이 의상,貓咪服,猫咪服
068,Alpenkleid,alpinist dress,vestito tirolese,tirolerjurk,тирольское платье,robe tyrolienne,vestido tirolés,alpinist dress,robe tyrolienne,vestido tirolés,チロリアンなドレス,알프스풍 원피스,提洛爾洋裝,提洛尔洋装
069,Baumschmuck-Kleid,festive-tree dress,scamiciato addobbato,feestboomjurk,платье «Елка»,robe d'été sapin,vestido abeto,festive-tree dress,robe d'été sapin,vestido abeto,もみのきワンピース,크리스마스트리 원피스,聖誕樹連身裙,圣诞树连身裙
089,Steinzeit-Kluft,caveman tank,canotta sapiens,primitieve jurk,роба пещерного человека,tunique caverne,top cavernícola,caveman tank,tunique caverne,top cavernícola,げんしじんなふく,원시인 옷,原始人服,原始人装
1004,Blümchenkleid,flower-print dress,vestito con fiore,jurkje met bloemopdruk,платье с цветком,robe marguerite,vestido margarita,flower-print dress,robe marguerite,vestido margarita,フラワーなワンピース,플라워 원피스,花朵連身裙,大花朵图案连身裙
1016,Buntpünktchenkleid,marble-dots dress,vestito a pois colorati,discostippeljurk,платье в цветной горох,robe à pois arlequin,vestido topos multicolor,marble-dots dress,robe à pois arlequin,vestido a lunares multicolor,マーブルドットのワンピース,마블 도트 원피스,圓點點連身裙,彩色波点连身裙
1017,Unipünktchenkleid,simple-dots dress,vestito a pois semplici,jurk met stippen,платье в горох,robe à pois simples,vestido topos,simple-dots dress,robe à pois simples,vestido a lunares,シンプルドットワンピース,심플 도트 원피스,簡約點點連身裙,简约波点连身裙
1018,Hibiskus-Strandkleid,hibiscus muumuu,vestito hawaiano ibisco,hibiscus-mu⁠ʻ⁠umu⁠ʻ⁠u,муу-муу с гибискусами,muumuu hibiscus,vestido hawaiano hibiscos,hibiscus muumuu,muumuu hibiscus,vestido hawaiano hibiscos,ハイビスカスのムームー,히비스커스 원피스,扶桑花夏威夷連身裙,扶桑花夏威夷连身裙
