Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Turnip_02632,10 Rüben,10 turnips,mazzo di 10 rape,10 knollen,10 реп,lot de 10 navets,manojo 10 nabos,10 turnips,lot de 10 navets,manojo 10 nabos,10カブ,10무,10棵,10棵大头菜
Turnip_02633,20 Rüben,20 turnips,mazzo di 20 rape,20 knollen,20 реп,lot de 20 navets,manojo 20 nabos,20 turnips,lot de 20 navets,manojo 20 nabos,20カブ,20무,20棵,20棵大头菜
Turnip_02634,30 Rüben,30 turnips,mazzo di 30 rape,30 knollen,30 реп,lot de 30 navets,manojo 30 nabos,30 turnips,lot de 30 navets,manojo 30 nabos,30カブ,30무,30棵,30棵大头菜
Turnip_02635,40 Rüben,40 turnips,mazzo di 40 rape,40 knollen,40 реп,lot de 40 navets,manojo 40 nabos,40 turnips,lot de 40 navets,manojo 40 nabos,40カブ,40무,40棵,40棵大头菜
Turnip_02636,50 Rüben,50 turnips,mazzo di 50 rape,50 knollen,50 реп,lot de 50 navets,manojo 50 nabos,50 turnips,lot de 50 navets,manojo 50 nabos,50カブ,50무,50棵,50棵大头菜
Turnip_02637,60 Rüben,60 turnips,mazzo di 60 rape,60 knollen,60 реп,lot de 60 navets,manojo 60 nabos,60 turnips,lot de 60 navets,manojo 60 nabos,60カブ,60무,60棵,60棵大头菜
Turnip_02638,70 Rüben,70 turnips,mazzo di 70 rape,70 knollen,70 реп,lot de 70 navets,manojo 70 nabos,70 turnips,lot de 70 navets,manojo 70 nabos,70カブ,70무,70棵,70棵大头菜
Turnip_02639,80 Rüben,80 turnips,mazzo di 80 rape,80 knollen,80 реп,lot de 80 navets,manojo 80 nabos,80 turnips,lot de 80 navets,manojo 80 nabos,80カブ,80무,80棵,80棵大头菜
Turnip_02640,90 Rüben,90 turnips,mazzo di 90 rape,90 knollen,90 реп,lot de 90 navets,manojo 90 nabos,90 turnips,lot de 90 navets,manojo 90 nabos,90カブ,90무,90棵,90棵大头菜
Turnip_02641,100 Rüben,100 turnips,mazzo di 100 rape,100 knollen,100 реп,lot de 100 navets,manojo 100 nabos,100 turnips,lot de 100 navets,manojo 100 nabos,100カブ,100무,100棵,100棵大头菜
TurnipExpired_02642,Rüben (verdorben),spoiled turnips,mazzo di rape marce,bedorven knollen,гнилые репы,lot de navets pourris,manojo pasado,spoiled turnips,lot de navets pourris,manojo pasado,くさったカブ,썩은 무,壞掉的大頭菜,坏掉的大头菜
