Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
00000,Standardfassade,common exterior,esterno comune,beige-wit simpel vakwerk,простой фасад,façade ordinaire,fachada clásica,common exterior,façade à poutres,fachada clásica,よくあるかべ,평범한 외벽,常見牆,常见墙
00005,Standardfassade mit Rot,red-trim common exterior,esterno comune rosso,rood-wit simpel vakwerk,фасад с красным кантом,façade à poutres rouges,fachada clásica roja,red-trim common exterior,façade à poutres rouges,fachada clásica roja,あかいわくのよくあるかべ,빨간 틀 평범한 외벽,紅色框常見牆,红色框常见墙
00006,Standardfassade mit Blau,blue-trim common exterior,esterno comune blu,groen-geel simpel vakwerk,фасад с синим кантом,façade à poutres bleues,fachada clásica azul,blue-trim common exterior,façade à poutres bleues,fachada clásica azul,あおいわくのよくあるかべ,파란 틀 평범한 외벽,藍色框常見牆,蓝色框常见墙
00009,Fachwerkfassade,chalet exterior,esterno chalet,zwart-wit vakwerk,фасад шале,façade chaumière,fachada chalé,chalet exterior,façade chaumière,fachada chalet,きわくのかべ,나이테 외벽,木框牆,木框墙
00010,Hellgrau-Granitfassade,light-gray cobblestones,esterno pietra grigio chiaro,lichtgrijs metselwerk,светло-серые камни,façade à pierres gris clair,fachada adoquines gris,light-gray cobblestones,façade à pierres gris clair,fachada adoquines gris,ライトグレーのいしかべ,연회색 돌 외벽,淺灰色石牆,浅灰色石墙
00013,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ
00014,Mattgelb-Fassade,cream panel siding,esterno a pannelli panna,roomwit paneelwerk,кремовые панели,façade en lambris ivoire,panelado crema,cream panel siding,façade en lambris ivoire,panelado crema,アイボリーのいたかべ,아이보리색 판자 외벽,象牙色木板牆,象牙色木板墙
00015,Einfach-Rotziegel,simple red-brick trim,est. finitura in mattoni rossi,rode baksteenrand,отделка из красн. кирпича,façade à briques rouges,fachada pilar ladrillo rojo,simple red-brick trim,façade à briques rouges,fachada pilar ladrillo rojo,あかレンガつきシンプルかべ,빨간 벽돌 테두리 심플한 외벽,紅色磚塊簡約牆,红色砖块简约墙
00016,Orange-Lehmfassade,orange stucco exterior,esterno di stucco arancione,oranje pleisterwerk,оранжевая штукатурка,façade en stuc orange,fachada estuco naranja,orange stucco exterior,façade en stuc orange,fachada estuco naranja,オレンジのしっくいかべ,오렌지색 석회 외벽,橘色灰泥牆,橘色灰泥墙
00017,Natur-Fassade,natural panel siding,esterno a pannelli naturale,naturel paneelwerk,натуральные панели,façade en lambris naturel,panelado natural,natural panel siding,façade en lambris naturel,panelado natural,ナチュラルないたかべ,내추럴 판자 외벽,自然風木板牆,自然风木板墙
00019,Weiß-Lehmfassade,white stucco exterior,esterno di stucco bianco,wit pleisterwerk,фасад с белой отделкой,façade en stuc blanc,fachada estuco blanca,white stucco exterior,façade en stuc blanc,fachada estuco blanca,しろいしっくいぬりのかべ,하얀색 석회 외벽,白色灰泥塗牆,白色灰泥墙
00020,Braun-Fachwerkfassade,brown chalet exterior,esterno chalet marrone,beige vakwerk,коричневый фасад шале,façade chaumière marron,fachada chalé marrón,brown chalet exterior,façade chalet bois brun,fachada chalet marrón,ちゃいろいきわくのかべ,갈색 나이테 외벽,茶色木框牆,茶色木框墙
00021,Rot-Fachwerkfassade,red chalet exterior,esterno chalet rosso,rood-wit vakwerk,красный фасад шале,façade chaumière rouge,fachada chalé roja,red chalet exterior,façade chalet bois rouge,fachada chalet roja,あかいきわくのかべ,빨간색 나이테 외벽,紅色木框牆,红色框木框墙
00022,Hellblau-Fachwerkfassade,light-blue chalet exterior,esterno chalet blu chiaro,wit-blauw vakwerk,голубой фасад шале,façade chaumière bleu clair,fachada chalé celeste,light-blue chalet exterior,façade chalet bleu pâle,fachada chalet celeste,みずいろのきわくのかべ,하늘색 나이테 외벽,水藍色木框牆,水蓝色木框墙
00023,Gelb-Fachwerkfassade,yellow chalet exterior,esterno chalet giallo,zwart-geel vakwerk,желтый фасад шале,façade chaumière jaune,fachada chalé ocre,yellow chalet exterior,façade chalet jaune,fachada chalet ocre,きいろいきわくのかべ,노란색 나이테 외벽,黃色木框牆,黄色木框墙
00024,Weiß-Lehmfassade,white stucco exterior,esterno di stucco bianco,wit pleisterwerk,белая штукатурка,façade en stuc blanc,fachada estuco blanca,white stucco exterior,façade en stuc blanc,fachada estuco blanca,しろのしっくいかべ,하얀색 석회 외벽,白色灰泥牆,白色灰泥墙
00025,Natur-Stammfassade,natural log exterior,esterno di tronchi naturale,naturelle blokhut,натуральные бревна,façade en bûches brune,fachada troncos natural,natural log exterior,façade en bûches brune,fachada troncos natural,ちゃいろいまるたのかべ,갈색 통나무 외벽,茶色圓木牆,茶色圆木墙
00026,Weiß-Granitfassade,white cobblestones,esterno in pietra bianco,wit metselwerk,белые камни,façade à pierres blanche,fachada adoquines blanca,white cobblestones,façade à pierres blanche,fachada adoquines blanca,しろのいしかべ,하얀색 돌 외벽,白色石牆,白色石墙
00027,Natur-Fernostfassade,natural zen exterior,est. giapponese naturale,naturelle zengevel,натуральный дзен-фасад,façade japonaise naturelle,fachada oriental natural,natural zen exterior,façade zen naturelle,fachada oriental natural,ナチュラルなわふうのかべ,내추럴한 일본풍 외벽,自然和風牆,自然和风墙
00028,Weiß-Rot-Asia-Fassade,white & red Asian siding,est. esotico bianco e rosso,rood-witte Aziëgevel,бел.-крас. азиатск. фасад,façade Asie blanc & rouge,panel Asia blanco y rojo,white & red Asian siding,façade Asie blanc et rouge,panel Asia blanco y rojo,ホワイト×レッドのアジアなかべ,화이트×레드 아시아 외벽,白色×紅色中式牆,白色×红色中式墙
00029,Teebraun-Fassade,tan panel siding,esterno a pannelli kaki,geelbruin paneelwerk,желто-коричнев. панели,façade en lambris brun clair,panelado tostado,tan panel siding,façade lambris brun clair,panelado tostado,うすちゃのいたかべ,연갈색 판자 외벽,淡茶色木板牆,淡茶色木板墙
00032,Weiß-Lehmfassade,white stucco exterior,esterno di stucco bianco,wit pleisterwerk,белая штукатурка,façade en stuc blanc,fachada estuco blanca,white stucco exterior,façade en stuc blanc,fachada estuco blanca,しろのしっくいかべ,하얀색 석회 외벽,白色灰泥牆,白色灰泥墙
00033,Gelb-Putzfassade,yellow clay exterior,esterno di argilla giallo,gele leemgevel,желтый фасад из глины,façade en argile jaune,fachada arcilla ocre,yellow clay exterior,façade en argile jaune,fachada arcilla ocre,きいろのつちかべ,노란색 흙 외벽,黃色土牆,黄色土墙
00034,Natur-Zierfassade,natural woodwork,esterno lavorato naturale,naturel houtwerk,натуральная хижина,façade boisée brune,moldura natural,natural woodwork,façade boisée brune,moldura natural,ちゃいろのくみきかべ,갈색 목조 외벽,茶色結構牆,茶色结构墙
00035,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ
00037,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ,よくあるかべ
00042,Hellgrau-Lehmfassade,light-gray stucco exterior,esterno stucco grigio chiaro,lichtgrijs pleisterwerk,светло-серая штукатурка,façade en stuc gris clair,fachada estuco ceniza,light-gray stucco exterior,façade en stuc gris clair,fachada estuco ceniza,ライトグレーのしっくいかべ,연회색 석회 외벽,淺灰色灰泥牆,浅灰色灰泥墙
00043,Rosa-Lehmfassade,pink stucco exterior,esterno di stucco rosa,roze pleisterwerk,розовая штукатурка,façade en stuc rose,fachada estuco rosa,pink stucco exterior,façade en stuc rose,fachada estuco rosa,ピンクのしっくいかべ,핑크색 석회 외벽,粉紅色灰泥牆,粉红色灰泥墙
00044,Gelb-Lehmfassade,yellow stucco exterior,esterno di stucco giallo,geel pleisterwerk,желтая штукатурка,façade en stuc jaune,fachada estuco ocre,yellow stucco exterior,façade en stuc jaune,fachada estuco ocre,きいろのしっくいかべ,노란색 석회 외벽,黃色灰泥牆,黄色灰泥墙
00045,Blau-Lehmfassade,blue stucco exterior,esterno di stucco blu,blauw pleisterwerk,синяя штукатурка,façade en stuc bleu,fachada estuco azul,blue stucco exterior,façade en stuc bleu,fachada estuco azul,ブルーのしっくいかべ,파란색 석회 외벽,藍色灰泥牆,蓝色灰泥墙
