Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
1000,Grasgeflecht-Rucksack,knitted-grass backpack,zaino di maglia,rugzak van geweven gras,плетеный рюкзак,sac à dos végétal tressé,mochila de mimbre,knitted-grass backpack,sac à dos végétal tressé,mochila de mimbre,くさあみリュック,풀잎 니트 배낭,草編後背包,草编双肩包
1001,Hartschalenrucksack,hard-shell backpack,zaino a guscio,harde rugzak,твердый рюкзак,sac à dos rigide,mochila rígida,hard-shell backpack,sac à dos rigide,mochila rígida,ハードシェルリュック,하드 케이스 배낭,硬殼後背包,硬壳双肩包
1150,Nook-Inc.-Beutel,Nook Inc. knapsack,sacca Nook Inc.,Nook Inc.-rugzak,рюкзак Nook Inc.,sac à dos Nook Inc.,mochila saco de Nook Inc.,Nook Inc. knapsack,sac à dos Nook Inc.,mochila de Nook Inc.,たぬきかいはつナップサック,Nook Inc. 주머니 가방,Nook Inc.束口後背包,Nook Inc.束口双肩包
1185,DAL-Rucksack,DAL backpack,zaino DAL,DAL-rugzak,рюкзак DAL,sac à dos Dodo Airlines,mochila de DAL,DAL backpack,sac à dos Dodo Airlines,mochila de DAL,ＤＡＬのバッグ,DAL 가방,DAL包包,DAL包包
1203,Häschentag-Rucksack,Bunny Day bag,zaino caccia all'uovo,eiertas,сумка на День зайцев,sac fête des œufs,mochila Caza del Huevo,Bunny Day bag,sac fête des œufs,mochila Caza del Huevo,イースターなバッグ,이스터 가방,復活節包包,复活节包包
1233,Traubenlese-Korb,grape-harvest basket,canestro da vendemmia,druivenoogstmand,кузовок для винограда,hotte à raisin,mochila vendimia,grape-harvest basket,panier à raisin,mochila vendimia,ぶどうのしゅうかくおけ,포도 수확 바구니,葡萄採收桶,葡萄采收桶
1238,Bärchenrucksack,bear backpack,zaino orso,berenrugzak,рюкзак-медведь,sac à dos ours,mochila osito,bear backpack,sac à dos ours,mochila osito,くまのリュック,곰돌이 배낭,熊熊後背包,熊熊双肩包
1268,Dämonenflügelpaar,impish wings,paio di ali da diavoletto,duivelse vleugelrugzak,крылышки бесенка,paire d'ailes de diablotin,par de alas de diablillo,impish wings,paire d'ailes de diablotin,par de alas de diablito,こあくまなつばさバッグ,꼬마 악마 날개 가방,小惡魔翅膀包包,小恶魔翅膀背包
1358,Rankengeflecht-Pochette,woven-vine pochette,pochette edera intrecciata,tasje van gevlochten ranken,плетеная сумочка из лозы,pochette vigne tressée,bolsito enredadera,woven-vine pochette,pochette vigne tressée,bolsito enredadera,ツルざいくのポシェット,덩굴 미니백,藤蔓編織側背包,藤蔓编织斜挎包
1362,Abschlussball-Schärpe,prom sash,fascia ballo scolastico,galasjerp,перевязь к выпускному,écharpe bal de promo,banda baile de fin de curso,prom sash,écharpe bal des finissants,banda baile de fin de curso,プロムなたすき,프롬 어깨띠,畢業舞會綬帶,毕业舞会绶带
1395,Schulranzen,randoseru,zaino da scuola randoseru,randoseru,ранец рандосэру,randoseru,mochila escolar randoseru,randoseru,randoseru,mochila escolar randoseru,ランドセル,네모난 책가방,日式小學生書包,日式小学生书包
1396,Schultasche,schoolbag,zaino da scuola,schooltas,школьный ранец,sac d'école,cartera escolar,schoolbag,sac d'école,bolsa escolar,スクールリュック,스쿨 배낭,學校後背包,学校双肩包
1410,Liefertasche,delivery bag,zaino da consegne,bezorgtas,термосумка,sac de livraison,mochila reparto de comida,delivery bag,sac de livraison,mochila reparto de comida,デリバリーバッグ,배달 가방,外送袋,外送袋
1425,Nook-Inc.-Pochette,Nook Inc. pochette,pochette Nook Inc.,Nook Inc.-tasje,сумочка Nook Inc.,pochette Nook Inc.,bolsito Nook Inc.,Nook Inc. pochette,pochette Nook Inc.,bolsito Nook Inc.,たぬきかいはつポシェット,Nook Inc. 미니백,Nook Inc.側背包,Nook Inc.斜挎包
1455,Botanikmustertasche,botanical-print backpack,zaino a stampa botanica,rugzak met bloemenprint,рюкзак с растит. принтом,sac à dos jardin botanique,mochila jardín botánico,botanical-print backpack,sac à dos jardin botanique,mochila jardín botánico,ボタニカルなタウンリュック,보태니컬 타운 배낭,植物圖案後背包,植物图案双肩包
1456,Schnallentasche,clasp purse,borsa a scatto,knipbeurs,ридикюль,sac à fermoir,bolsito broche,clasp purse,sac à fermoir,bolsito broche,がまぐちポシェット,똑딱이 미니백,口金側背包,口金斜挎包
1457,Instrumentenkoffer,instrument case,custodia per strumento,instrumentenkoffer,футляр для инструмента,étui d'instrument,estuche para instrumento,instrument case,étui d'instrument,estuche para instrumento,がっきケース,악기 케이스,樂器箱,乐器箱
1458,Umhängeschwert,sword in scabbard,spada nel fodero,zwaard in rugschede,меч в ножнах,épée rengainée,vaina con espada,sword in scabbard,épée rengainée,vaina con espada,ソードホルダー,검집,劍套,剑套
1469,Quadrat-Umhängetasche,square shoulder bag,borsa quadrata a bandoliera,rechte schoudertas,квадратн. плечевая сумка,sac à bandoulière carré,bolso bandolera cuadrado,square shoulder bag,sac à bandoulière carré,bolso bandolera cuadrado,スクエアショルダーバッグ,스퀘어 숄더백,方形肩背包,方形单肩包
1470,Raketenrucksack,jet pack,jet pack,raketrugzak,реактивный ранец,jet pack,mochila propulsora,jet pack,jet pack,mochila propulsora,ジェットパック,제트 팩,噴射背包,喷射背包
1471,Schulmappe,satchel,cartella,ruitertas,портфель,cartable,cartera mochila,satchel,cartable,mochila portafolio,サッチェルバッグ,새철 백,皮革書包,皮革书包
1472,Fantasie-Pochette,dreamy pochette,pochette da sogno,dromerig tasje,сумочка из грез,pochette joli rêve,bolsito ensueño,dreamy pochette,pochette joli rêve,bolsito ensueño,ゆめかわなポシェット,드림 큐트 미니백,夢幻可愛側背包,梦幻可爱斜挎包
1473,Pandarucksack,panda backpack,zaino panda,pandarugzak,рюкзак-панда,sac à dos panda,mochila panda,panda backpack,sac à dos panda,mochila panda,パンダのリュック,팬더 배낭,熊貓後背包,熊猫双肩包
1477,Leopardenmusterrucksack,leopard-print backpack,zaino a stampa leopardata,rugzak met luipaardprint,леопардовый рюкзак,sac à dos léopard,mochila leopardo,leopard-print backpack,sac à dos motif léopard,mochila leopardo,ヒョウがらタウンリュック,표범 무늬 타운 배낭,豹紋都市後背包,豹纹都市双肩包
1478,Zebramusterrucksack,zebra-print backpack,zaino a stampa zebrata,rugzak met zebraprint,зебровый рюкзак,sac à dos zèbre,mochila cebra,zebra-print backpack,sac à dos motif zèbre,mochila cebra,ゼブラなタウンリュック,얼룩말 무늬 타운 배낭,斑馬紋都市後背包,斑马纹都市双肩包
