Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
00000,Rot-Ziegeldach,red tile roof,tetto di tegole rosse,rood pannendak,красная черепичн. крыша,toit en tuiles rouges,tejado pizarra rojo,red tile roof,toit en tuiles rouges,tejado pizarra rojo,あかいかわらやね,빨간색 기와지붕,紅色瓦片屋頂,红色瓦屋顶
00003,Rosa-Ziegeldach,pink tile roof,tetto di tegole rosa,roze pannendak,розовая черепичн. крыша,toit en tuiles roses,tejado pizarra rosa,pink tile roof,toit en tuiles roses,tejado pizarra rosa,ピンクのかわらやね,핑크색 기와지붕,粉紅色瓦片屋頂,粉红色瓦屋顶
00006,Goldbraun-Reetdach,golden-brown thatch roof,tetto di paglia brunita,goudbruin rieten dak,золотист. соломен. крыша,toit de chaume jaune doré,tejado paja dorado,golden-brown thatch roof,toit de chaume jaune doré,tejado paja dorado,きつねいろのかやぶきやね,연갈색 초가지붕,黃褐色茅草屋頂,浅棕色茅草屋顶
00007,Grau-Steindach,gray stone roof,tetto di pietra grigia,grijs stenen dak,серая каменная крыша,toit en pierre grise,tejado piedra gris,gray stone roof,toit en pierre grise,tejado piedra gris,グレーのいしやね,회색 돌 지붕,灰色石屋頂,灰色石屋顶
00008,Orange-Rundziegeldach,orange curved shingles,tetto di coppi arancioni,oranje dakspanen,оранж. желобч. черепица,toit en tuiles canal orange,tejado teja naranja,orange curved shingles,toit en tuiles canal orange,tejado teja naranja,オレンジのようがわらやね,오렌지색 서양식 기와지붕,橘色洋瓦屋頂,橘色洋瓦屋顶
00010,Rot-Schlichtdach,red simple roof,tetto semplice rosso,eenvoudig rood dak,красная простая крыша,toit ordinaire rouge,tejado sencillo rojo,red simple roof,toit ordinaire rouge,tejado sencillo rojo,あかいシンプルやね,빨간색 심플 지붕,紅色簡約屋頂,红色简约屋顶
00011,Rosa-Schlichtdach,pink simple roof,tetto semplice rosa,eenvoudig roze dak,розовая простая крыша,toit ordinaire rose,tejado sencillo rosa,pink simple roof,toit ordinaire rose,tejado sencillo rosa,ピンクのシンプルやね,핑크색 심플 지붕,粉紅色簡約屋頂,粉红色简约屋顶
00012,Gelb-Schlichtdach,yellow simple roof,tetto semplice giallo,eenvoudig geel dak,желтая простая крыша,toit ordinaire jaune,tejado sencillo ocre,yellow simple roof,toit ordinaire jaune,tejado sencillo ocre,きいろいシンプルやね,노란색 심플 지붕,黃色簡約屋頂,黄色简约屋顶
00013,Grün-Schlichtdach,green simple roof,tetto semplice verde,eenvoudig groen dak,зеленая простая крыша,toit ordinaire vert,tejado sencillo verde,green simple roof,toit ordinaire vert,tejado sencillo verde,みどりのシンプルやね,초록색 심플 지붕,綠色簡約屋頂,绿色简约屋顶
00014,Türkis-Schlichtdach,aqua simple roof,tetto semplice turchese,eenvoudig lichtblauw dak,аквамарин. простая крыша,toit ordinaire turquoise,tejado sencillo celeste,aqua simple roof,toit ordinaire turquoise,tejado sencillo celeste,みずいろのシンプルやね,하늘색 심플 지붕,水藍色簡約屋頂,水蓝色简约屋顶
00015,Blau-Schlichtdach,blue simple roof,tetto semplice blu,eenvoudig blauw dak,синяя простая крыша,toit ordinaire bleu,tejado sencillo azul,blue simple roof,toit ordinaire bleu,tejado sencillo azul,あおいシンプルやね,파란색 심플 지붕,藍色簡約屋頂,蓝色简约屋顶
00016,Lila-Schlichtdach,purple simple roof,tetto semplice viola,eenvoudig paars dak,фиолетов. простая крыша,toit ordinaire violet,tejado sencillo lila,purple simple roof,toit ordinaire mauve,tejado sencillo lila,むらさきのシンプルやね,보라색 심플 지붕,紫色簡約屋頂,紫色简约屋顶
00017,Schwarz-Schlichtdach,black simple roof,tetto semplice nero,eenvoudig zwart dak,черная простая крыша,toit ordinaire noir,tejado sencillo negro,black simple roof,toit ordinaire noir,tejado sencillo negro,くろいシンプルやね,검은색 심플 지붕,黑色簡約屋頂,黑色简约屋顶
00019,Blau-Schieferdach,blue slate roof,tetto di ardesia blu,blauw leiendak,синяя крыша из сланца,toit en ardoise bleue,tejado teja plana azul,blue slate roof,toit en ardoise bleue,tejado teja plana azul,あおいボーダーやね,파란색 가로줄 지붕,藍色粗橫紋屋頂,蓝色粗横纹屋顶
00020,Blau-Streifendach,blue striped roof,tetto a righe blu,blauw stalen dak,синяя фальцевая крыша,toit nervuré bleu,tejado bandas azul,blue striped roof,toit nervuré bleu,tejado bandas azul,あおいストライプやね,파란색 세로줄 지붕,藍色條紋屋頂,蓝色条纹屋顶
00021,Orange-Ziegeldach,orange tile roof,tetto di tegole arancioni,oranje pannendak,оранжев. черепичн. крыша,toit en tuiles orange,tejado pizarra naranja,orange tile roof,toit en tuiles orange,tejado pizarra naranja,オレンジのかわらやね,오렌지색 기와지붕,橘色瓦片屋頂,橘色瓦屋顶
00022,Grün-Schieferdach,green slate roof,tetto di ardesia verde,groen leiendak,зеленая крыша из сланца,toit en ardoise verte,tejado teja plana verde,green slate roof,toit en ardoise verte,tejado teja plana verde,みどりのボーダーやね,초록색 가로줄 지붕,綠色粗橫紋屋頂,绿色粗横纹屋顶
00023,Braun-Reetdach,brown thatch roof,tetto di paglia marrone,bruin rieten dak,коричнев. соломен. крыша,toit de chaume brun,tejado paja pardo,brown thatch roof,toit de chaume brun,tejado paja pardo,ちゃいろのかやぶきやね,갈색 초가지붕,茶色茅草屋頂,茶色茅草屋顶
00024,Orange-Reetdach,orange thatch roof,tetto di paglia arancione,oranje rieten dak,оранжевая солом. крыша,toit de chaume orange,tejado paja naranja,orange thatch roof,toit de chaume orange,tejado paja naranja,オレンジのかやぶきやね,주황색 초가지붕,橘色茅草屋頂,橘色茅草屋顶
00025,Gelb-Reetdach,fresh-grass thatch roof,tetto di paglia fresca,rieten dak,крыша из свежей травы,toit de chaume frais,tejado paja recién cortada,fresh-grass thatch roof,toit de chaume jaune pâle,tejado paja recién cortada,わかくさいろのかやぶきやね,연두색 초가지붕,嫩黃色茅草屋頂,浅黄色茅草屋顶
00026,Grau-Reetdach,gray thatch roof,tetto di paglia grigia,grijs rieten dak,серая соломенная крыша,toit de chaume gris,tejado paja gris,gray thatch roof,toit de chaume gris,tejado paja gris,はいいろのかやぶきやね,회색 초가지붕,灰色茅草屋頂,灰色茅草屋顶
00027,Gelb-Märchendach,yellow wooden-tile roof,tetto a squame giallo,geel houten leiendak,желтая крыша из лемеха,toit en écailles jaune,tejado teja curva ocre,yellow wooden-tile roof,toit en écailles jaune,tejado teja curva ocre,きいろのうろこやね,노란색 비늘무늬 지붕,黃色魚鱗瓦屋頂,黄色鱼鳞瓦屋顶
00028,Gelb-Reetdach,yellow thatch roof,tetto di paglia gialla,geel rieten dak,желтая соломен. крыша,toit de chaume jaune,tejado paja ocre,yellow thatch roof,toit de chaume jaune,tejado paja ocre,きいろいかやぶきやね,노란색 초가지붕,黃色茅草屋頂,黄色茅草屋顶
00029,Rot-Schieferdach,red slate roof,tetto di ardesia rosso,rood leiendak,красная крыша из сланца,toit en ardoise rouge,tejado teja plana rojo,red slate roof,toit en ardoise rouge,tejado teja plana rojo,あかいボーダーやね,빨간색 가로줄 지붕,紅色粗橫紋屋頂,红色粗横纹屋顶
00030,Schwarz-Ziegeldach,black tile roof,tetto di tegole nere,zwart pannendak,черная черепичная крыша,toit en tuiles noires,tejado pizarra negro,black tile roof,toit en tuiles noires,tejado pizarra negro,くろいかわらやね,검은색 기와지붕,黑色瓦片屋頂,黑色瓦屋顶
00031,Gelb-Reetdach,yellow thatch roof,tetto di paglia gialla,geel rieten dak,желтая соломен. крыша,toit de chaume jaune,tejado paja ocre,yellow thatch roof,toit de chaume jaune,tejado paja ocre,きいろいかやぶきやね,노란색 초가지붕,黃色茅草屋頂,黄色茅草屋顶
00032,Braun-Schwerdach,brown stone-weighted roof,tetto a lose marrone,bruin verzwaard dak,коричн. крыша с камнями,toit lesté brun,tejado con piedras marrón,brown stone-weighted roof,toit lesté brun,tejado con piedras marrón,ちゃいろいいしおきやね,돌로 누른 갈색 지붕,茶色壓瓦石屋頂,茶色压瓦石屋顶
00035,Hellgrau-Steindach,light-gray stone roof,tetto di pietra grigio chiaro,lichtgrijs stenen dak,св.-серая камен. крыша,toit en pierre gris clair,tejado piedra gris claro,light-gray stone roof,toit en pierre gris clair,tejado piedra gris claro,ライトグレーのいしやね,연회색 돌 지붕,淺灰色石屋頂,浅灰色石屋顶
00036,Gelb-Reetdach,yellow thatch roof,tetto di paglia gialla,geel rieten dak,желтая соломен. крыша,toit de chaume jaune,tejado paja ocre,yellow thatch roof,toit de chaume jaune,tejado paja ocre,きいろいかやぶきやね,노란색 초가지붕,黃色茅草屋頂,黄色茅草屋顶
00037,Braun-Holzdach,brown wooden roof,tetto di legno marrone,bruin houten dak,коричневая дерев. крыша,toit en bois brun,tejado madera marrón,brown wooden roof,toit en bois brun,tejado madera marrón,ちゃいろのもくせいやね,갈색 나무 지붕,茶色木製屋頂,茶色木制屋顶
00038,Rot-Ziegeldach,red tile roof,tetto di tegole rosse,rood pannendak,красная черепичн. крыша,toit en tuiles rouges,tejado pizarra rojo,red tile roof,toit en tuiles rouges,tejado pizarra rojo,あかいかわらやね,빨간색 기와지붕,紅色瓦片屋頂,红色瓦屋顶
00039,Rot-Ziegeldach,red tile roof,tetto di tegole rosse,rood pannendak,красная черепичн. крыша,toit en tuiles rouges,tejado pizarra rojo,red tile roof,toit en tuiles rouges,tejado pizarra rojo,あかいかわらやね,빨간색 기와지붕,紅色瓦片屋頂,红色瓦屋顶
00040,Rot-Ziegeldach,red tile roof,tetto di tegole rosse,rood pannendak,красная черепичн. крыша,toit en tuiles rouges,tejado pizarra rojo,red tile roof,toit en tuiles rouges,tejado pizarra rojo,あかいかわらやね,빨간색 기와지붕,紅色瓦片屋頂,红色瓦屋顶
00041,Gelb-Ziegeldach,yellow tile roof,tetto di tegole gialle,geel pannendak,желтая черепичн. крыша,toit en tuiles jaunes,tejado pizarra ocre,yellow tile roof,toit en tuiles jaunes,tejado pizarra ocre,きいろいかわらやね,노란색 기와지붕,黃色瓦片屋頂,黄色瓦屋顶
00042,Schwarz-Ziegeldach,black tile roof,tetto di tegole nere,zwart pannendak,черная черепичная крыша,toit en tuiles noires,tejado pizarra negro,black tile roof,toit en tuiles noires,tejado pizarra negro,くろいかわらやね,검은색 기와지붕,黑色瓦片屋頂,黑色瓦屋顶
00043,Braun-Ziegeldach,brown tile roof,tetto di tegole marroni,bruin pannendak,коричн. черепичн. крыша,toit en tuiles brunes,tejado pizarra marrón,brown tile roof,toit en tuiles brunes,tejado pizarra marrón,ちゃいろのかわらやね,갈색 기와지붕,茶色瓦片屋頂,茶色瓦屋顶
00044,Grün-Ziegeldach,green tile roof,tetto di tegole verdi,groen pannendak,зеленая черепичн. крыша,toit en tuiles vertes,tejado pizarra verde,green tile roof,toit en tuiles vertes,tejado pizarra verde,みどりのかわらやね,초록색 기와지붕,綠色瓦片屋頂,绿色瓦屋顶
00045,Rosa-Ziegeldach,pink tile roof,tetto di tegole rosa,roze pannendak,розовая черепичн. крыша,toit en tuiles roses,tejado pizarra rosa,pink tile roof,toit en tuiles roses,tejado pizarra rosa,ピンクのかわらやね,핑크색 기와지붕,粉紅色瓦片屋頂,粉红色瓦屋顶
00046,Beige-Ziegeldach,beige tile roof,tetto di tegole beige,beige pannendak,бежевая черепичн. крыша,toit en tuiles beiges,tejado pizarra beis,beige tile roof,toit en tuiles beiges,tejado pizarra beige,ベージュのかわらやね,베이지색 기와지붕,米色瓦片屋頂,米色瓦屋顶
00047,Rot-Ziegeldach,red tile roof,tetto di tegole rosse,rood pannendak,красная черепичн. крыша,toit en tuiles rouges,tejado pizarra rojo,red tile roof,toit en tuiles rouges,tejado pizarra rojo,あかいかわらやね,빨간색 기와지붕,紅色瓦片屋頂,红色瓦屋顶
00048,Grün-Streifendach,green striped roof,tetto a righe verdi,groen stalen dak,зеленая фальцев. крыша,toit nervuré vert,tejado bandas verde,green striped roof,toit nervuré vert,tejado bandas verde,みどりのストライプやね,초록색 세로줄 지붕,綠色條紋屋頂,绿色条纹屋顶
00049,Lila-Streifendach,purple striped roof,tetto a righe viola,paars stalen dak,фиолет. фальцев. крыша,toit nervuré violet,tejado bandas lila,purple striped roof,toit nervuré mauve,tejado bandas lila,むらさきのストライプやね,보라색 세로줄 지붕,紫色條紋屋頂,紫色条纹屋顶
00050,Rot-Streifendach,red striped roof,tetto a righe rosse,rood stalen dak,красная фальцев. крыша,toit nervuré rouge,tejado bandas rojo,red striped roof,toit nervuré rouge,tejado bandas rojo,あかいストライプやね,빨간색 세로줄 지붕,紅色條紋屋頂,红色条纹屋顶
00051,Orange-Streifendach,orange striped roof,tetto a righe arancioni,oranje stalen dak,оранжев. фальцев. крыша,toit nervuré orange,tejado bandas naranja,orange striped roof,toit nervuré orange,tejado bandas naranja,オレンジのストライプやね,오렌지색 세로줄 지붕,橘色條紋屋頂,橘色条纹屋顶
00052,Rosa-Streifendach,pink striped roof,tetto a righe rosa,roze stalen dak,розовая фальцев. крыша,toit nervuré rose,tejado bandas rosa,pink striped roof,toit nervuré rose,tejado bandas rosa,ピンクのストライプやね,핑크색 세로줄 지붕,粉紅色條紋屋頂,粉红色条纹屋顶
00053,Grau-Streifendach,gray striped roof,tetto a righe grigie,grijs stalen dak,серая фальцевая крыша,toit nervuré gris,tejado bandas gris,gray striped roof,toit nervuré gris,tejado bandas gris,グレーのストライプやね,회색 세로줄 지붕,灰色條紋屋頂,灰色条纹屋顶
00054,Schwarz-Streifendach,black striped roof,tetto a righe nere,zwart stalen dak,черная фальцевая крыша,toit nervuré noir,tejado bandas negro,black striped roof,toit nervuré noir,tejado bandas negro,くろいストライプやね,검은색 세로줄 지붕,黑色條紋屋頂,黑色条纹屋顶
00055,Türkis-Schieferdach,turquoise slate roof,tetto di ardesia turchese,turquoise leiendak,бирюзов. крыша из сланца,toit en ardoise bleu-vert,tejado teja plana turquesa,turquoise slate roof,toit en ardoise bleu-vert,tejado teja plana turquesa,あおみどりのボーダーやね,청록색 가로줄 지붕,藍綠色粗橫紋屋頂,蓝绿色粗横纹屋顶
00056,Grün-Schieferdach,green slate roof,tetto di ardesia verde,groen leiendak,зеленая крыша из сланца,toit en ardoise verte,tejado teja plana verde,green slate roof,toit en ardoise verte,tejado teja plana verde,みどりのボーダーやね,초록색 가로줄 지붕,綠色粗橫紋屋頂,绿色粗横纹屋顶
00057,Braun-Schieferdach,brown slate roof,tetto di ardesia marrone,bruin leiendak,коричн. крыша из сланца,toit en ardoise brune,tejado teja plana marrón,brown slate roof,toit en ardoise brune,tejado teja plana marrón,ちゃいろのボーダーやね,갈색 가로줄 지붕,茶色粗橫紋屋頂,茶色粗横纹屋顶
00058,Rot-Schieferdach,red slate roof,tetto di ardesia rosso,rood leiendak,красная крыша из сланца,toit en ardoise rouge,tejado teja plana rojo,red slate roof,toit en ardoise rouge,tejado teja plana rojo,あかいボーダーやね,빨간색 가로줄 지붕,紅色粗橫紋屋頂,红色粗横纹屋顶
00059,Lila-Schieferdach,purple slate roof,tetto di ardesia viola,paars leiendak,фиолет. крыша из сланца,toit en ardoise violette,tejado teja plana lila,purple slate roof,toit en ardoise mauve,tejado teja plana lila,むらさきのボーダーやね,보라색 가로줄 지붕,紫色粗橫紋屋頂,紫色粗横纹屋顶
00060,Grau-Schieferdach,gray slate roof,tetto di ardesia grigio,grijs leiendak,серая крыша из сланца,toit en ardoise grise,tejado teja plana gris,gray slate roof,toit en ardoise grise,tejado teja plana gris,グレーのボーダーやね,회색 가로줄 지붕,灰色粗橫紋屋頂,灰色粗横纹屋顶
00061,Schwarz-Schieferdach,black slate roof,tetto di ardesia nero,zwart leiendak,черная крыша из сланца,toit en ardoise noire,tejado teja plana negro,black slate roof,toit en ardoise noire,tejado teja plana negro,くろいボーダーやね,검은색 가로줄 지붕,黑色粗橫紋屋頂,黑色粗横纹屋顶
00062,Hellbraun-Märchendach,tan wooden-tile roof,tetto a squame kaki,lichtbruin houten leiendak,палевая крыша из лемеха,toit en écailles brun clair,tejado teja curva pardo,tan wooden-tile roof,toit en écailles brun clair,tejado teja curva pardo,ライトブラウンのうろこやね,연갈색 비늘무늬 지붕,淺棕色魚鱗瓦屋頂,浅棕色鱼鳞瓦屋顶
00063,Rot-Märchendach,red wooden-tile roof,tetto a squame rosso,rood houten leiendak,красная крыша из лемеха,toit en écailles rouge,tejado teja curva rojo,red wooden-tile roof,toit en écailles rouge,tejado teja curva rojo,あかいうろこやね,빨간색 비늘무늬 지붕,紅色魚鱗瓦屋頂,红色鱼鳞瓦屋顶
00064,Blau-Märchendach,blue wooden-tile roof,tetto a squame blu,blauw houten leiendak,синяя крыша из лемеха,toit en écailles bleu,tejado teja curva azul,blue wooden-tile roof,toit en écailles bleu,tejado teja curva azul,あおいうろこやね,파란색 비늘무늬 지붕,藍色魚鱗瓦屋頂,蓝色鱼鳞瓦屋顶
00065,Meeresgrün-Märchendach,sea-green wooden-tile roof,tetto a squame verde acqua,zeegroen houten leiendak,бирюзов. крыша из лемеха,toit en écailles vert mousse,tejado teja curva musgo,sea-green wooden-tile roof,toit en écailles vert mousse,tejado teja curva musgo,モスグリーンのうろこやね,이끼색 비늘무늬 지붕,青苔綠魚鱗瓦屋頂,青苔绿鱼鳞瓦屋顶
00066,Grün-Märchendach,green wooden-tile roof,tetto a squame verde,groen houten leiendak,зеленая крыша из лемеха,toit en écailles vert,tejado teja curva verde,green wooden-tile roof,toit en écailles vert,tejado teja curva verde,みどりのうろこやね,초록색 비늘무늬 지붕,綠色魚鱗瓦屋頂,绿色鱼鳞瓦屋顶
00067,Lila-Märchendach,purple wooden-tile roof,tetto a squame viola,paars houten leiendak,фиолет. крыша из лемеха,toit en écailles violet,tejado teja curva lila,purple wooden-tile roof,toit en écailles mauve,tejado teja curva lila,むらさきのうろこやね,보라색 비늘무늬 지붕,紫色魚鱗瓦屋頂,紫色鱼鳞瓦屋顶
00068,Schwarz-Märchendach,black wooden-tile roof,tetto a squame nero,zwart houten leiendak,черная крыша из лемеха,toit en écailles noir,tejado teja curva negro,black wooden-tile roof,toit en écailles noir,tejado teja curva negro,くろいうろこやね,검은색 비늘무늬 지붕,黑色魚鱗瓦屋頂,黑色鱼鳞瓦屋顶
00069,Natur-Schieferdach,natural slate roof,tetto di ardesia naturale,naturel leiendak,натур. крыша из сланца,toit en ardoise naturelle,tejado teja plana natural,natural slate roof,toit en ardoise naturelle,tejado teja plana natural,ナチュラルなボーダーやね,내추럴 가로줄 지붕,自然風粗橫紋屋頂,自然风粗横纹屋顶
00070,Braun-Schieferdach,brown slate roof,tetto di ardesia marrone,bruin leiendak,коричн. крыша из сланца,toit en ardoise brune,tejado teja plana marrón,brown slate roof,toit en ardoise brune,tejado teja plana marrón,ちゃいろのボーダーやね,갈색 가로줄 지붕,茶色粗橫紋屋頂,茶色粗横纹屋顶
00071,Blau-Schieferdach,blue slate roof,tetto di ardesia blu,blauw leiendak,синяя крыша из сланца,toit en ardoise bleue,tejado teja plana azul,blue slate roof,toit en ardoise bleue,tejado teja plana azul,あおいボーダーやね,파란색 가로줄 지붕,藍色粗橫紋屋頂,蓝色粗横纹屋顶
00072,Türkis-Schieferdach,turquoise slate roof,tetto di ardesia turchese,turquoise leiendak,бирюзов. крыша из сланца,toit en ardoise bleu-vert,tejado teja plana turquesa,turquoise slate roof,toit en ardoise bleu-vert,tejado teja plana turquesa,あおみどりのボーダーやね,청록색 가로줄 지붕,藍綠色粗橫紋屋頂,蓝绿色粗横纹屋顶
00073,Grün-Schieferdach,green slate roof,tetto di ardesia verde,groen leiendak,зеленая крыша из сланца,toit en ardoise verte,tejado teja plana verde,green slate roof,toit en ardoise verte,tejado teja plana verde,みどりのボーダーやね,초록색 가로줄 지붕,綠色粗橫紋屋頂,绿色粗横纹屋顶
00074,Lila-Schieferdach,purple slate roof,tetto di ardesia viola,paars leiendak,фиолет. крыша из сланца,toit en ardoise violette,tejado teja plana lila,purple slate roof,toit en ardoise mauve,tejado teja plana lila,むらさきのボーダーやね,보라색 가로줄 지붕,紫色粗橫紋屋頂,紫色粗横纹屋顶
00075,Schwarz-Schieferdach,black slate roof,tetto di ardesia nero,zwart leiendak,черная крыша из сланца,toit en ardoise noire,tejado teja plana negro,black slate roof,toit en ardoise noire,tejado teja plana negro,くろいボーダーやね,검은색 가로줄 지붕,黑色粗橫紋屋頂,黑色粗横纹屋顶
