Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
ChinaNewYear,Neujahr,New Year's Day,Capodanno,Nieuwjaarsdag,Новый год,Jour de l'an,Año Nuevo,New Year's Day,Jour de l'An,Año Nuevo,正月,새해,新年,新年
Countdown,Countdown,Countdown,Conto alla rovescia,Aftellen,Отсчет,Compte à rebours,cuenta atrás,Countdown,Compte à rebours,Cuenta regresiva,カウントダウン,카운트다운,倒數,倒数
CowBoyFestival,Cowboy-Festival,Cowboy Festival,Festival cowboy,Cowboyfestival,Фестиваль ковбоев,Festival des cow-boys,Festival de los vaqueros,Cowboy Festival,Festival des cowboys,Festival de los vaqueros,カウボーイ祭り,카우보이 축제,牛仔節,牛仔节
DayOfTheDead,Tag der Toten,Day of the Dead,Día de los Muertos,Dag van de doden,День мертвых,Jour des morts,Día de Muertos,Day of the Dead,Jour des Morts,Día de Muertos,死者の日,망자의 날,亡靈節,亡灵节
FathersDay,Vatertag,Father's Day,Festa del papà,Vaderdag,День отца,Fête des pères,Día del Padre,Father's Day,Fête des Pères,Día del Padre,父の日,아버지날,世界父親節,父亲节
FathersDay2,Vatertag,Father's Day,Festa del papà,Vaderdag,День отца,Fête des pères,Día del Padre,Father's Day,Fête des Pères,Día del Padre,父の日,아버지날,世界父親節,父亲节
FishingConventionAutumn,Herbst-Angelturnier,Fall Fishing Tourney,Torneo di pesca autunnale,Herfstvistoernooi,Осенний турнир «Мастер удочки»,Tournoi de pêche (automne),T. de Pesca de otoño,Fall Fishing Tourney,Tournoi de pêche (automne),T. de Pesca de otoño,秋の釣り大会,가을 낚시대회,秋季釣魚大會,秋季钓鱼大赛
FishingConventionSpring,Frühlings-Angelturnier,Spring Fishing Tourney,Torneo di pesca primaverile,Lentevistoernooi,Весенний турнир «Мастер удочки»,Tournoi pêche (printemps),T. de Pesca de primavera,Spring Fishing Tourney,Tournoi pêche (printemps),T. de Pesca de primavera,春の釣り大会,봄 낚시대회,春季釣魚大會,春季钓鱼大赛
FishingConventionSummer,Sommer-Angelturnier,Summer Fishing Tourney,Torneo di pesca estivo,Zomervistoernooi,Летний турнир «Мастер удочки»,Tournoi de pêche (été),T. de Pesca de verano,Summer Fishing Tourney,Tournoi de pêche (été),T. de Pesca de verano,夏の釣り大会,여름 낚시대회,夏季釣魚大會,夏季钓鱼大赛
FishingConventionWinter,Winter-Angelturnier,Winter Fishing Tourney,Torneo di pesca invernale,Wintervistoernooi,Зимний турнир «Мастер удочки»,Tournoi de pêche (hiver),T. de Pesca de invierno,Winter Fishing Tourney,Tournoi de pêche (hiver),T. de Pesca de invierno,冬の釣り大会,겨울 낚시대회,冬季釣魚大會,冬季钓鱼大赛
GrapeHarvestFestival,Traubenlese-Festival,Grape Harvest Festival,Festival della vendemmia,Druivenoogstfestival,День сбора винограда,Festival du raisin,La vendimia,Grape Harvest Festival,Festival du raisin,La vendimia,ブドウの収穫祭,포도 수확제,葡萄豐收節,葡萄丰收节
GroundhogDay,Murmeltiertag,Groundhog Day,Dì della marmotta,Bosmarmottendag,День сурка,Jour de la marmotte,Día de la Marmota,Groundhog Day,Jour de la marmotte,Día de la Marmota,グラウンドホッグデー,그라운드호그 데이,土撥鼠日,土拨鼠日
GyurouSyokujyo,Kuhhirte-und-Weberin-Tag,Cowherd & Weaver Girl Day,Il pastore e la filatrice,Veehoeder-en-weefsterdag,День пастуха и ткачихи,Le bouvier et la tisserande,El pastor y la tejedora,Cowherd & Weaver Girl Day,Le bouvier et la tisserande,El pastor y la tejedora,牛郎織女の日,칠석,七夕,七夕
InsectConvention1,Insektikus-Turnier,Bug-Off,Insettomania,Beestjesbeker,Турнир «Мастер сачка»,Insectosafari,Caza de Bichos,Bug-Off,Insectosafari,Caza de Insectos,ムシとり大会,곤충채집대회,捕蟲大會,捕虫大赛
InsectConvention2,Insektikus-Turnier,Bug-Off,Insettomania,Beestjesbeker,Турнир «Мастер сачка»,Insectosafari,Caza de Bichos,Bug-Off,Insectosafari,Caza de Insectos,ムシとり大会,곤충채집대회,捕蟲大會,捕虫大赛
InsectConvention3,Insektikus-Turnier,Bug-Off,Insettomania,Beestjesbeker,Турнир «Мастер сачка»,Insectosafari,Caza de Bichos,Bug-Off,Insectosafari,Caza de Insectos,ムシとり大会,곤충채집대회,捕蟲大會,捕虫大赛
InsectConvention4,Insektikus-Turnier,Bug-Off,Insettomania,Beestjesbeker,Турнир «Мастер сачка»,Insectosafari,Caza de Bichos,Bug-Off,Insectosafari,Caza de Insectos,ムシとり大会,곤충채집대회,捕蟲大會,捕虫大赛
KoreaNewYear,Neujahr,New Year's Day,Capodanno,Nieuwjaarsdag,Новый год,Jour de l'an,Año Nuevo,New Year's Day,Jour de l'An,Año Nuevo,正月,새해,新年,新年
MidAutumnFestival,Mondfest,Moon-Viewing Day,Festa della luna,Maanfeest,День луны,Fête de la lune,Celebración de la Luna,Moon-Viewing Day,Fête de la lune,Celebración de la Luna,お月見,추석,中秋節,中秋节
Midwinter,Mittwinter,Winter Solstice,Solstizio d'inverno,Midwinter,Зимнее солнцестояние,Solstice d'hiver,Solsticio de invierno,Winter Solstice,Solstice d'hiver,Solsticio de invierno,冬至,동지,冬至,冬至
MothersDay,Muttertag,Mother's Day,Festa della mamma,Moederdag,День матери,Fête des mères,Día de la Madre,Mother's Day,Fête des Mères,Día de la Madre,母の日,어머니날,母親節,母亲节
Nanakusagayu,Nanakusa gayu,Nanakusa Gayu,Nanakusa gayu,Nanakusa gayu,День нанакуса-гаю,Nanakusa gayu,Festival de las 7 Hierbas,Nanakusa Gayu,Nanakusa gayu,Nanakusa Gayu,七草粥,나나쿠사가유,七草粥,七草粥
NewYearDay4_Osechi,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Сёгацу,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,正月,새해,新年,新年
NewYearEtoBoarPig,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Сёгацу,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,正月,새해,新年,新年
NewYearEtoDog,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Сёгацу,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,正月,새해,新年,新年
NewYearEtoDragon,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Сёгацу,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,正月,새해,新年,新年
NewYearEtoHorse,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Сёгацу,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,正月,새해,新年,新年
NewYearEtoMonkey,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Сёгацу,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,正月,새해,新年,新年
NewYearEtoRabbit,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Сёгацу,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,正月,새해,新年,新年
NewYearEtoRat,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Сёгацу,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,正月,새해,新年,新年
NewYearEtoRooster,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Сёгацу,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,正月,새해,新年,新年
NewYearEtoSheep,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Сёгацу,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,正月,새해,新年,新年
NewYearEtoSnake,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Сёгацу,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,正月,새해,新年,新年
NewYearEtoTiger,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Сёгацу,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,Shōgatsu,正月,새해,新年,新年
NewYearsEveGermany,Silvester,Silvester,Silvester,Silvester,Сильвестр,Silvester,Silvester,Silvester,Silvester,Silvester,New Year's Eve,질베스터,New Year's Eve,New Year's Eve
NewYearsEveSpain,Nochevieja,Nochevieja,Nochevieja,Nochevieja,Ночевьеха,Nochevieja,Nochevieja,Nochevieja,Nochevieja,Nochevieja,New Year's Eve,노체 비에하,New Year's Eve,New Year's Eve
NewYearsEveWorld,Neujahrsabend,New Year's Eve,Ultimo dell'anno,Oudejaarsavond,Канун Нового года,Réveillon du nouvel an,Fin de año,New Year's Eve,Réveillon du Nouvel An,Fin de año,New Year's Eve,새해 전야,New Year's Eve,New Year's Eve
Oomisoka,Ōmisoka,Ōmisoka,Ōmisoka,Ōmisoka,Омисока,Ōmisoka,Ōmisoka,Ōmisoka,Ōmisoka,Ōmisoka,大晦日,오미소카,跨年夜,跨年夜
RegionAprilFool,1. April,April Fools' Day,Pesce d'aprile,1 april,День розыгрышей,1er avril,Día de las Bromas,April Fools' Day,1er avril,Día de las Bromas,エイプリルフール,만우절,愚人節,愚人节
RegionBigGame,Football-Finale,Big Game Celebration,Notte della grande partita,Americanfootballfeest,Решающий матч,Match au sommet,Gran final deportiva,Big Game Celebration,Soir de finale,Gran final deportiva,ビッグゲーム,빅 게임,Big Game,大比赛
RegionBigGame2,Football-Finale,Big Game Celebration,Notte della grande partita,Americanfootballfeest,Решающий матч,Match au sommet,Gran final deportiva,Big Game Celebration,Soir de finale,Gran final deportiva,ビッグゲーム,빅 게임,Big Game,大比赛
RegionCheeseFestival,Käserollen,Cheese Rolling,Cheeserolling,Kaasrollen,Сырная гонка,Course au fromage,Festival del queso rodante,Cheese Rolling,Course au fromage,Festival del queso rodante,チーズ転がし,치즈 굴리기,滾起司節,滚奶酪节
RegionChildrensDay,Kodomo no Hi,Children's Day,Giorno dei bambini,Kodomo no Hi,День ребенка,Jour des enfants,Día del Niño,Children's Day,Jour des enfants,Día del Niño,こどもの日,단고노셋쿠,日本兒童節,日本儿童节
RegionDragonBoatFestival,Dano-Festival,Dano Festival,Festival Dano,Danofestival,Праздник Тано,Fête de Dano,Festival Dano,Dano Festival,Fête de Dano,Festival Dano,端午節,단오,端午節,端午节
