Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Daily,Alltagskleidung,everyday,per tutti i giorni,alledaags thema,повседневный,tenue de tous les jours,todoterreno,everyday,tenue de tous les jours,todoterreno,デイリー,데일리,日常生活,日常
Fairyland,Märchenkleidung,fairy tale,da fiaba,sprookjesthema,фантазийный,tenue féerique,de fantasía,fairy tale,tenue féérique,de fantasía,メルヘン,메르헨,童話世界,童话世界
Fomal,Formellkleidung,formal,formale,formeel thema,формальный,tenue officielle,formal,formal,tenue officielle,formal,フォーマル,포멀,正式,正式
Horror,Horrorkleidung,goth,horror,griezelthema,готический,tenue effrayante,gótico,goth,tenue effrayante,gótico,ホラー,호러,恐怖,恐怖
Outdoor,Outdoorkleidung,outdoorsy,da aria aperta,weersbestendig thema,походный,tenue d'extérieur,casual,outdoorsy,tenue d'extérieur,de actividades al aire libre,アウトドア,아웃도어,戶外活動,户外
Party,Partykleidung,party,da festa,feestthema,праздничный,tenue de fête,de fiesta,party,tenue de fête,de fiesta,パーティー,파티,派對,派对
Relax,Freizeitkleidung,comfy,confortevole,vrijetijdsthema,удобный,tenue de détente,desenfadado,comfy,tenue de détente,desenfadado,リラックス,릴랙스,悠閒,休闲
Sport,Sportkleidung,sporty,da sport,sportthema,спортивный,tenue sport,deportivo,sporty,tenue sport,deportivo,スポーツ,스포츠,運動,运动
Stage,Bühnenkleidung,theatrical,da teatro,podiumthema,эффектный,tenue de scène,teatral,theatrical,tenue de scène,teatral,ステージ,스테이지,舞台,舞台
Vacation,Urlaubskleidung,vacation,da vacanza,vakantiethema,отпускной,tenue de vacances,vacacional,vacation,tenue de vacances,vacacional,バカンス,바캉스,度假,度假
Work,Arbeitskleidung,work,da lavoro,werkthema,рабочий,tenue professionnelle,profesional,work,tenue professionnelle,profesional,お仕事,비즈니스,工作,工作
