Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
RoomWall_04795,Normaltapete,common wall,muro comune,standaardwand,простая стена,mur ordinaire,pared básica,common wall,mur ordinaire,pared básica,よくあるかべ,평범한 벽,常見牆,常见墙
RoomWall_04801,Eisengittertapete,steel-frame wall,muro struttura in ferro,wand met stalen balken,каркасная стена,mur poutres en fer,pared viga de hierro,steel-frame wall,mur poutres en fer,pared viga de hierro,てっこつのかべ,철근 벽,鋼筋牆,钢架墙
RoomWall_04802,Rosaholzwand,pink painted-wood wall,muro a pannelli rosa,roze houten wand,розовая стена из дерева,mur en bois peint rose,panelado madera rosa,pink painted-wood wall,mur en bois peint rose,pared paneles rosa,ピンクのペイントウッドのかべ,핑크 페인트 우드 벽,粉紅油漆木牆,粉红油漆木墙
RoomWall_04803,Weißholzwand,white painted-wood wall,muro a pannelli bianco,witte houten wand,белая стена из дерева,mur en bois peint blanc,panelado madera blanca,white painted-wood wall,mur en bois peint blanc,pared paneles blanca,しろいペイントウッドのかべ,하얀 페인트 우드 벽,白色油漆木牆,白色油漆木墙
RoomWall_04804,Hell-Fischgrätwand,brown herringbone wall,muro spina di pesce beige,lichtbruine visgraatwand,светлая стена-елочка,mur à chevrons beige,pared espiga clara,brown herringbone wall,mur à chevrons beige,pared espinapez marrón,ちゃいろいヘリンボーンのかべ,갈색 헤링본 벽,茶色人字斜紋牆,茶色人字斜纹墙
RoomWall_04805,Dunkel-Fischgrätwand,chocolate herringbone wall,muro spina di pesce cacao,donkerbruine visgraatwand,темная стена-елочка,mur à chevrons chocolat,pared espiga oscura,chocolate herringbone wall,mur à chevrons chocolat,pared espinapez chocolate,こげちゃのヘリンボーンのかべ,고동색 헤링본 벽,深棕色人字斜紋牆,深棕色人字斜纹墙
RoomWall_04806,Hellbraun-Dielentapete,brown hallway wall,muro albergo marrone,lichtbruine halwand,светлая стена «Холл»,mur hall brun,pared pasillo marrón,brown hallway wall,mur hall brun,pared pasillo marrón,ちゃいろいホールのかべ,갈색 홀 벽,茶色大廳牆,茶色大厅墙
RoomWall_04807,Dunkelbraun-Dielentapete,chocolate hallway wall,muro albergo cacao,donkerbruine halwand,темная стена «Холл»,mur hall chocolat,pared pasillo chocolate,chocolate hallway wall,mur hall chocolat,pared pasillo chocolate,こげちゃのホールのかべ,고동색 홀 벽,深棕色大廳牆,深棕色大厅墙
RoomWall_04808,Gelbwand,yellow-paint wall,muro dipinto giallo,gele wand,желтая стена,mur peint jaune,pared pintada amarilla,yellow-paint wall,mur peint jaune,pared pintada amarilla,きいろいペイントウォール,노란 페인트 벽,黃色油漆牆,黄色油漆墙
RoomWall_04809,Orangewand,orange-paint wall,muro dipinto arancione,oranje wand,оранжевая стена,mur peint orange,pared pintada naranja,orange-paint wall,mur peint orange,pared pintada naranja,オレンジのペイントウォール,오렌지색 페인트 벽,橘色油漆牆,橘色油漆墙
RoomWall_04811,Blauwand,blue-paint wall,muro dipinto blu,blauwe wand,синяя стена,mur peint bleu,pared pintada azul,blue-paint wall,mur peint bleu,pared pintada azul,あおいペイントウォール,파란 페인트 벽,藍色油漆牆,蓝色油漆墙
RoomWall_04812,Grünwand,green-paint wall,muro dipinto verde,groene wand,зеленая стена,mur peint vert,pared pintada verde,green-paint wall,mur peint vert,pared pintada verde,みどりのペイントウォール,초록 페인트 벽,綠色油漆牆,绿色油漆墙
RoomWall_04813,Bruchsteinwand,rustic-stone wall,muro in pietra rustica,rustieke stenen wand,стена из грубого камня,mur en pierres traditionnel,pared piedra rústica,rustic-stone wall,mur en pierres traditionnel,pared piedra rústica,ランダムストーンのかべ,마구 붙인 돌 벽,不規則石頭牆,不规则石头墙
RoomWall_04814,Blaukronenwand,blue-crown wall,muro con corone blu,blauwe kroontjeswand,синяя стена с коронами,mur motif couronnes bleu,pared realeza azul,blue-crown wall,mur motif couronnes bleu,pared realeza azul,ブルークラウンのかべがみ,블루 왕관 벽지,藍色皇冠壁紙,蓝色皇冠壁纸
RoomWall_04815,Schwarzkronenwand,black-crown wall,muro con corone nero,zwarte kroontjeswand,черная стена с коронами,mur motif couronnes noir,pared realeza negra,black-crown wall,mur motif couronnes noir,pared realeza negra,ブラッククラウンのかべがみ,블랙 왕관 벽지,黑色皇冠壁紙,黑色皇冠壁纸
RoomWall_04816,Rosakronenwand,pink-crown wall,muro con corone rosa,roze kroontjeswand,розовая стена с коронами,mur motif couronnes rose,pared realeza rosa,pink-crown wall,mur motif couronnes rose,pared realeza rosa,ピンククラウンのかべがみ,핑크 왕관 벽지,粉紅皇冠壁紙,粉红皇冠壁纸
RoomWall_04817,Beige-Art-déco-Tapete,beige art-deco wall,muro art déco beige,beige art-decowand,бежевая стена ар-деко,mur Art déco beige,pared art déco beis,beige art-deco wall,mur Art déco beige,pared art déco beige,ベージュのアールデコかべがみ,베이지 아르데코풍 벽,米色裝飾線板壁紙,米色装饰线板墙
RoomWall_04818,Rot-Art-déco-Tapete,red art-deco wall,muro art déco rosso,rode art-decowand,красная стена ар-деко,mur Art déco pourpre,pared art déco burdeos,red art-deco wall,mur Art déco pourpre,pared art déco bermellón,レッドのアールデコかべがみ,레드 아르데코풍 벽,紅色裝飾線板壁紙,红色装饰线板墙
RoomWall_04819,Schiebetürtapete,screen wall,muro porta scorrevole,scherm,стена-ширма,mur paravent en papier,pared bruma oriental,screen wall,mur paravent en papier,pared bruma oriental,ふすま,미닫이 문 벽,日式拉門,日式拉门
RoomWall_04820,Goldtürtapete,gold-screen wall,muro porta scorrevole d'oro,gouden scherm,золотая стена-ширма,mur paravent,pared oriental,gold-screen wall,mur paravent d'or,pared oriental,きんぱくのふすま,황금 미닫이 문 벽,金箔日式拉門,金箔日式拉门
RoomWall_04821,Leiterplattentapete,circuit-board wall,muro circuito stampato,printplaatwand,стена-микросхема,mur circuit imprimé,pared circuito integrado,circuit-board wall,mur circuit imprimé,pared circuito integrado,きばんのかべ,전자 회로 벽,主機板牆,主机板墙
RoomWall_04825,Rollladenwand,shutter wall,muro saracinesca,rolluikwand,стена-жалюзи,mur volet roulant,pared persiana,shutter wall,mur volet roulant,pared persiana,シャッターのかべ,닫힌 셔터 벽,鐵捲門牆,铁卷门墙
RoomWall_04826,Weiß-Relieffliesenwand,white botanical-tile wall,muro bassorilievo bianco,witte patroontegelwand,белая кафельная стена,mur botanique blanc,pared cerámica blanca,white botanical-tile wall,mur botanique blanc,pared cerámica blanca,しろいボタニカルタイルのかべ,화이트 보태니컬 타일 벽,白色植物圖案磚牆,白色植物图案砖墙
