Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
ShellDrift_01374,Kreiselschnecke,sea snail,lumaca di mare,zeeslakkenhuis,ракушка морской улитки,escargot de mer,caracol de mar,sea snail,escargot de mer,caracol de mar,エビスガイ,방석고둥,鐘螺殼,钟螺壳
ShellDrift_01374_pl,Kreiselschnecken,sea snails,lumache di mare,zeeslakkenhuizen,ракушки морских улиток,escargots de mer,caracoles de mar,sea snails,escargots de mer,caracoles de mar,エビスガイ,방석고둥,鐘螺殼,钟螺壳
ShellDrift_01375,Stachelschnecke,venus comb,pettine di Venere,venuskam,ракушка мурекса,peigne de Vénus,peine de Venus,venus comb,peigne de Vénus,peine de Venus,ホネガイ,뮤렉스조개,骨螺殼,骨螺壳
ShellDrift_01375_pl,Stachelschnecken,venus combs,pettini di Venere,venuskammen,ракушки мурексов,peignes de Vénus,peines de Venus,venus combs,peignes de Vénus,peines de Venus,ホネガイ,뮤렉스조개,骨螺殼,骨螺壳
ShellDrift_01376,Tritonshorn,conch,strombo,gewone tritonshoren,спиральная ракушка,conque,neptunea,conch,conque,neptúnea,ホラガイ,소라고둥,海螺殼,海螺壳
ShellDrift_01376_pl,Tritonshörner,conches,strombi,gewone tritonshorens,спиральные ракушки,conques,neptuneas,conches,conques,neptúneas,ホラガイ,소라고둥,海螺殼,海螺壳
ShellDrift_01379,Sanddollar,sand dollar,dollaro sabbioso,zanddollar,панцирь морского ежа,clypéastre,dólar de arena,sand dollar,clypéastre,dólar de arena,サンドダラー,연잎성게,沙錢,沙钱
ShellDrift_01379_pl,Sanddollars,sand dollars,dollari sabbiosi,zanddollars,панцири морских ежей,clypéastres,dólares de arena,sand dollars,clypéastres,dólares de arena,サンドダラー,연잎성게,沙錢,沙钱
ShellDrift_01380,Koralle,coral,corallo,stuk koraal,коралл,branche de corail,coral,coral,branche de corail,coral,サンゴ,산호,珊瑚,珊瑚
ShellDrift_01380_pl,Korallen,coral,coralli,stukken koraal,кораллы,branches de corail,corales,coral,branches de corail,corales,サンゴ,산호,珊瑚,珊瑚
ShellDrift_01381,Riesenmuschel,giant clam,vongola gigante,doopvontschelp,раковина тридакны,bénitier géant,almeja gigante,giant clam,bénitier géant,almeja gigante,シャコガイ,거거,扇貝殼,扇贝壳
ShellDrift_01381_pl,Riesenmuscheln,giant clams,vongole giganti,doopvontschelpen,раковины тридакн,bénitiers géants,almejas gigantes,giant clams,bénitiers géants,almejas gigantes,シャコガイ,거거,扇貝殼,扇贝壳
ShellDrift_01382,Kaurischnecke,cowrie,ciprea,kauri,ракушка ципреи,porcelaine,cauri,cowrie,porcelaine,cauri,タカラガイ,자패,寶螺殼,宝螺壳
ShellDrift_01382_pl,Kaurischnecken,cowries,cipree,kauri's,ракушки ципрей,porcelaines,cauris,cowries,porcelaines,cauris,タカラガイ,자패,寶螺殼,宝螺壳
ShellDrift_05982,Sommermuschel,summer shell,conchiglia estiva,zomerschelp,летняя ракушка,coquillage estival,caracola estival,summer shell,coquillage estival,caracola estival,なつのかいがら,여름 조개껍데기,夏天貝殼,夏天贝壳
ShellDrift_05982_pl,Sommermuscheln,summer shells,conchiglie estive,zomerschelpen,летние ракушки,coquillages estivaux,caracolas estivales,summer shells,coquillages estivaux,caracolas estivales,なつのかいがら,여름 조개껍데기,夏天貝殼,夏天贝壳
ShellFish_02567,Teppichmuschel,manila clam,vongola filippina,tapijtschelp,венерка,palourde japonaise,almeja japonesa,manila clam,palourde japonaise,almeja japonesa,アサリ,바지락,蛤蜊,蛤蜊
