Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
ant00,Theo,Cyrano,Cirano,Cyrano,Сирано,Cyrano,Cirano,Cyrano,Cyrano,Cirano,さくらじま,사지마,陽明,阳明
ant01,Siggi,Antonio,Antonio,Antonio,Антонио,Antonio,Antonio,Antonio,Antonio,Antonio,マコト,퍼머거,阿誠,阿诚
ant02,Mathilda,Pango,Carlotta,Pango,Панго,Mathilda,Aspidora,Pango,Mathilda,Aspidora,パトラ,패트라,佩希,佩希
ant03,Annabell,Anabelle,Annalisa,Anabelle,Анабель,Anabelle,Anabel,Anabelle,Anabelle,Anabel,あるみ,아롱이,有美,有美
ant05,Zoe,Zoe,Zoe,Zoe,Зои,Cléo,Naricia,Zoe,Cléo,Naricia,ビーフン,소면,米粉,米粉
ant06,Hilde,Snooty,Lucrezia,Snooty,Снути,Tarina,Rosanari,Snooty,Tarina,Rosanari,こまち,스누티,貴妃,贵妃
ant08,Annalena,Annalisa,Anita,Annalisa,Аннализа,Roberta,Alba,Annalisa,Roberta,Alba,みやび,설백,小雅,小雅
ant09,Olaf,Olaf,Ettore,Olaf,Олаф,Blair,Olaf,Olaf,Blair,Olaf,アントニオ,안토니오,安東尼,安东尼
bea00,Torsten,Teddy,Teddy,Teddy,Тедди,Teddy,Teddy,Teddy,Teddy,Teddy,たいへいた,병태,太平,太平
bea01,Pia,Pinky,Pinky,Pinky,Пинки,Rosine,Violeta,Pinky,Rosine,Violeta,タンタン,링링,丹丹,丹丹
bea02,Kurt,Curt,Curt,Curt,Керт,Curt,Gorbaché,Curt,Curt,Gorbaché,ガンテツ,뚝심,鐵熊,铁熊
bea03,Chang,Chow,Chowchow,Chow,Чау,Chulin,Pando,Chow,Chulin,Pando,チャウヤン,츄양,朝陽,朝阳
bea05,Nathan,Nate,Gianni,Nate,Нэйт,Nathan,Nachete,Nate,Nathan,Nachete,バッカス,박하스,巴克思,巴克思
bea06,Ernst,Groucho,Groucho,Groucho,Граучо,Ronchon,Groucho,Groucho,Ronchon,Groucho,クロー,거무틱,爪爪,爪爪
bea07,Mandy,Tutu,Lola,Tutu,Туту,Tutu,Tutú,Tutu,Tutu,Tutú,れんにゅう,연유,戀戀,恋恋
bea08,Ursula,Ursala,Ursula,Ursala,Урсала,Oursula,Úrsula,Ursala,Oursula,Úrsula,ネーヤ,네이아,妮雅,妮雅
bea09,Gerald,Grizzly,Grizzly,Grizzly,Гризли,Grizzly,Gruñón,Grizzly,Grizzly,Gruñón,ムー,무뚝,穆穆,穆穆
