Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Money_02105,100-Sterni-Münze,100 Bells,moneta da 100 s,100 klingels,100 диней,pièce de 100 clochettes,bolsa de 100 bayas,100 Bells,pièce de 100 clochettes,moneda de 100 bayas,100ベル,100벨,100鈴錢,100铃钱
Money_02106,200-Sterni-Münze,200 Bells,moneta da 200 s,200 klingels,200 диней,pièce de 200 clochettes,bolsa de 200 bayas,200 Bells,pièce de 200 clochettes,moneda de 200 bayas,200ベル,200벨,200鈴錢,200铃钱
Money_02107,300-Sterni-Münze,300 Bells,moneta da 300 s,300 klingels,300 диней,pièce de 300 clochettes,bolsa de 300 bayas,300 Bells,pièce de 300 clochettes,moneda de 300 bayas,300ベル,300벨,300鈴錢,300铃钱
Money_02108,400-Sterni-Münze,400 Bells,moneta da 400 s,400 klingels,400 диней,pièce de 400 clochettes,bolsa de 400 bayas,400 Bells,pièce de 400 clochettes,moneda de 400 bayas,400ベル,400벨,400鈴錢,400铃钱
Money_02109,500-Sterni-Münze,500 Bells,moneta da 500 s,500 klingels,500 диней,pièce de 500 clochettes,bolsa de 500 bayas,500 Bells,pièce de 500 clochettes,moneda de 500 bayas,500ベル,500벨,500鈴錢,500铃钱
Money_02110,600-Sterni-Münze,600 Bells,moneta da 600 s,600 klingels,600 диней,pièce de 600 clochettes,bolsa de 600 bayas,600 Bells,pièce de 600 clochettes,moneda de 600 bayas,600ベル,600벨,600鈴錢,600铃钱
Money_02111,700-Sterni-Münze,700 Bells,moneta da 700 s,700 klingels,700 диней,pièce de 700 clochettes,bolsa de 700 bayas,700 Bells,pièce de 700 clochettes,moneda de 700 bayas,700ベル,700벨,700鈴錢,700铃钱
Money_02112,800-Sterni-Münze,800 Bells,moneta da 800 s,800 klingels,800 диней,pièce de 800 clochettes,bolsa de 800 bayas,800 Bells,pièce de 800 clochettes,moneda de 800 bayas,800ベル,800벨,800鈴錢,800铃钱
Money_02113,900-Sterni-Münze,900 Bells,moneta da 900 s,900 klingels,900 диней,pièce de 900 clochettes,bolsa de 900 bayas,900 Bells,pièce de 900 clochettes,moneda de 900 bayas,900ベル,900벨,900鈴錢,900铃钱
Money_02114,1000-Sterni-Sack,"1,000 Bells",sacco da 1000 s,1000 klingels,1000 диней,sac de 1 000 clochettes,bolsa de 1000 bayas,"1,000 Bells",sac de 1 000 clochettes,bolsa de 1000 bayas,1000ベル,"1,000벨",1000鈴錢,1000铃钱
Money_02115,2000-Sterni-Sack,"2,000 Bells",sacco da 2000 s,2000 klingels,2000 диней,sac de 2 000 clochettes,bolsa de 2000 bayas,"2,000 Bells",sac de 2 000 clochettes,bolsa de 2000 bayas,2000ベル,"2,000벨",2000鈴錢,2000铃钱
Money_02116,3000-Sterni-Sack,"3,000 Bells",sacco da 3000 s,3000 klingels,3000 диней,sac de 3 000 clochettes,bolsa de 3000 bayas,"3,000 Bells",sac de 3 000 clochettes,bolsa de 3000 bayas,3000ベル,"3,000벨",3000鈴錢,3000铃钱
Money_02117,4000-Sterni-Sack,"4,000 Bells",sacco da 4000 s,4000 klingels,4000 диней,sac de 4 000 clochettes,bolsa de 4000 bayas,"4,000 Bells",sac de 4 000 clochettes,bolsa de 4000 bayas,4000ベル,"4,000벨",4000鈴錢,4000铃钱
Money_02118,5000-Sterni-Sack,"5,000 Bells",sacco da 5000 s,5000 klingels,5000 диней,sac de 5 000 clochettes,bolsa de 5000 bayas,"5,000 Bells",sac de 5 000 clochettes,bolsa de 5000 bayas,5000ベル,"5,000벨",5000鈴錢,5000铃钱
Money_02119,6000-Sterni-Sack,"6,000 Bells",sacco da 6000 s,6000 klingels,6000 диней,sac de 6 000 clochettes,bolsa de 6000 bayas,"6,000 Bells",sac de 6 000 clochettes,bolsa de 6000 bayas,6000ベル,"6,000벨",6000鈴錢,6000铃钱
Money_02120,7000-Sterni-Sack,"7,000 Bells",sacco da 7000 s,7000 klingels,7000 диней,sac de 7 000 clochettes,bolsa de 7000 bayas,"7,000 Bells",sac de 7 000 clochettes,bolsa de 7000 bayas,7000ベル,"7,000벨",7000鈴錢,7000铃钱
Money_02121,8000-Sterni-Sack,"8,000 Bells",sacco da 8000 s,8000 klingels,8000 диней,sac de 8 000 clochettes,bolsa de 8000 bayas,"8,000 Bells",sac de 8 000 clochettes,bolsa de 8000 bayas,8000ベル,"8,000벨",8000鈴錢,8000铃钱
Money_02122,9000-Sterni-Sack,"9,000 Bells",sacco da 9000 s,9000 klingels,9000 диней,sac de 9 000 clochettes,bolsa de 9000 bayas,"9,000 Bells",sac de 9 000 clochettes,bolsa de 9000 bayas,9000ベル,"9,000벨",9000鈴錢,9000铃钱
Money_02123,10.000-Sterni-Sack,"10,000 Bells",sacco da 10.000 s,10.000 klingels,10 000 диней,sac de 10 000 clochettes,bolsa de 10 000 bayas,"10,000 Bells",sac de 10 000 clochettes,bolsa de 10 000 bayas,10000ベル,"10,000벨",10000鈴錢,10000铃钱
Money_02124,11.000-Sterni-Sack,"11,000 Bells",sacco da 11.000 s,11.000 klingels,11 000 диней,sac de 11 000 clochettes,bolsa de 11 000 bayas,"11,000 Bells",sac de 11 000 clochettes,bolsa de 11 000 bayas,11000ベル,"11,000벨",11000鈴錢,11000铃钱
Money_02125,12.000-Sterni-Sack,"12,000 Bells",sacco da 12.000 s,12.000 klingels,12 000 диней,sac de 12 000 clochettes,bolsa de 12 000 bayas,"12,000 Bells",sac de 12 000 clochettes,bolsa de 12 000 bayas,12000ベル,"12,000벨",12000鈴錢,12000铃钱
Money_02126,13.000-Sterni-Sack,"13,000 Bells",sacco da 13.000 s,13.000 klingels,13 000 диней,sac de 13 000 clochettes,bolsa de 13 000 bayas,"13,000 Bells",sac de 13 000 clochettes,bolsa de 13 000 bayas,13000ベル,"13,000벨",13000鈴錢,13000铃钱
Money_02127,14.000-Sterni-Sack,"14,000 Bells",sacco da 14.000 s,14.000 klingels,14 000 диней,sac de 14 000 clochettes,bolsa de 14 000 bayas,"14,000 Bells",sac de 14 000 clochettes,bolsa de 14 000 bayas,14000ベル,"14,000벨",14000鈴錢,14000铃钱
Money_02128,15.000-Sterni-Sack,"15,000 Bells",sacco da 15.000 s,15.000 klingels,15 000 диней,sac de 15 000 clochettes,bolsa de 15 000 bayas,"15,000 Bells",sac de 15 000 clochettes,bolsa de 15 000 bayas,15000ベル,"15,000벨",15000鈴錢,15000铃钱
Money_02129,16.000-Sterni-Sack,"16,000 Bells",sacco da 16.000 s,16.000 klingels,16 000 диней,sac de 16 000 clochettes,bolsa de 16 000 bayas,"16,000 Bells",sac de 16 000 clochettes,bolsa de 16 000 bayas,16000ベル,"16,000벨",16000鈴錢,16000铃钱
Money_02130,17.000-Sterni-Sack,"17,000 Bells",sacco da 17.000 s,17.000 klingels,17 000 диней,sac de 17 000 clochettes,bolsa de 17 000 bayas,"17,000 Bells",sac de 17 000 clochettes,bolsa de 17 000 bayas,17000ベル,"17,000벨",17000鈴錢,17000铃钱
Money_02131,18.000-Sterni-Sack,"18,000 Bells",sacco da 18.000 s,18.000 klingels,18 000 диней,sac de 18 000 clochettes,bolsa de 18 000 bayas,"18,000 Bells",sac de 18 000 clochettes,bolsa de 18 000 bayas,18000ベル,"18,000벨",18000鈴錢,18000铃钱
Money_02132,19.000-Sterni-Sack,"19,000 Bells",sacco da 19.000 s,19.000 klingels,19 000 диней,sac de 19 000 clochettes,bolsa de 19 000 bayas,"19,000 Bells",sac de 19 000 clochettes,bolsa de 19 000 bayas,19000ベル,"19,000벨",19000鈴錢,19000铃钱
Money_02133,20.000-Sterni-Sack,"20,000 Bells",sacco da 20.000 s,20.000 klingels,20 000 диней,sac de 20 000 clochettes,bolsa de 20 000 bayas,"20,000 Bells",sac de 20 000 clochettes,bolsa de 20 000 bayas,20000ベル,"20,000벨",20000鈴錢,20000铃钱
