Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
1008,Diadem-Perücke,tiara hair,diadema,tiarapruik,парик с диадемой,diadème,diadema de princesa,tiara hair,diadème,diadema de princesa,おひめさま,공주님 머리,公主假髮,公主假发
1009,Haarband,headband,fascia,haarbandpruik,парик с ленточкой,bandeau,cinta para el pelo,headband,bandeau,cinta para el cabello,ヘアターバン,헤어밴드,髮帶,发带
1010,Münzen-Stirnband,coin headpiece,copricapo con monete,muntenpruik,парик с монетками,parure de sultane,gorra de monedas,coin headpiece,parure de sultane,gorra de monedas,コインヘッドピース,코인 헤드피스,金幣頭飾,金币头饰
1011,Khan-Perücke,pigtail,codino cinese,paardenstaart,парик-косичка,natte,coleta mongola,pigtail,natte,cola de caballo,べんぱつ,변발,小辮子,小辫子
1012,Visual-Kei-Perücke,visual-punk wig,parrucca visual kei,Japanse punkpruik,панковский парик,perruque visual kei,peluca punk,visual-punk wig,perruque visual kei,peluca punk,ヴィジュアルけいウィッグ,록 밴드 스타일 가발,視覺系假髮,视觉系假发
1040,Schneemannhut,snowperson head,testa da pupazzo di neve,sneeuwpopkop,шапка снеговика,cagoule neige,casco de Copito,snowperson head,cagoule neige,casco de Copito,ゆきだるまのぼうし,눈사람 모자,雪人帽子,雪人头套
1113,Sternenkapuze,star head,cappuccio stella,sterrenkop,звездный шлем,cagoule étoile,casco estrella,star head,cagoule étoile,casco estrella,おほしさまのあたま,별님 머리,星星頭套,星星头套
1265,Zauberlehrlingskapuze,magic-academy hood,cappuccio scuola di magia,tovenaarsleerlingkap,капюшон академии магов,capuche école de magie,capucha escuela de magia,magic-academy hood,capuche école de magie,capucha escuela de magia,まほうスクールのフード,마법 학교 후드,魔法學校兜帽,魔法学校兜帽
1266,Jakob-Maske,Jack's face,maschera di Fifonio,masker van Jack,шлем Джека,masque Jacqu'O,máscara de Soponcio,Jack's face,masque Jacqu'O,máscara de Soponcio,パンプキングフェイス,펌킹 페이스,南瓜王面孔,南瓜王头套
1282,My-Melody-Kapuze,My Melody hood,cappuccio My Melody,My Melody-kap,капюшон My Melody,capuche My Melody,capucha My Melody,My Melody hood,capuchon My Melody,capucha My Melody,マイメロディなずきん,마이멜로디 두건,My Melody頭巾,My Melody头巾
1288,Pompompurin-Hut,Pompompurin hat,cappello Pompompurin,Pompompurin-pruik,берет Pompompurin,perruque Pompompurin,gorro Pompompurin,Pompompurin hat,perruque Pompompurin,gorro Pompompurin,ポムポムプリンなあたま,폼폼푸린 머리,Pompompurin頭,Pompompurin头
1304,Cinnamoroll-Hut,Cinnamoroll hat,cappello Cinnamoroll,Cinnamoroll-muts,шапочка Cinnamoroll,chapeau Cinnamoroll,gorro Cinnamoroll,Cinnamoroll hat,chapeau Cinnamoroll,gorro Cinnamoroll,シナモロールなぼうし,시나모롤 모자,Cinnamoroll帽子,Cinnamoroll帽子
1312,Ohrenschützer-Strickmütze,knit cap with earmuffs,berretto con paraorecchi,gebreide oorflapmuts,вязаная шапка с ушами,bonnet avec cache-oreilles,gorro de punto y orejeras,knit cap with earmuffs,tuque avec cache-oreilles,gorro tejido y orejeras,みみあてつきニットぼう,귀마개와 니트 모자,保暖耳罩針織帽,保暖耳罩针织帽
1343,Okame-Maske,okame mask,maschera da Okame,okame-masker,маска окамэ,masque okame,máscara de Okame,okame mask,masque okame,máscara de Okame,おかめのおめん,복을 부르는 가면,阿龜面具,阿龟面具
1348,Leuchtmooshaube,glowing-moss hood,cappuccio muschio lumin.,lichtmoskap,капюшон из светящ. мха,capuche schistostega,capucha musgo luminoso,glowing-moss hood,capuche mousse luisante,capucha musgo luminoso,ヒカリゴケのかぶりもの,빛이끼 모자,光蘚頭套,光藓头套
1374,Hochzeitshaube,tsunokakushi,tsunokakushi,tsunokakushi,косынка цунокакуси,tsunokakushi,tocado tsunokakushi,tsunokakushi,tsunokakushi,tocado tsunokakushi,つのかくし,일본 전통 신부모자,角隱,角隐
1400,Hygienehaube,hygiene-safety hood,cappuccio sanitario,hygiënekap,спецкапюшон,cagoule stérile,capucha higiénica,hygiene-safety hood,cagoule stérile,capucha higiénica,えいせいぼう,위생모,衛生帽,卫生帽
1439,Schleifenperücke,wig with ribbon,parrucca con fiocco,pruik met strik,парик с бантом,perruque à ruban,peluca con maxilazo,wig with ribbon,perruque à ruban,peluca con maxilazo,リボンつきウィッグ,리본 가발,蝴蝶結假髮,蝴蝶结假发
1440,Punk-Perücke,punk hair wig,parrucca punk,punkhaarpruik,парик панка,perruque punk,peluca cresta punk,punk hair wig,perruque punk,peluca cresta punk,パンクヘアーなウィッグ,펑크 스타일 가발,龐克頭假髮,庞克头假发
1451,Kraftprotzhelm,tough helmet,casco con corna,stevige helm,серьезный шлем,casque à cornes,casco bárbaro,tough helmet,casque à cornes,casco bárbaro,つよそうなかぶと,강해 보이는 투구,看似強悍的頭盔,看似强悍的头盔
674,Wanderkopftuch,headkerchief,fazzoletto giapponese,hoofddoek,платок,foulard vert,pañuelo anudado en la nariz,headkerchief,foulard vert,pañuelo anudado en la nariz,ほっかむり,뒤집어쓴 보자기,小偷頭巾,小偷头巾
675,Märchenkapuze,fairy-tale hood,cappuccio fiabesco,sprookjeskapje,сказочный капюшон,chaperon féerique,caperuza de cuento,fairy-tale hood,capuche de petit chaperon,caperuza de cuento,メルヘンなずきん,메르헨 두건,童話風頭巾,童话风头巾
676,Mumienmaske,mummy mask,maschera da mummia,mummiemasker,маска мумии,masque de momie,careta de momia,mummy mask,masque de momie,careta de momia,ミイラのかぶりもの,미라 마스크,木乃伊頭套,木乃伊头套
677,Hasenkapuze,bunny hood,cappello da coniglio,konijnenmuts,шапка зайки,cagoule lapin,gorro de conejito,bunny hood,cagoule lapin,gorro de conejito,ウサギのかぶりもの,토끼 모자,兔子頭套,兔子头套
678,Katzenmütze,cat cap,cappello da gatto,kattenmuts,шапка кошки,cagoule chat,gorro de gato,cat cap,cagoule chat,gorro de gato,ネコのかぶりもの,고양이 모자,貓頭套,猫头套
