Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Fossil_00169,Ankylosaurus-Schädel,ankylo skull,cranio anchilosauro,ankylosauruskop,череп анкилозавра,crâne d'ankylosaure,cráneo anquilosaurio,ankylo skull,crâne d'ankylosaure,cráneo anquilosaurio,アンキロサウルスのあたま,안킬로사우루스의 머리,甲龍的頭,甲龙的头
Fossil_00170,Ankylosaurus-Torso,ankylo torso,torso anchilosauro,ankylosaurusromp,торс анкилозавра,torse d'ankylosaure,cuerpo anquilosaurio,ankylo torso,torse d'ankylosaure,cuerpo anquilosaurio,アンキロサウルスのからだ,안킬로사우루스의 몸통,甲龍的身體,甲龙的身体
Fossil_00171,Ankylosaurus-Schwanz,ankylo tail,coda anchilosauro,ankylosaurusstaart,хвост анкилозавра,queue d'ankylosaure,cola anquilosaurio,ankylo tail,queue d'ankylosaure,cola anquilosaurio,アンキロサウルスのしっぽ,안킬로사우루스의 꼬리,甲龍的尾巴,甲龙的尾巴
Fossil_00177,Archelon-Vorderteil,archelon skull,cranio archelone,archelonkop,череп архелона,crâne d'archélon,cuerpo archelon,archelon skull,crâne d'archélon,cuerpo archelon,アーケロンのあたま,아르켈론의 머리,帝龜的頭,帝龟的头
Fossil_00178,Archelon-Hinterteil,archelon tail,coda archelone,archelonstaart,хвост архелона,queue d'archélon,cola archelon,archelon tail,queue d'archélon,cola archelon,アーケロンのからだ,아르켈론의 몸통,帝龜的身體,帝龟的身体
Fossil_00180,Megacerops-Schädel,megacero skull,cranio brontoterio,brontopskop,череп бронтотерия,crâne de brontothérium,cráneo brontoterio,megacero skull,crâne de brontothérium,cráneo brontoterio,メガセロプスのあたま,메가케롭스의 머리,巨角犀的頭,巨角犀的头
Fossil_00181,Megacerops-Torso,megacero torso,torso brontoterio,brontopsromp,торс бронтотерия,corps de brontothérium,cuerpo brontoterio,megacero torso,corps de brontothérium,cuerpo brontoterio,メガセロプスのからだ,메가케롭스의 몸통,巨角犀的身體,巨角犀的身体
Fossil_00182,Megacerops-Schwanz,megacero tail,coda brontoterio,brontopsstaart,хвост бронтотерия,queue de brontothérium,cola brontoterio,megacero tail,queue de brontothérium,cola brontoterio,メガセロプスのしっぽ,메가케롭스의 꼬리,巨角犀的尾巴,巨角犀的尾巴
Fossil_00184,Dimetrodon-Schädel,dimetrodon skull,cranio dimetrodonte,dimetrodonkop,череп диметродона,crâne de dimétrodon,cráneo dimetrodonte,dimetrodon skull,crâne de dimétrodon,cráneo dimetrodonte,ディメトロドンのあたま,디메트로돈의 머리,異齒龍的頭,异齿龙的头
Fossil_00185,Dimetrodon-Torso,dimetrodon torso,torso dimetrodonte,dimetrodonromp,торс диметродона,corps de dimétrodon,cuerpo dimetrodonte,dimetrodon torso,corps de dimétrodon,cuerpo dimetrodonte,ディメトロドンのからだ,디메트로돈의 몸통,異齒龍的身體,异齿龙的身体
Fossil_00188,Iguanodon-Schädel,iguanodon skull,cranio iguanodonte,iguanodonkop,череп игуанодона,crâne d'iguanodon,cráneo iguanodonte,iguanodon skull,crâne d'iguanodon,cráneo iguanodonte,イグアノドンのあたま,이구아노돈의 머리,禽龍的頭,禽龙的头
Fossil_00189,Iguanodon-Torso,iguanodon torso,torso iguanodonte,iguanodonromp,торс игуанодона,torse d'iguanodon,cuerpo iguanodonte,iguanodon torso,torse d'iguanodon,cuerpo iguanodonte,イグアノドンのからだ,이구아노돈의 몸통,禽龍的身體,禽龙的身体
Fossil_00190,Iguanodon-Schwanz,iguanodon tail,coda iguanodonte,iguanodonstaart,хвост игуанодона,queue d'iguanodon,cola iguanodonte,iguanodon tail,queue d'iguanodon,cola iguanodonte,イグアノドンのしっぽ,이구아노돈의 꼬리,禽龍的尾巴,禽龙的尾巴
Fossil_00192,Ophthalmosaurus-Schädel,ophthalmo skull,cranio oftalmosauro,ophthalmosauruskop,череп офтальмозавра,crâne d'ophtalmosaure,cráneo oftalmosaurio,ophthalmo skull,crâne d'ophtalmosaure,cráneo oftalmosaurio,オフタルモサウルスのあたま,오프탈모사우루스의 머리,大眼魚龍的頭,大眼鱼龙的头
Fossil_00193,Ophthalmosaurus-Torso,ophthalmo torso,torso oftalmosauro,ophthalmosaurusstaart,торс офтальмозавра,corps d'ophtalmosaure,cuerpo oftalmosaurio,ophthalmo torso,corps d'ophtalmosaure,cuerpo oftalmosaurio,オフタルモサウルスのからだ,오프탈모사우루스의 몸통,大眼魚龍的身體,大眼鱼龙的身体
Fossil_00195,Mammut-Schädel,mammoth skull,cranio mammut,mammoetkop,череп мамонта,crâne de mammouth,cráneo mamut,mammoth skull,crâne de mammouth,cráneo mamut,マンモスのあたま,매머드의 머리,長毛象的頭,长毛象的头
Fossil_00196,Mammut-Torso,mammoth torso,torso mammut,mammoetromp,торс мамонта,corps de mammouth,cuerpo mamut,mammoth torso,corps de mammouth,cuerpo mamut,マンモスのからだ,매머드의 몸통,長毛象的身體,长毛象的身体
Fossil_00198,Pachysaurus-Vorderteil,pachysaurus skull,cranio pachicefalosauro,pachycephalosauruskop,череп пахицефалозавра,crâne de pachycéphal,cuerpo paquicefalosaurio,pachy skull,crâne de pachycéphal,cuerpo paquicefalosaurio,パキケファロのあたま,파키케팔로사우루스의 머리,厚頭龍的頭,厚头龙的头
Fossil_00199,Pachysaurus-Hinterteil,pachysaurus tail,coda pachicefalosauro,pachycephalosaurusstaart,хвост пахицефалозавра,queue de pachycéphal,cola paquicefalosaurio,pachy tail,queue de pachycéphal,cola paquicefalosaurio,パキケファロのからだ,파키케팔로사우루스의 몸통,厚頭龍的身體,厚头龙的身体
Fossil_00202,Parasaurus-Schädel,parasaur skull,cranio parasauro,parasaurolophuskop,череп паразауролофа,crâne de parasaurolophus,cráneo parasaurio,parasaur skull,crâne de parasaurolophus,cráneo parasaurio,パラサウロロフスのあたま,파라사우롤로푸스의 머리,副櫛龍的頭,副栉龙的头
Fossil_00203,Parasaurus-Torso,parasaur torso,torso parasauro,parasaurolophusromp,торс паразауролофа,torse de parasaurolophus,cuerpo parasaurio,parasaur torso,torse de parasaurolophus,cuerpo parasaurio,パラサウロロフスのからだ,파라사우롤로푸스의 몸통,副櫛龍的身體,副栉龙的身体
Fossil_00204,Parasaurus-Schwanz,parasaur tail,coda parasauro,parasaurolophusstaart,хвост паразауролофа,queue de parasaurolophus,cola parasaurio,parasaur tail,queue de parasaurolophus,cola parasaurio,パラサウロロフスのしっぽ,파라사우롤로푸스의 꼬리,副櫛龍的尾巴,副栉龙的尾巴
Fossil_00206,Pteranodon-Torso,ptera body,torso pteranodonte,pteranodonkop & -⁠romp,торс птеранодона,corps de ptéranodon,cuerpo pteranodonte,ptera body,corps de ptéranodon,cuerpo pteranodonte,プテラノドンのあたま,프테라노돈의 머리,無齒翼龍的頭,无齿翼龙的头
Fossil_00207,Pteranodon-Flügel (R),right ptera wing,ala destra pteranodonte,pteranodonvleugel (r),п. крыло птеранодона,aile droite de ptéranodon,ala derecha pteranodonte,right ptera wing,aile droite de ptéranodon,ala derecha pteranodonte,プテラノドンのうよく,프테라노돈의 오른날개,無齒翼龍的右翼,无齿翼龙的右翼
Fossil_00208,Pteranodon-Flügel (L),left ptera wing,ala sinistra pteranodonte,pteranodonvleugel (l),л. крыло птеранодона,aile gauche de ptéranodon,ala izquierda pteranodonte,left ptera wing,aile gauche de ptéranodon,ala izquierda pteranodonte,プテラノドンのさよく,프테라노돈의 왼날개,無齒翼龍的左翼,无齿翼龙的左翼
Fossil_00210,Deinonychus-Torso,deinony torso,torso deinonico,deinonychuskop,торс дейнониха,torse de déinonychus,cuerpo deinonico,deinony torso,torse de déinonychus,cuerpo deinonico,ディノニクスのあたま,데이노니쿠스의 머리,恐爪龍的頭,恐爪龙的头
Fossil_00211,Deinonychus-Schwanz,deinony tail,coda deinonico,deinonychusstaart,хвост дейнониха,queue de déinonychus,cola deinonico,deinony tail,queue de deinonychus,cola deinonico,ディノニクスのしっぽ,데이노니쿠스의 꼬리,恐爪龍的尾巴,恐爪龙的尾巴
Fossil_00213,Säbelzahn-Vorderteil,sabertooth skull,cranio smilodonte,sabeltandtijgerkop,череп смилодона,crâne de smilodon,cuerpo tigre dientes sable,sabertooth skull,crâne de smilodon,cuerpo tigre dientes sable,スミロドンのあたま,스밀로돈의 머리,劍齒虎的頭,剑齿虎的头
Fossil_00214,Säbelzahn-Hinterteil,sabertooth tail,coda smilodonte,sabeltandtijgerstaart,хвост смилодона,queue de smilodon,cola tigre dientes sable,sabertooth tail,queue de smilodon,cola tigre dientes sable,スミロドンのからだ,스밀로돈의 몸통,劍齒虎的身體,剑齿虎的身体
Fossil_00216,Diplodocus-Schädel,diplo skull,cranio diplodoco,diplodocuskop,череп диплодока,crâne de diplodocus,cráneo diplodocus,diplo skull,crâne de diplodocus,cráneo diplodocus,ディプロドクスのあたま,디플로도쿠스의 머리,梁龍的頭,梁龙的头
Fossil_00217,Diplodocus-Hals,diplo neck,collo diplodoco,diplodocusnek,шея диплодока,cou de diplodocus,cuello diplodocus,diplo neck,cou de diplodocus,cuello diplodocus,ディプロドクスのくび,디플로도쿠스의 목,梁龍的脖子,梁龙的脖子
Fossil_00218,Diplodocus-Thorax,diplo chest,torso diplodoco,diplodocusborstkas,грудь диплодока,torse de diplodocus,tórax diplodocus,diplo chest,torse de diplodocus,tórax diplodocus,ディプロドクスのむね,디플로도쿠스의 가슴,梁龍的胸部,梁龙的胸部
Fossil_00219,Diplodocus-Becken,diplo pelvis,bacino diplodoco,diplodocusbekken,таз диплодока,bassin de diplodocus,pelvis diplodocus,diplo pelvis,bassin de diplodocus,pelvis diplodocus,ディプロドクスのこし,디플로도쿠스의 허리,梁龍的腰部,梁龙的腰部
Fossil_00220,Diplodocus-Schwanz,diplo tail,coda diplodoco,diplodocusstaart,хвост диплодока,queue de diplodocus,cola diplodocus,diplo tail,queue de diplodocus,cola diplodocus,ディプロドクスのしっぽ,디플로도쿠스의 꼬리,梁龍的尾巴,梁龙的尾巴
Fossil_00222,Spinosaurus-Schädel,spino skull,cranio spinosauro,spinosauruskop,череп спинозавра,crâne de spinosaure,cráneo espinosaurio,spino skull,crâne de spinosaurus,cráneo espinosaurio,スピノサウルスのあたま,스피노사우루스의 머리,棘龍的頭,棘龙的头
Fossil_00223,Spinosaurus-Torso,spino torso,torso spinosauro,spinosaurusromp,торс спинозавра,corps de spinosaure,cuerpo espinosaurio,spino torso,corps de spinosaurus,cuerpo espinosaurio,スピノサウルスのからだ,스피노사우루스의 몸통,棘龍的身體,棘龙的身体
Fossil_00224,Spinosaurus-Schwanz,spino tail,coda spinosauro,spinosaurusstaart,хвост спинозавра,queue de spinosaure,cola espinosaurio,spino tail,queue de spinosaurus,cola espinosaurio,スピノサウルスのしっぽ,스피노사우루스의 꼬리,棘龍的尾巴,棘龙的尾巴
Fossil_00226,Stegosaurus-Schädel,stego skull,cranio stegosauro,stegosauruskop,череп стегозавра,crâne de stégosaure,cráneo estegosaurio,stego skull,crâne de stégosaure,cráneo estegosaurio,ステゴサウルスのあたま,스테고사우루스의 머리,劍龍的頭,剑龙的头
Fossil_00227,Stegosaurus-Torso,stego torso,torso stegosauro,stegosaurusromp,торс стегозавра,corps de stégosaure,cuerpo estegosaurio,stego torso,corps de stégosaure,cuerpo estegosaurio,ステゴサウルスのからだ,스테고사우루스의 몸통,劍龍的身體,剑龙的身体
Fossil_00228,Stegosaurus-Schwanz,stego tail,coda stegosauro,stegosaurusstaart,хвост стегозавра,queue de stégosaure,cola estegosaurio,stego tail,queue de stégosaure,cola estegosaurio,ステゴサウルスのしっぽ,스테고사우루스의 꼬리,劍龍的尾巴,剑龙的尾巴
Fossil_00234,Plesiosaurus-Schädel,plesio skull,cranio plesiosauro,plesiosauruskop,череп плезиозавра,crâne de plésiosaure,cráneo plesiosaurio,plesio skull,crâne de plésiosaure,cráneo plesiosaurio,フタバサウルスのあたま,후타바사우루스의 머리,雙葉鈴木龍的頭,双叶铃木龙的头
Fossil_00235,Plesiosaurus-Torso,plesio torso,torso plesiosauro,plesiosaurusromp,торс плезиозавра,corps de plésiosaure,torso plesiosaurio,plesio torso,corps de plésiosaure,torso plesiosaurio,フタバサウルスのからだ,후타바사우루스의 몸통,雙葉鈴木龍的身體,双叶铃木龙的身体
Fossil_00236,Plesiosaurus-Schwanz,plesio tail,coda plesiosauro,plesiosaurusstaart,хвост плезиозавра,queue de plésiosaure,cola plesiosaurio,plesio tail,queue de plésiosaure,cola plesiosaurio,フタバサウルスのしっぽ,후타바사우루스의 꼬리,雙葉鈴木龍的尾巴,双叶铃木龙的尾巴
Fossil_00238,T-Rex-Schädel,T. rex skull,cranio tirannosauro,tyrannosauruskop,череп тираннозавра,crâne de tyrannosaure,cráneo tiranosaurio,T. rex skull,crâne de tyrannosaure,cráneo tiranosaurio,Tレックスのあたま,티렉스의 머리,暴龍的頭,暴龙的头
Fossil_00239,T-Rex-Torso,T. rex torso,torso tirannosauro,tyrannosaurusromp,торс тираннозавра,corps de tyrannosaure,cuerpo tiranosaurio,T. rex torso,corps de tyrannosaure,cuerpo tiranosaurio,Tレックスのからだ,티렉스의 몸통,暴龍的身體,暴龙的身体
Fossil_00240,T-Rex-Schwanz,T. rex tail,coda tirannosauro,tyrannosaurusstaart,хвост тираннозавра,queue de tyrannosaure,cola tiranosaurio,T. rex tail,queue de tyrannosaure,cola tiranosaurio,Tレックスのしっぽ,티렉스의 꼬리,暴龍的尾巴,暴龙的尾巴
Fossil_00242,Triceratops-Schädel,tricera skull,cranio triceratopo,triceratopskop,череп трицератопса,crâne de tricératops,cráneo tricerátops,tricera skull,crâne de tricératops,cráneo tricerátops,トリケラトプスのあたま,트리케라톱스의 머리,三角龍的頭,三角龙的头
