Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
1503,Korbtasche,basket bag,cesto,rieten tas,корзинка,panier,bolso de mimbre,basket bag,panier,bolsa de mimbre,かごバッグ,바스켓 백,籐籃包,藤篮包
1504,Streifen-Korbtasche,striped basket bag,cesto a strisce,gestreepte rieten tas,полосатая корзинка,panier à rayures,bolso de mimbre a rayas,striped basket bag,panier à rayures,bolsa de mimbre a rayas,ボーダーがらかごバッグ,줄무늬 바스켓 백,粗橫紋籐籃包,粗横纹藤篮包
1505,Rauten-Korbtasche,diamond-weave basket bag,cesto con intreccio a rombi,rieten tas met ruitpatroon,корзинка в ромбы,panier motif losanges,bolso de mimbre a rombos,diamond-weave basket bag,panier motif losanges,bolsa de mimbre a rombos,ダイヤがらかごバッグ,다이아무늬 바스켓 백,菱形紋籐籃包,菱形纹藤篮包
1506,Furoshiki,furoshiki bag,borsa furoshiki,furoshiki-tas,узелок из фуросики,sac furoshiki,hatillo furoshiki,furoshiki bag,sac furoshiki,bolsa furoshiki,ふろしき,보자기 가방,風呂敷,风吕敷
1507,Kunstlederhandtasche,pleather handbag,borsa in ecopelle,kunstleren handtas,сумка из кожзама,sac à main simili-cuir,bolso de mano de polipiel,pleather handbag,sac à main similicuir,bolso de mano sintético,レザーのハンドバッグ,가죽 핸드백,皮手提包,皮手提包
1508,Logo-Papiertüte,logo paper bag,borsa di carta con logo,papieren tas met logo,фирменн. бумажная сумка,sac papier à logo,bolsa de compra logotipo,logo paper bag,sac papier à logo,bolsa de compra logotipo,ロゴいりかみぶくろ,로고 종이 가방,Logo紙袋,Logo纸袋
1509,Elektroladen-Papiertüte,electronics-store paper bag,borsa negozio di elettronica,tas van een elektronicazaak,сумка для электроники,sac papier boutique électro,bolsa de compra electrónica,electronics-store paper bag,sac papier boutique électro.,bolsa de compra electrónica,でんきやのかみぶくろ,전자제품 전문점 종이 가방,電器店紙袋,电器店纸袋
1510,Boutique-Papiertüte,apparel-shop paper bag,borsa boutique,kledingwinkeltas,сумка из магазина одежды,sac papier boutique mode,bolsa de compra boutique,apparel-shop paper bag,sac papier boutique mode,bolsa de compra boutique,アパレルショップのかみぶくろ,어패럴 숍 종이 가방,服裝店紙袋,服装店纸袋
1511,Kaufhaus-Papiertüte,department-store paper bag,borsa centro commerciale,tas van een warenhuis,сумка из универмага,sac papier grand magasin,bolsa de centro comercial,department-store paper bag,sac papier grand magasin,bolsa de centro comercial,デパートのかみぶくろ,백화점 종이 가방,百貨公司紙袋,百货公司纸袋
1512,Clutch,clutch,borsetta senza manici,clutchtasje,сумка-конверт,trousse,bolso de mano,clutch,trousse,bolsa de mano,セカンドバッグ,클러치 백,手拿包,手拿包
1513,Standard-Stofftasche,simple tote bag,borsa tote semplice,eenvoudige draagtas,простая большая сумка,cabas simple,bolso de tela simple,simple tote bag,cabas simple,bolsa de tela simple,シンプルトートバッグ,심플 토트백,簡約托特包,简约托特包
1514,Tarn-Stofftasche,camo tote bag,borsa tote mimetica,camouflagedraagtas,камуфляжн. больш. сумка,cabas camouflage,bolso de tela camuflaje,camo tote bag,cabas camouflage,bolsa de tela camuflaje,めいさいトートバッグ,밀리터리 토트백,迷彩托特包,迷彩托特包
1515,Blümchen-Stofftasche,tiny-flower-print tote bag,borsa tote motivo fiorellini,bloemetjesdraagtas,большая сумка в цветочек,cabas motif petites fleurs,bolso de tela florecillas,tiny-flower-print tote bag,cabas motif petites fleurs,bolsa de tela florecitas,こばながらトートバッグ,작은 꽃무늬 토트백,碎花托特包,碎花托特包
1516,Logo-Stofftasche,logo tote bag,borsa tote con logo,draagtas met logo,фирменная больш. сумка,cabas à logo,bolso de tela logotipo,logo tote bag,cabas à logo,bolsa de tela logotipo,ロゴいりトートバッグ,로고 토트백,Logo托特包,Logo托特包
1517,Gemüse-Ökotasche,veggie-print eco bag,borsa riutilizzabile vegetali,ecotas met groenteprint,сумка из ткани с овощами,sac bio motif légumes,bolsa reutilizable vegetales,veggie-print eco bag,sac bio motif légumes,bolsa reutilizable vegetales,やさいがらエコバッグ,야채 무늬 에코백,蔬菜圖案環保袋,蔬菜图案环保袋
1518,Fisch-Ökotasche,fish-print eco bag,borsa riutilizzabile pesci,ecotas met vissenprint,сумка из ткани с рыбой,sac bio motif poissons,bolsa reutilizable peces,fish-print eco bag,sac bio motif poissons,bolsa reutilizable peces,おさかながらエコバッグ,물고기 무늬 에코백,魚兒圖案環保袋,鱼儿图案环保袋
1519,Brot-Ökotasche,bread-print eco bag,borsa riutilizzabile pane,ecotas met broodprint,сумка из ткани с выпечкой,sac bio motif pain,bolsa reutilizable pan,bread-print eco bag,sac bio motif pain,bolsa reutilizable pan,パンがらエコバッグ,빵 무늬 에코백,麵包圖案環保袋,面包图案环保袋
1520,Blumen-Ökotasche,flower-print eco bag,borsa riutilizzabile fiori,ecotas met bloemenprint,сумка из ткани в цветочек,sac bio motif fleurs,bolsa reutilizable flores,flower-print eco bag,sac bio motif fleurs,bolsa reutilizable flores,はながらエコバッグ,꽃무늬 에코백,花紋環保袋,花纹环保袋
