Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Basket_14542,Kürbisfarbe,Pumpkin color,Colore della zucca,Pompoenkleur,Цвет тыквы,Couleur de citrouille,Color de la calabaza,Pumpkin color,Couleur de citrouille,Color de la calabaza,カボチャの色,호박 색상,南瓜顏色,南瓜的颜色
Bromide_06426,Rahmen,Frame,Modello,Lijst,Цвет рамки,Cadre,Marco,Frame,Cadre,Marco,フレーム,프레임,邊框,边框
ChangeStick_07588,Pilzart,Mushroom type,Tipo di fungo,Paddenstoelsoort,Тип гриба,Type de champignon,Hongo,Mushroom type,Type de champignon,Hongo,キノコの品種,버섯 품종,蘑菇品種,蘑菇品种
Counter_13897,Steinfarbe,Brick color,Colore dei mattoni,Steenkleur,Цвет кирпича,Couleur de la brique,Ladrillo,Brick color,Coloris des briques,Ladrillo,レンガの色,벽돌 색상,磚塊顏色,砖块颜色
Counter_13901,Steinfarbe,Brick color,Colore dei mattoni,Steenkleur,Цвет кирпича,Couleur de la brique,Ladrillo,Brick color,Coloris des briques,Ladrillo,レンガの色,벽돌 색상,磚塊顏色,砖块颜色
Counter_13902,Variante,Variation,Variazione,Variant,Вариант,Variation,Variación,Variation,Variation,Variación,バリエーション,변형,種類,种类
Counter_14308,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Counter_14310,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Counter_14313,Variante,Variation,Variazione,Variant,Вариант,Variation,Variación,Variation,Variation,Variación,バリエーション,변형,種類,种类
Counter_14332,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Counter_14337,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
DoorDeco_04377,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
DoorDeco_04738,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
DoorDeco_04751,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
DoorDeco_04752,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
DoorDeco_04764,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
DoorDeco_05309,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
DoorDeco_05310,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
DoorDeco_05716,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
DoorDeco_05717,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
DoorDeco_05718,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
DoorDeco_05719,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
DoorDeco_14211,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
DoorDeco_14475,Kranzfarbe,Wreath color,Colore della ghirlanda,Kleur van de krans,Цвет венка,Couronne,Color,Wreath color,Couronne,Color,リースの色,리스 색상,花圈顏色,花环颜色
EventObjFtr_14735,,,,,,,,,,,,,,
Fence_03402,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Fence_04357,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Fence_05207,Ziegelfarbe,Roof-tile color,Colore del tetto,Kleur van de dakpannen,Цвет черепицы,Couleur des tuiles,Color de la teja,Roof-tile color,Couleur des tuiles,Color de la teja,屋根瓦の色,기와 색상,屋頂瓦片顏色,屋顶瓦颜色
Fence_05208,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Fence_11711,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Fence_11712,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Fence_12894,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Fence_14756,Beleuchtung,Illumination,Illuminazione,Verlichting,Подсветка,Illumination,Iluminación,Illumination,Coloris,Iluminación,イルミネーション,일루미네이션,燈光,灯饰
Fence_14758,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Fence_14759,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
FishingRod_02377,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
FishingRod_08471,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
FishingRod_08472,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
FishingRod_08473,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Ftr_00079,Rahmen,Frame,Modello,Frame,Цвет ограждения,Structure,Color de la estructura,Frame,Structure,Color de la estructura,フレーム,프레임,邊框,边框
Ftr_00080,Farbe,Paint color,Modello,Lak,Цвет краски,Coloris,Color de la pintura,Paint color,Coloris,Color de la pintura,ペイント,페인트,油漆,油漆
Ftr_00083,Farbe,Paint color,Modello,Lak,Цвет краски,Coloris,Color de la pintura,Paint color,Coloris,Color de la pintura,ペイント,페인트,油漆,油漆
Ftr_00085,Jahreszeit,Season,Stagione,Seizoen,Время года,Saison,Diseño,Season,Saison,Diseño,季節,계절,季節,季节
Ftr_00086,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Ftr_00088,Farbe,Paint color,Modello,Lak,Цвет краски,Coloris,Color de la pintura,Paint color,Coloris,Color de la pintura,ペイント,페인트,油漆,油漆
Ftr_00131,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Ftr_00144,Design,Cover design,Design,Dekselontwerp,Крышка,Type de plaque,Diseño de la tapa,Cover design,Type de plaque,Diseño de la tapa,フタのデザイン,뚜껑 디자인,蓋子設計,盖子设计
Ftr_00146,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Ftr_00287,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Ftr_00290,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Ftr_00330,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Ftr_00331,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
Ftr_00333,Farbe,Paint color,Modello,Lak,Цвет краски,Coloris,Color de la pintura,Paint color,Coloris,Color de la pintura,ペイント,페인트,油漆,油漆
Ftr_00335,Farbe,Color,Colore,Kleur,Цвет,Couleur,Color,Color,Couleur,Color,カラー,컬러,顏色,颜色
