Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
1013,Karnevalsschmuck,Festivale accessory,copricapo Carnevale,carnavalshoofdtooi,карнавальный аксессуар,coiffe de carnaval,tocado de Carnaval,Festivale accessory,coiffe de carnaval,tocado de Carnaval,カーニバルなかみかざり,카니발 머리 장식,狂歡節髮飾,狂欢节发饰
1014,Königinnenkrone,crown,corona,kroon,корона,couronne,corona real,crown,couronne,corona real,クイーンのかんむり,여왕 왕관,后冠,后冠
1041,Blumenhaarnadel,zen hair clip,fermacapelli floreale,zenhaarspeld,заколка-дзен,barrette zen,horquilla oriental,zen hair clip,barrette zen,horquilla oriental,わかざり,꽃 머리장식,稻草圈裝飾,花朵头饰
1042,Blumenspange,flashy hairpin,fermaglio floreale,opvallende haarspeld,броская заколка,épingle luxueuse,horquilla flor,flashy hairpin,épingle luxueuse,horquilla flor,はでなかみかざり,화려한 머리핀,鮮艷髮飾,华丽头饰
1043,Pilotenmütze,pilot's hat,cappello da pilota,pilotenpet,фуражка пилота,chapeau de capitaine,gorra de piloto,pilot's hat,chapeau de capitaine,gorra de piloto,きちょうのぼうし,기장 모자,機長帽子,机长帽
1044,Schülermütze,student cap,cappello da studente,postbodepet,кепка студента,chapeau d'élève,gorra escolar,student cap,chapeau d'élève,gorra escolar,がくせいぼう,학생모,學生帽,学生帽
1045,Hibiskus-Haarspange,hibiscus hairpin,molletta ibisco,hibiscushaarspeld,заколка-гибискус,épingle hibiscus,horquilla hibisco,hibiscus hairpin,épingle hibiscus,horquilla hibisco,ハイビスカスのかみかざり,히비스커스 머리핀,扶桑花髮飾,扶桑花头饰
1061,Baseballkappe,baseball cap,cappellino da baseball,honkbalpet,бейсболка,casquette de base-ball,gorra de béisbol,baseball cap,casquette de baseball,gorra de béisbol,ベースボールキャップ,야구 모자,棒球帽,棒球帽
1065,Tweedmütze,tweed cap,berretto di tweed,tweedpet,твидовая кепка,casquette en tweed,gorra de tweed,tweed cap,casquette en tweed,gorra de tweed,ツイードキャップ,트위드 모자,斜紋軟呢帽,粗花呢帽
1105,Blumenhaarspange,floral hairpin,molletta floreale,bloemenhaarspeld,шпилька с цветком,épingle fleurie,clip flor,floral hairpin,épingle fleurie,clip flor,おはなのヘアピン,꽃 머리핀,花朵髮夾,花朵发夹
1106,Herzhaarnadel,heart hairpin,molletta cuore,hartenhaarspeld,шпилька с сердечком,épingle cœur,clip corazón,heart hairpin,épingle cœur,clip corazón,ハートのかみかざり,하트 머리핀,愛心髮飾,爱心发夹
1107,Sternhaarnadel,star hairpin,molletta stella,sterrenhaarspeld,шпилька со звездой,épingle étoile,clip estrella,star hairpin,épingle étoile,clip estrella,ほしのかみかざり,별 머리핀,星星髮飾,星星发夹
1108,Leuchtkugelreif,bulb bopper,paio antenne fluo,gloeilampendiadeem,ободок с лампочками,serre-tête lumières,diadema luciérnagas,bulb bopper,serre-tête lumières,diadema luciérnagas,ひかるボールアクセサリー,빛나는 볼 액세서리,發光球頭飾,发光球头饰
1109,Leuchtblumenreif,flower bopper,paio antenne fiori,bloemendiadeem,ободок с цветками,serre-tête fleurs,diadema florecillas,flower bopper,serre-tête fleurs,diadema florecitas,ひかるはなのアクセサリー,빛나는 꽃 액세서리,發光花朵頭飾,发光花朵头饰
1110,Leuchtherzchenreif,heart bopper,paio antenne cuori,hartendiadeem,ободок с сердечками,serre-tête cœurs,diadema corazones,heart bopper,serre-tête cœurs,diadema corazones,ひかるハートアクセサリー,빛나는 하트 액세서리,發光愛心頭飾,发光爱心头饰
