Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
alp,Björn,Cyrus,Merino,Cyrus,Сайрус,Serge,Al,Cyrus,Serge,Al,カイゾー,리포,健兆,健兆
alw,Rosina,Reese,Alpaca,Reese,Риз,Risette,Paca,Reese,Risette,Paca,リサ,리사,莉詠,莉咏
bev,Bartholo,Chip,Castore,Chip,Чип,Castor,Martín,Chip,Castor,Martín,うおまさ,뚱달,俞正,俞正
bey,Lomeus,C.J.,Castorino,C.J.,Си-Джей,Pollux,CJ,C.J.,Pollux,CJ,ジャスティン,저스틴,俞司廷,俞司廷
boa,Sigrid,Joan,Nella,Joan,Джоан,Porcella,Juana,Joan,Porcella,Juana,カブリバ,무파라,曹谷,曹谷
boc,Jorna,Daisy Mae,Brunella,Daisy Mae,Дейзи-Мей,Porcelette,Juliana,Daisy Mae,Porcelette,Juliana,ウリ,무파니,曹賣,曹卖
bpt,Smeralda,Katrina,Vanda,Katrina,Катрина,Astrid,Katrina,Katrina,Astrid,Katrina,ハッケミィ,마추릴라,星薇,星薇
chm,Carleon,Nat,Gustavo,Nat,Нат,Djarod,Papilo,Nat,Djarod,Papilo,カメヤマさん,멜레옹,龍山先生,龙山先生
chy,Carlson,Flick,Ivano,Flick,Флик,Djason,Kamilo,Flick,Djason,Kamilo,レックス,레온,龍克斯,龙克斯
cml,Aziza,Saharah,Sahara,Saharah,Сахара,Sarah,Alcatifa,Saharah,Sarah,Alcatifa,ローラン,사하라,駱嵐,骆岚
cmlB,Aziza,Saharah,Sahara,Saharah,Сахара,Sarah,Alcatifa,Saharah,Sarah,Alcatifa,ローラン,사하라,駱嵐,骆岚
dga,Harry,Copper,Birro,Copper,Коппер,Maret,Vigilio,Copper,Maret,Vigilio,おまわりさん,경찰관,警察叔叔,警察叔叔
dgb,Wuff,Booker,Fido,Booker,Букер,Chausset,Nocencio,Booker,Chausset,Nocencio,おまわりさん,경찰관,警察叔叔,警察叔叔
doc,Udo,Wilbur,Dodoardo,Wilbur,Уилбур,Rodrigue,Rodri,Wilbur,Rodrigue,Rodri,ロドリー,로드리,陸德里,陆德里
dod,Bodo,Orville,Dodobaldo,Orville,Орвилл,Morris,Rafa,Orville,Morris,Rafa,モーリー,모리,莫里,莫里
fox,Reiner,Redd,Volpolo,Redd,Рэдд,Rounard,Ladino,Redd,Rounard,Ladino,つねきち,여욱,狐利,狐利
fsl,Helios,Phineas,Elio,Phineas,Финеас,Hélium,Elio,Phineas,Hélium,Elio,パロンチーノ,파론티노,博陸恩,博陆恩
grf,Grazia,Gracie,Griffa,Gracie,Грейси,Carla,Graciela,Gracie,Carla,Graciela,グレース,그레이스,葛瑞斯,葛瑞斯
gstA,Buhu,Wisp,Spirideo,Wisp,Уисп,Follet,Buh,Wisp,Follet,Buh,ゆうたろう,깨빈,幽幽,幽幽
gstB,Buhu,Wisp,Spirideo,Wisp,Уисп,Follet,Buh,Wisp,Follet,Buh,ゆうたろう,깨빈,幽幽,幽幽
gul,Gulliver,Gulliver,Gulliver,Gulliver,Гулливер,Gulliver,Gulliver,Gulliver,Gulliver,Gulliver,ジョニー,죠니,呂遊,吕游
gulB,Gullivarrr,Gullivarrr,Gullivarrr,Gullivarrr,Гулливарр,Gullivarrr,Gullivarrr,Gullivarrr,Gullivarrr,Gullivarrr,かいぞく,해적,海盜,海盗
hgc,Minna,Label,Beatrice,Label,Лэйбл,Tiquette,Tili,Label,Tiquette,Tili,ことの,고숙이,綿兒,绵儿
hgh,Tina,Mabel,Agostina,Mabel,Мэйбл,Layette,Pili,Mabel,Layette,Pili,きぬよ,고순이,絹兒,绢儿
hgs,Sina,Sable,Filomena,Sable,Сэйбл,Cousette,Mili,Sable,Cousette,Mili,あさみ,고옥이,麻兒,麻儿
kpg,Bonnie,Grams,Remigia,Grams,Грэмс,Mamiral,Rosauria,Grams,Mamiral,Rosauria,ゲコ,귀녀,阿玉婆婆,阿玉婆婆
kpm,Lore,Leilani,Ramona,Leilani,Лейлани,Liliane,Marimar,Leilani,Liliane,Marimar,クーコ,갑순,沽玉,沽玉
kpp,Käpten,Kapp'n,Remo,Kapp'n,Кэпн,Amiral,Capitán,Kapp'n,Amiral,Capitán,かっぺい,갑돌,航平,航平
kps,Lotte,Leila,Romina,Leila,Лейла,Lila,Conchita,Leila,Lila,Conchita,クク,꼬미,沽沽,沽沽
lom,Katja,Katie,Micetta,Katie,Кейти,Cathie,Cati,Katie,Cathie,Cati,まいこちゃん,미야,咪露,咪露
man,Sigmar,Wardell,Gedeone,Wardell,Ворделл,Mantin,Matías,Wardell,Mantin,Matías,ナッティー,너티,納提,纳提
mka,Blanka,Blanca,Blanca,Blanca,Бланка,Blanca,Blanca,Blanca,Blanca,Blanca,あやしいネコ,아트고양이,無臉貓,无脸猫
mnc,Bono,Niko,Gilbertuccio,Niko,Нико,Gratien,Miko,Niko,Gratien,Miko,ニコ,방글,尼可,尼可
mnk,Flip,Porter,Ciufciuf,Porter,Портер,Lazare,Estasio,Porter,Lazare,Estasio,えきいんさん,역무원,車長叔叔,车长叔叔
mob,Don,Don,Don,Don,Дон,Don,Forma T.,Don,Don,Forma T.,ラケットさん,오루묵씨,開關叔叔,开关叔叔
mol,Resetti,Resetti,Resetti,Resetti,Ресетти,Resetti,Rese T.,Resetti,Resetti,Rese T.,リセットさん,도루묵씨,電源叔叔,电源叔叔
otg,Karlotta,Lottie,Casimira,Lottie,Лотти,Lou,Nuria,Lottie,Lou,Nuria,タクミ,솜이,巧美,巧美
otgB,Karlotta,Lottie,Casimira,Lottie,Лотти,Lou,Nuria,Lottie,Lou,Nuria,タクミ,솜이,巧美,巧美
ott,Fred,Lyle,Frodolo,Lyle,Лайл,Lionel,Sisebuto,Lyle,Lionel,Sisebuto,ホンマさん,안심해씨,阿本先生,阿本先生
owl,Eugen,Blathers,Blatero,Blathers,Блезерс,Thibou,Sócrates,Blathers,Thibou,Sócrates,フータ,부엉,傅達,傅达
ows,Eufemia,Celeste,Celeste,Celeste,Селеста,Céleste,Estela,Celeste,Céleste,Estela,フーコ,부옥,傅珂,傅珂
pck,Pavo,Pavé,Pavão,Pavé,Паве,Roberto,Conga,Pavé,Roberto,Conga,ベルリーナ,베르리나,阿歡,阿欢
