Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
014,Chino,chino pants,pantalone chino,chino,брюки из хлопка,pantalon en toile,pantalón chino,chino pants,pantalon en toile,pantalón de gabardina,チノパン,치노 팬츠,卡其褲,卡其裤
015,Zweifarbhose,two-tone pants,pantalone bicolore,tweekleurige broek,двухцветные брюки,pantalon bicolore,pantalón bicolor,two-tone pants,pantalon bicolore,pantalón bicolor,ツートンなズボン,투톤 바지,撞色褲,口袋撞色裤
016,Karorock,gingham picnic skirt,gonna a quadri,picknickrokje,клетчатая юбка,jupe vichy,falda vichy,gingham picnic skirt,jupe vichy,falda vichy,ギンガムチェックのスカート,깅엄 체크 치마,嘉頓格紋裙,嘉顿格纹裙子
017,Jeans,denim pants,paio di jeans ranch,jeans,джинсы,jean,pantalón tejano,denim pants,jean,pantalón de jean,デニムパンツ,데님 바지,牛仔褲,牛仔裤
1091,Fußballhose,soccer shorts,paio di pantaloni da calcio,voetbalbroekje,футбольные шорты,short de foot,pantalón corto fútbol,soccer shorts,short de soccer,pantalón corto fútbol,サッカーのズボン,축구 바지,足球褲,足球裤
1092,Safarihose,explorer shorts,pantalone da esploratore,ontdekkingsreizigersbroekje,шорты исследователя,bermuda aventure,pantalón corto exploración,explorer shorts,bermuda aventure,pantalón corto exploración,たんけんふくのズボン,탐험복 바지,探險服褲子,探险服裤子
1093,Tiermusterrock,animal-stripes skirt,gonna animalier,tijgerrokje,звериная юбка,jupe motif animalier,falda estampado animal,animal-stripes skirt,jupe motif animalier,falda estampado animal,アニマルがらスカート,동물 무늬 스커트,動物花紋裙,动物花纹半裙
1095,Footballhose,football pants,paio di pantaloni da football,Americanfootballbroekje,футбольные бриджи,pantalon de foot américain,pantalón rugby,football pants,pantalon de football,pantalón rugby,アメフトズボン,미식축구 바지,美式足球褲,美式足球裤
1129,Samthea-Shorts,Labelle shorts,paio di calzoncini Bice,Labelle-short,шорты «Лэйблеск»,short Maria,pantalón corto Trini,Labelle shorts,short Maria,pantalón corto Trini,ケイトのハーフパンツ,케이트의 반바지,凱絲五分褲,凯丝的中裤
1130,Samthea-Rock,Labelle skirt,gonna Bice,Labelle-rok,юбка «Лэйблеск»,jupe Maria,falda larga Trini,Labelle skirt,jupe Maria,falda larga Trini,ケイトのスカート,케이트의 치마,凱絲裙,凯丝的半裙
1187,Pünktchen-Minirock,polka-dot miniskirt,minigonna a pois,minirokje met stippen,мини-юбка в горох,mini-jupe à pois,falda lunarcitos,polka-dot miniskirt,mini-jupe à pois,falda lunarcitos,ドットミニスカート,도트 미니스커트,點點迷你裙,波点迷你裙
119,Sofahose,sweatpants,pantalone comodo,joggingbroek,трикотажные штаны,pantalon de jogging,pantalón cómodo,sweatpants,pantalon de jogging,pantalón cómodo,スウェットパンツ,스웨트 팬츠,棉褲,运动针织裤
1190,Grasröckchen,green grass skirt,gonna foglie di banano,groengrasrokje,юбка из зеленых листьев,jupe savane verte,falda de hojas,green grass skirt,jupe de feuilles verte,falda de hojas,みどりのこしみの,초록색 도롱이 하의,綠色草裙,绿色的草裙
120,Tweed-Rock,tweed skirt,gonna di tweed,tweedrokje,твидовая юбка,jupe en tweed,falda de tweed,tweed skirt,jupe en tweed,falda de tweed,ツイードスカート,트위드 치마,斜紋軟呢裙,粗花呢裙
1227,Piratenhose,pirate pants,pantalone da pirata,piratenbroek,пиратские штаны,pantalon de pirate,pantalón de pirata,pirate pants,pantalon de pirate,pantalón de pirata,かいぞくのズボン,해적 바지,海盜褲,海盗裤
125,Kunstlederhose,pleather pants,pantalone in ecopelle,kunstleren broek,брюки из кожзама,pantalon en similicuir,pantalón de polipiel,pleather pants,pantalon en similicuir,pantalón cuero sintético,レザーパンツ,가죽 바지,皮褲,皮裤
1253,Windel,diaper,pannolino,luier,подгузник,couche,pañal,diaper,couche,pañal,おむつ,기저귀,尿布,尿布
126,Stoffhose,slacks,pantalone classico,pantalon,строгие брюки,pantalon de bureau,pantalón de vestir,slacks,pantalon de bureau,pantalón de vestir,スラックス,슬랙스,西裝褲,西装裤
127,Trainingshose,athletic pants,pantalone della tuta,trainingsbroek,штаны для разминки,pantalon de survêt,pantalón sport,athletic pants,pantalon de sport,pantalón sport,ジャージズボン,트레이닝복 바지,運動褲,运动健身裤
128,Ringelhose,striped pants,pantalone a righe,gestreepte broek,штаны в полоску,pantalon rayé,pantalón rayas,striped pants,pantalon rayé,pantalón a rayas,ボーダーパンツ,줄무늬 바지,粗橫紋褲,粗横纹裤
129,Fetzenjeanshose,worn-out jeans,paio di jeans strappati,versleten jeans,поношенные джинсы,pantalon jean usé,pantalón agujereado,worn-out jeans,pantalon jean usé,pantalón agujereado,あなあきデニム,찢어진 데님 바지,破洞牛仔褲,破洞牛仔裤
1397,Gummischürze,rubber half apron,mezzo grembiule di gomma,rubberen halfschort,резиновый полуфартук,bas de tablier caoutchouc,delantal impermeable,rubber half apron,bas de tablier caoutchouc,delantal impermeable,ゴムのまえかけ,고무 반 앞치마,橡膠半身圍裙,橡胶半身围裙
140,Aufwärmhose,track pants,pantalone da ginnastica,atletiekbroek,штаны для бега,pantalon survêt de sport,pantalón de chándal urbano,track pants,pantalon de survêtement,pantalón atletismo,スポーツジャージのズボン,스포츠 트레이닝복 바지,體育運動褲,体育运动裤
142,Kilt,kilt,kilt,kilt,килт,kilt,kilt,kilt,kilt,kilt,キルト,킬트,蘇格蘭裙,苏格兰裙
1428,Karo-Schulrock,checkered school skirt,gonna scuola a scacchi,geruite schoolrok,школьная юбка в клетку,jupe scolaire à carreaux,falda escolar escocesa,checkered school skirt,jupe scolaire à carreaux,falda escolar escocesa,チェックのがくせいスカート,체크무늬 교복 치마,格紋學生裙,格纹学生裙
1429,Karo-Schulhose,checkered school pants,pantalone scuola a scacchi,geruite schoolbroek,школьн. брюки в клетку,pantalon scolaire à carreaux,pantalón escolar escocés,checkered school pants,pantalon scolaire à carreaux,pantalón escolar escocés,チェックのがくせいズボン,체크무늬 교복 바지,格紋學生褲,格纹学生裤
1431,Pythonmusterhose,python-print slacks,pantalone stampa pitonata,pantalon met slangenprint,брюки со змеин. узором,pantalon python,pantalón de vestir pitón,python-print slacks,pantalon motif python,pantalón de vestir pitón,パイソンがらスラックス,뱀 무늬 슬랙스,蟒蛇紋西裝褲,蟒蛇纹西装裤
1432,Rosenmusterhose,rose-print slacks,pantalone stampa a rose,pantalon met rozenprint,брюки с розами,pantalon motif roses,pantalón de vestir rosas,rose-print slacks,pantalon motif roses,pantalón de vestir rosas,バラがらスラックス,장미 무늬 슬랙스,玫瑰紋西裝褲,玫瑰纹西装裤
144,Marinerock,sailor skirt,gonna marinara,matrozenrokje,юбка-плиссе,jupe matelot,falda marinera,sailor skirt,jupe matelot,falda marinera,セーラーふくのスカート,세일러복 치마,水手服裙,水手服裙
145,Tarnhose,camo pants,pantalone mimetico,camouflagebroek,камуфляжные брюки,pantalon camouflage,pantalón camuflaje,camo pants,pantalon camouflage,pantalón camuflaje,めいさいパンツ,밀리터리 바지,迷彩褲,迷彩裤
1454,Rosenmusterrock,rose-print skirt,gonna stampa a rose,rok met rozenprint,юбка с розами,jupe motif roses,falda estampado rosas,rose-print skirt,jupe motif roses,falda estampado rosas,バラがらスカート,장미 무늬 치마,玫瑰紋裙,玫瑰纹裙
