Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
FishToy_06929,Karauschenmodell,crucian carp model,replica di carassio,modelkroeskarper,модель карася,modèle de carassin,figura de carpín,crucian carp model,modèle de carassin,figura de carpín,フナのもけい,붕어 모형,鯽魚模型,鲫鱼模型
FishToy_06930,Goldfischmodell,goldfish model,replica di pesce rosso,modelgoudvis,модель золотой рыбки,modèle de poisson rouge,figura de pez dorado,goldfish model,modèle de poisson rouge,figura de pez dorado,キンギョのもけい,금붕어 모형,金魚模型,金鱼模型
FishToy_06931,Bitterlingsmodell,bitterling model,replica di rodeo,modelbittervoorn,модель горчака,modèle de bouvière,figura de amarguillo,bitterling model,modèle de bouvière,figura de amarguillo,タナゴのもけい,납줄개 모형,紅目鯽模型,红目鲫模型
FishToy_06932,Makrelenmodell,horse mackerel model,replica di sgombro,modelhorsmakreel,модель ставриды,modèle de chinchard,figura de jurel,horse mackerel model,modèle de chinchard,figura de jurel,アジのもけい,전갱이 모형,竹筴魚模型,竹荚鱼模型
FishToy_06933,Skalarmodell,angelfish model,replica di pesce angelo,modelmaanvis,модель скалярии,modèle de poisson-ange,figura de pez ángel,angelfish model,modèle de poisson-ange,figura de pez ángel,エンゼルフィッシュのもけい,천사어 모형,神仙魚模型,神仙鱼模型
FishToy_06935,Arowanamodell,arowana model,replica di arowana,modelarowana,модель араваны,modèle d'arowana,figura de arowana,arowana model,modèle d'arowana,figura de arowana,アロワナのもけい,아로와나 모형,骨舌魚模型,骨舌鱼模型
FishToy_06936,Ayumodell,sweetfish model,replica di ayu,model-ayu,модель айю,modèle d'ayu,figura de ayu,sweetfish model,modèle d'ayu,figura de ayu,アユのもけい,은어 모형,香魚模型,香鱼模型
FishToy_06937,Kampffischmodell,betta model,replica di betta,model-Siamese-kempvis,модель сиамского петушка,modèle de combattant,figura de betta,betta model,modèle de combattant,figura de betta,ベタのもけい,베타 모형,鬥魚模型,斗鱼模型
FishToy_06938,Barschmodell,black bass model,replica di boccalone,modelforelbaars,модель большерот. окуня,modèle de bar,figura de perca,black bass model,modèle de bar,figura de perca,ブラックバスのもけい,큰입배스 모형,黑鱸魚模型,黑鲈鱼模型
FishToy_06939,Sonnenbarschmodell,bluegill model,replica di pesce persico,modelzonnebaars,модель солнечника,modèle de crapet,figura de pez sol,bluegill model,modèle de crapet,figura de pez sol,ブルーギルのもけい,블루길 모형,藍鰓太陽魚模型,蓝腮太阳鱼模型
FishToy_06940,Anglerfischmodell,football fish model,replica di pesce abissale,modelvoetbalvis,модель гимантолофа,modèle de poisson lanterne,figura de pez balón,football fish model,modèle de poisson-lanterne,figura de pez balón,チョウチンアンコウのもけい,초롱아귀 모형,燈籠魚模型,灯笼鱼模型
FishToy_06941,Falterfischmodell,butterfly fish model,replica di pesce farfalla,modelkoraalvlinder,модель рыбы-бабочки,modèle de poisson-papillon,figura de pez mariposa,butterfly fish model,modèle de poisson-papillon,figura de pez mariposa,チョウチョウウオのもけい,나비고기 모형,耳帶蝴蝶魚模型,耳带蝴蝶鱼模型
