Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Balloon_07869,Ballon (blau),blue balloon,palloncino blu,blauwe ballon,синий шарик,ballon de baudruche bleu,globo azul,blue balloon,ballon bleu,globo azul,あおいふうせん,파란색 풍선,藍色氣球,蓝色气球
Balloon_13123,Ballon (rot),red balloon,palloncino rosso,rode ballon,красный шарик,ballon de baudruche rouge,globo rojo,red balloon,ballon rouge,globo rojo,あかいふうせん,빨간색 풍선,紅色氣球,红色气球
Balloon_13124,Ballon (gelb),yellow balloon,palloncino giallo,gele ballon,желтый шарик,ballon de baudruche jaune,globo amarillo,yellow balloon,ballon jaune,globo amarillo,きいろのふうせん,노란색 풍선,黃色氣球,黄色气球
Balloon_13125,Ballon (grün),green balloon,palloncino verde,groene ballon,зеленый шарик,ballon de baudruche vert,globo verde,green balloon,ballon vert,globo verde,みどりのふうせん,초록색 풍선,綠色氣球,绿色气球
Balloon_13126,Ballon (rosa),pink balloon,palloncino rosa,roze ballon,розовый шарик,ballon de baudruche rose,globo rosa,pink balloon,ballon rose,globo rosa,ピンクのふうせん,핑크색 풍선,粉紅色氣球,粉红色气球
Balloon_14540,Nook-Inc.-Ballon,Nook Inc. balloon,palloncino Nook Inc.,Nook Inc.-ballon,шарик Nook Inc.,ballon Nook Inc.,globo de Nook Inc.,Nook Inc. balloon,ballon Nook Inc.,globo de Nook Inc.,たぬきかいはつバルーン,Nook Inc. 풍선,Nook Inc.氣球,Nook Inc.气球
Basket_14542,Kürbis-Naschkorb,spooky treats basket,cesto di caramelle brividi,pompoensnoepmand,жуткая корзинка,panier bonbons Halloween,cesta surtido de Halloween,spooky treats basket,panier bonbons frisson,cesta surtido de Halloween,ハロウィンなおやつバスケット,할로윈 간식 바구니,萬聖節點心籃,万圣节点心篮
BigbagPresent_13836,Geschenkesack,magic bag,sacco dei regali,pakjeszak,волшебный мешок,sac à cadeaux,saco de regalos,magic bag,sac à cadeaux,bolsa de regalos,プレゼントぶくろ,선물 보따리,禮物袋,礼物袋
BlowBubble_04386,Seifenblasenset,bubble blower,sparabolle,flesje bellenblaas,набор для пузырей,lance-bulles,lanzapompas,bubble blower,lance-bulles,lanzaburbujas,シャボンだま,비눗방울,肥皂泡,肥皂泡
BlowBubble_04386_pl,Seifenblasensets,bubble blowers,sparabolle,flesjes bellenblaas,наборы для пузырей,lance-bulles,lanzapompas,bubble blowers,lance-bulles,lanzaburbujas,シャボンだま,비눗방울,肥皂泡,肥皂泡
Candyfloss_14629,Zuckerwatte,plain cotton candy,zucchero filato,suikerspin,сахарная вата,barbe à papa,algodón de azúcar,plain cotton candy,barbe à papa,algodón de azúcar,わたあめ,솜사탕,棉花糖,棉花糖
