Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Basket_14542_0,Orange,Orange,Arancio,Oranje,Оранжевый,Orange,Naranja,Orange,Orange,Naranja,オレンジ,오렌지,橘色,橘色
Basket_14542_1,Gelb,Yellow,Giallo,Geel,Желтый,Jaune,Amarillo,Yellow,Jaune,Amarillo,イエロー,옐로,黃色,黄色
Basket_14542_2,Grün,Green,Verde,Groen,Зеленый,Vert,Verde,Green,Vert,Verde,グリーン,그린,綠色,绿色
Basket_14542_3,Monochrom,Monochrome,Monocromo,Monochroom,Монохромный,Monochrome,Blanco,Monochrome,Monochrome,Monocromo,モノクロ,모노톤,灰階配色,单色配色
Bromide_06426_0,Naturholz,Natural wood,Legno naturale,Naturel hout,Натуральное дерево,Bois naturel,Madera natural,Natural wood,Bois naturel,Madera natural,ナチュラルウッド,내추럴 우드,自然木色,自然木色
Bromide_06426_1,Dunkles Holz,Dark wood,Legno scuro,Donker hout,Темное дерево,Bois foncé,Madera oscura,Dark wood,Bois foncé,Madera oscura,ダークウッド,다크 우드,黑木色,深木色
Bromide_06426_2,Pastell,Pastel,Pastello,Pastel,Пастельный,Pastel,Tonos pastel,Pastel,Pastel,Pastel,パステル,파스텔,粉嫩色,粉嫩色
Bromide_06426_3,Weiß,White,Bianco,Wit,Белый,Blanc,Blanco,White,Blanc,Blanco,ホワイト,화이트,白色,白色
Bromide_06426_4,Pop,Pop,Pop,Spetterend,Яркий,Pop,Pop,Pop,Pop,Pop,ポップ,팝,繽紛色,缤纷色
Bromide_06426_5,Bunt,Colorful,Variopinto,Veelkleurig,Красочный,Multicolore,Multicolor,Colorful,Multicolore,Multicolor,カラフル,컬러풀,彩色,彩色
Bromide_06426_6,Silber,Silver,Argentato,Zilver,Серебро,Argent,Plateado,Silver,Argent,Plateado,シルバー,실버,銀色,银色
Bromide_06426_7,Gold,Gold,Dorato,Goud,Золото,Or,Dorado,Gold,Or,Dorado,ゴールド,골드,金色,金色
ChangeStick_07588_0,Gewöhnlicher Pilz,Ordinary mushroom,Fungo comune,Gewone paddenstoel,Обычный гриб,Champignon générique,Común,Ordinary mushroom,Champignon générique,Común,よくあるキノコ,흔한 버섯,常見蘑菇,常见蘑菇
