Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
Fence_03080,Ziegelsteinmauer,brick fence,muretto di mattoni,bakstenen muurtje,кирпичный забор,muret en briques,cerca de ladrillo,brick fence,muret en briques,cerca de ladrillo,レンガのカベ,벽돌 울타리,磚塊柵欄,砖块栅栏
Fence_03080_pl,Ziegelsteinmauer,brick fencing,muretti di mattoni,bakstenen muurtje,кирпичные заборы,muret en briques,cercas de ladrillo,brick fencing,muret en briques,cercas de ladrillo,レンガのカベ,벽돌 울타리,磚塊柵欄,砖块栅栏
Fence_03402,Bretterzaun,vertical-board fence,recinzione di assi verticali,lichte schutting,штакетник,clôture lattes verticales,valla de tablones,vertical-board fence,clôture lattes verticales,valla de tablas,たていたのさく,세로 널빤지 울타리,直條木板柵欄,直条木板栅栏
Fence_03402_pl,Bretterzaun,vertical-board fencing,recinzioni di assi verticali,lichte schutting,штакетники,clôture lattes verticales,vallas de tablones,vertical-board fencing,clôture lattes verticales,vallas de tablas,たていたのさく,세로 널빤지 울타리,直條木板柵欄,直条木板栅栏
Fence_03403,Bambuszaun,bamboo lattice fence,recinzione di bambù,bamboeschutting,забор из бамбука,clôture bambou à treillis,valla celosía de bambú,bamboo lattice fence,clôture bambou à treillis,valla celosía de bambú,たけがき,대나무 울타리,竹柵欄,竹栅栏
Fence_03403_pl,Bambuszaun,bamboo lattice fencing,recinzioni di bambù,bamboeschutting,заборы из бамбука,clôture bambou à treillis,vallas celosía de bambú,bamboo lattice fencing,clôture bambou à treillis,vallas celosía de bambú,たけがき,대나무 울타리,竹柵欄,竹栅栏
Fence_04349,Weidezaun,corral fence,staccionata ranch,boerderijhek,дощатый забор,clôture de ferme,valla de corral,corral fence,clôture de ferme,valla de corral,よこいたのさく,가로 널빤지 울타리,橫條木板柵欄,横条木板栅栏
Fence_04349_pl,Weidezaun,corral fencing,staccionate ranch,boerderijhek,дощатые заборы,clôture de ferme,vallas de corral,corral fencing,clôture de ferme,vallas de corral,よこいたのさく,가로 널빤지 울타리,橫條木板柵欄,横条木板栅栏
Fence_04350,Baumstammzaun,country fence,staccionata di ceppi,paalhekje,забор из столбиков,clôture de rondins,valla leños,country fence,clôture de rondins,valla rural,まるたのさく,통나무 울타리,圓木柵欄,圆木栅栏
Fence_04350_pl,Baumstammzaun,country fencing,staccionate di ceppi,paalhekje,заборы из столбиков,clôture de rondins,vallas leños,country fencing,clôture de rondins,vallas rurales,まるたのさく,통나무 울타리,圓木柵欄,圆木栅栏
Fence_04351,Westernzaun,log fence,recinzione di tronchi,weidehek,забор из жердей,clôture tronc,valla de troncos,log fence,clôture tronc,valla de troncos,よこむきのまるたのさく,가로 통나무 울타리,橫條圓木柵欄,横条圆木栅栏
Fence_04351_pl,Westernzaun,log fencing,recinzioni di tronchi,weidehek,заборы из жердей,clôture tronc,vallas de troncos,log fencing,clôture tronc,vallas de troncos,よこむきのまるたのさく,가로 통나무 울타리,橫條圓木柵欄,横条圆木栅栏
Fence_04352,Seilzaun,rope fence,recinzione di corda,touwhek,ограда из веревки,clôture de corde,valla cordón,rope fence,clôture de corde,valla de soga,ペグとロープ,페그 울타리,釘子與繩索,钉子与绳索
Fence_04352_pl,Seilzaun,rope fencing,recinzioni di corda,touwhek,ограды из веревки,clôture de corde,vallas cordones,rope fencing,clôture de corde,vallas de soga,ペグとロープ,페그 울타리,釘子與繩索,钉子与绳索
Fence_04354,Asienzaun,imperial fence,recinzione cinese,keizerlijk hek,забор в азиатском стиле,clôture dynastie orientale,valla dinastía,imperial fence,clôture dynastie,valla dinastía,オリエンタルなさく,오리엔탈 울타리,東方風柵欄,东方风栅栏
Fence_04354_pl,Asienzaun,imperial fencing,recinzioni cinesi,keizerlijk hek,заборы в азиатском стиле,clôture dynastie orientale,vallas dinastía,imperial fencing,clôture dynastie,vallas dinastía,オリエンタルなさく,오리엔탈 울타리,東方風柵欄,东方风栅栏
Fence_04355,Betonmauer,block fence,muretto a blocchi,blokkenmuurtje,забор из блоков,muret blocs de béton,cerca de bloques,block fence,muret blocs de béton,cerca de bloques,ブロックべい,돌담,磚塊圍牆,砖块围墙
Fence_04355_pl,Betonmauer,block fencing,muretti a blocchi,blokkenmuurtje,заборы из блоков,muret blocs de béton,cercas de bloques,block fencing,muret blocs de béton,cercas de bloques,ブロックべい,돌담,磚塊圍牆,砖块围墙
Fence_04356,Strohzaun,straw fence,recinzione di paglia,strohek,соломенный забор,clôture de paille,valla de paja,straw fence,clôture de paille,valla de paja,わらぼしのさく,짚단 울타리,乾稻草柵欄,干稻草栅栏
Fence_04356_pl,Strohzaun,straw fencing,recinzioni di paglia,strohek,соломенные заборы,clôture de paille,vallas de paja,straw fencing,clôture de paille,vallas de paja,わらぼしのさく,짚단 울타리,乾稻草柵欄,干稻草栅栏
Fence_04357,Eisenzaun,iron fence,recinzione di ferro,ijzeren hek,железный забор,clôture en fer,verja de hierro,iron fence,clôture en fer,valla de hierro,てつのさく,철제 울타리,鐵柵欄,铁栅栏
Fence_04357_pl,Eisenzaun,iron fencing,recinzioni di ferro,ijzeren hek,железные заборы,clôture en fer,verjas de hierro,iron fencing,clôture en fer,vallas de hierro,てつのさく,철제 울타리,鐵柵欄,铁栅栏
